 	ils	m'	ont	donner	tort	</S>
b	0.931828	0.0424211	0.0125713	0.0124644	0.000584979	0.000130576
á	0.974277	0.0119126	0.00500153	0.00705562	0.00130054	0.000452749
a	0.967062	0.0129375	0.0116768	0.0051011	0.00215725	0.00106546
á	0.143888	0.440075	0.331803	0.021749	0.00244081	0.0600439
m	0.0319309	0.285166	0.472694	0.158236	0.00781717	0.0441566
i	0.0142508	0.134964	0.444155	0.270655	0.0440967	0.0918781
k	0.000943942	0.0506686	0.369421	0.52164	0.0175736	0.0397527
w	0.00337082	0.0310355	0.266899	0.605025	0.0182587	0.0754109
ε	0.0257215	0.0368744	0.15776	0.663054	0.0473328	0.069258
r	0.0210574	0.140631	0.169356	0.291459	0.133597	0.243899
έ	0.0134346	0.167879	0.150447	0.332151	0.281032	0.0550562
n	0.00676916	0.343348	0.236576	0.202963	0.168541	0.0418027
g	0.00363585	0.649891	0.056746	0.0237759	0.242418	0.0235326
á	0.00436438	0.50798	0.0675198	0.0189947	0.360867	0.0402745
n	0.00235894	0.0241398	0.0817746	0.185606	0.596094	0.110026
d	0.00157394	0.140163	0.0455088	0.0262237	0.564266	0.222265
z	0.000105217	0.0216994	0.00603842	0.00802775	0.768818	0.195311
ω	5.27176e-05	0.00229988	0.00407688	0.00797581	0.720864	0.264731
ώ	0.00340911	0.0216027	0.0306681	0.0546428	0.301728	0.587949
</S>	0.000182715	0.00363752	0.0133872	0.0184648	0.0598244	0.904503
