 	il	a	abattu	une	arbre	</S>
w	0.718944	0.268958	0.00586734	0.00378406	0.00227693	0.000169737
a	0.713058	0.225621	0.000639289	0.0390609	0.021326	0.000295049
á	0.108925	0.831576	0.0245718	0.0268574	0.00114636	0.00692359
k	0.0310364	0.593798	0.294327	0.0429989	0.00502571	0.0328148
w	0.011617	0.0672384	0.836031	0.0361058	0.00525305	0.0437545
ε	0.00683985	0.0505001	0.902602	0.019161	0.00227961	0.0186168
r	0.0771411	0.20939	0.137705	0.205172	0.0980934	0.272499
i	0.198499	0.356882	0.0772653	0.324439	0.0109675	0.0319469
i	0.0218175	0.190428	0.0580278	0.602391	0.103295	0.0240406
b	0.00255384	0.00788358	0.0503007	0.211802	0.632574	0.0948865
v	0.00224645	0.0071458	0.025877	0.0611329	0.887753	0.0158444
ú	0.000219116	0.00149241	0.0285193	0.0555428	0.889875	0.0243516
a	0.0100502	0.022773	0.0155205	0.203816	0.661677	0.0861629
</S>	0.00197898	0.00593683	0.00458337	0.252824	0.237951	0.496725
