 	le	puiné	de	notre	famille	est	à	brazaville	</S>
o	0.537112	0.440436	0.0103323	0.00493767	0.00368366	0.00122437	0.00220561	4.78799e-05	2.11209e-05
k	0.0799256	0.908478	0.0026015	0.00203309	0.0034006	0.000793911	0.00087548	0.000652624	0.001239
y	0.0866634	0.860726	0.0068725	0.00220441	0.0253917	0.00695261	0.00511404	0.00253407	0.00354104
é	0.0183782	0.967978	0.00241671	0.00232397	0.00350163	0.00103373	0.000691465	0.00347687	0.000199242
n	0.175383	0.754833	0.0131485	0.0112643	0.00872157	0.00743704	0.0115014	0.00346068	0.0142509
á	0.0694648	0.886434	0.00932158	0.00346191	0.00368195	0.00427077	0.00241836	0.00123883	0.0197075
m	0.406197	0.17364	0.305312	0.0414453	0.0190441	0.0174447	0.013057	0.000673519	0.0231859
á	0.264559	0.0194672	0.554879	0.113294	0.00742021	0.0091119	0.013467	0.0018886	0.0159125
n	0.496101	0.0509152	0.268504	0.114933	0.0176893	0.0120665	0.0158017	0.00602058	0.0179691
d	0.0366152	0.00804324	0.158999	0.657592	0.00841575	0.00688112	0.0106353	0.0805319	0.0322868
é	0.00677672	0.0374457	0.248367	0.470878	0.0247321	0.0103521	0.00954484	0.13318	0.0587244
e	0.0465938	0.0995955	0.224032	0.317333	0.0502789	0.023084	0.0200303	0.131909	0.0871432
y	0.0438232	0.00703952	0.562485	0.230696	0.106792	0.0218094	0.0133319	0.0011081	0.0129146
á	0.0422062	0.0063241	0.359218	0.438509	0.0544144	0.0200294	0.0205459	0.0169056	0.0418474
b	0.0424853	0.00331522	0.168481	0.67181	0.054194	0.0137478	0.0231609	0.0148628	0.00794346
í	0.0342685	0.00910778	0.189866	0.641689	0.0976512	0.0121281	0.00754794	0.00484136	0.00290052
s	0.133692	0.00601624	0.304783	0.454069	0.0543441	0.0127661	0.0127551	0.00474707	0.0168271
í	0.00882801	0.00213481	0.111283	0.589839	0.0735877	0.0355634	0.0300006	0.00675343	0.14201
á	0.00766357	0.000975419	0.160531	0.256049	0.380537	0.110276	0.0431656	0.00185867	0.0389433
b	0.00445761	0.00486403	0.0217413	0.171766	0.36006	0.341948	0.0596598	0.00772344	0.0277792
h	0.00215211	0.0015686	0.0106911	0.0950027	0.648872	0.178793	0.0446312	0.00299783	0.0152914
e	0.00412118	0.00209291	0.0341941	0.0787372	0.597747	0.209883	0.0544312	0.00150271	0.01729
á	0.00190112	0.000880651	0.0305024	0.148033	0.330058	0.23579	0.10446	0.00502103	0.143353
ó	0.00342613	0.00133639	0.0181188	0.136475	0.0492216	0.288836	0.341266	0.119841	0.0414791
n	0.00384902	0.00247562	0.0071337	0.0367469	0.0952661	0.451078	0.193231	0.168181	0.0420395
g	0.00183663	0.0015984	0.0104814	0.211553	0.0112859	0.0876551	0.0860856	0.483978	0.105525
y	0.000396688	0.00186395	0.00382875	0.0764327	0.00871162	0.0328745	0.0268867	0.832788	0.0162171
ε	0.000332722	0.00158538	0.00329542	0.0452482	0.0182993	0.183706	0.141597	0.440977	0.164959
l	0.00254285	0.00189611	0.0294757	0.172676	0.0436506	0.0898595	0.0751065	0.0791811	0.505612
έ	0.000328932	0.000399083	0.00240025	0.0146252	0.0218589	0.247889	0.253083	0.055272	0.404143
</S>	0.00100378	4.98387e-05	0.00274422	0.00774402	0.00959935	0.150593	0.310251	0.0175329	0.500481
