 	cette	manière	de	cajoler	les	enfants	est	celle	des	mères	d'	en	temps	</S>
e	0.442531	0.32174	0.0978959	0.0613502	0.0433119	0.00774623	0.00447567	0.00285754	0.00435833	0.00369019	0.00279401	0.000915668	0.0024413	0.00389268
k	0.00254451	0.000587279	0.00551591	0.906631	0.0432529	0.0168511	0.00873229	0.00613889	0.0027002	0.000144443	0.000774819	0.000979191	0.00450096	0.000646127
w	0.014181	0.000646098	0.00397654	0.951217	0.0138094	0.0042138	0.00376652	0.00262218	0.000948135	0.000147997	0.000351677	0.00033142	0.00320292	0.000585143
ω	0.00407033	0.00219489	0.0189811	0.814497	0.0870502	0.0341932	0.0158545	0.00275214	0.00690231	0.00024175	0.00309764	0.00237201	0.00425427	0.00353828
s	0.0792773	0.111526	0.064891	0.291364	0.258328	0.136933	0.0125409	0.00287094	0.00537545	0.00228301	0.00581622	0.00220072	0.00930426	0.0172893
í	0.0610037	0.0364999	0.0150143	0.0711347	0.110195	0.0292636	0.10419	0.0528788	0.106703	0.00870082	0.148105	0.0434337	0.0547302	0.158147
l	0.116318	0.126625	0.178747	0.0931107	0.278497	0.0369358	0.0371899	0.0118727	0.00649327	0.00754543	0.0135546	0.014552	0.0113121	0.0672457
í	0.468978	0.126842	0.0659417	0.0404385	0.044646	0.0111851	0.0412381	0.0144416	0.00609773	0.00179568	0.0104589	0.00735615	0.00855241	0.152028
y	0.25384	0.163351	0.269458	0.0599778	0.065871	0.0314398	0.0336516	0.0252177	0.00923248	0.00577008	0.0111898	0.00831811	0.00388867	0.0587938
á	0.171186	0.13503	0.167793	0.0336505	0.0290611	0.00669718	0.0596634	0.14356	0.0174682	0.0184941	0.0227903	0.0135759	0.00788176	0.173147
b	0.126443	0.0926387	0.283002	0.0859438	0.0746743	0.101916	0.0216002	0.0667944	0.0161755	0.0400795	0.0108733	0.00671668	0.0082366	0.0649058
á	0.00436919	0.000228089	0.00573206	0.23689	0.152994	0.589661	0.00373687	0.00134996	0.00257528	0.000177415	0.000426159	0.000422846	0.00101231	0.000424616
n	0.00463834	0.000629164	0.047513	0.110041	0.198183	0.514602	0.0480961	0.0156389	0.0161648	0.00204702	0.00998301	0.00725194	0.00545048	0.0197609
a	0.0126192	0.00742385	0.0877024	0.0673948	0.20976	0.484873	0.0146189	0.016538	0.0177112	0.0119268	0.0121203	0.00279109	0.00320909	0.0513112
y	0.00551586	0.00758063	0.128999	0.0627885	0.182142	0.0535582	0.230128	0.195687	0.0157872	0.0814931	0.0108205	0.0120856	0.00441794	0.00899642
é	0.199727	0.110624	0.102375	0.010422	0.0403891	0.0144207	0.116477	0.274995	0.0302399	0.0689744	0.0119498	0.00680459	0.00366131	0.00894163
y	0.0779361	0.0235889	0.0588559	0.0180743	0.0750501	0.0363664	0.13443	0.363576	0.0757926	0.0868701	0.014947	0.0162942	0.00916372	0.00905557
á	0.0507661	0.0219086	0.0368994	0.0154453	0.020354	0.0127428	0.101267	0.536061	0.015056	0.165214	0.00255261	0.00286966	0.00297256	0.0158907
a	0.0336065	0.014894	0.0226151	0.0099583	0.0525766	0.0255365	0.109827	0.482964	0.153625	0.0392247	0.0232865	0.0132559	0.00451038	0.0141198
n	0.0124603	0.00245265	0.00535221	0.0192132	0.0278745	0.0245042	0.303945	0.25148	0.155269	0.0693754	0.0248246	0.0281877	0.0380608	0.0370008
g	0.0670969	0.050125	0.0261484	0.00252632	0.0350176	0.0133452	0.0308176	0.132371	0.0858903	0.480415	0.0161591	0.0124532	0.0135147	0.0341195
ó	0.000581197	0.0020614	0.00421432	0.00189024	0.00986865	0.0206641	0.00702595	0.0336224	0.0222584	0.883222	0.00450676	0.00233484	0.00472746	0.00302247
o	0.000725233	0.000871467	0.0100917	0.00223858	0.0100353	0.0065211	0.00579504	0.0409725	0.0289024	0.785561	0.0379172	0.0174802	0.0321885	0.0206996
b	0.00205313	0.00315227	0.00711486	0.00162851	0.0202579	0.00330313	0.0411247	0.0623604	0.136334	0.0484078	0.363492	0.202664	0.0503863	0.0577209
á	0.12057	0.019741	0.023728	0.0214695	0.0513487	0.0245989	0.0547082	0.0274093	0.116891	0.0152215	0.156073	0.0370767	0.0553407	0.275823
k	0.0121896	0.0133257	0.0479217	0.00345899	0.0424023	0.0130105	0.0186102	0.0182521	0.0384884	0.0508746	0.209449	0.253745	0.129861	0.14841
a	0.00763998	0.00146379	0.00420211	0.0507934	0.019198	0.0147586	0.0294985	0.0142636	0.171818	0.0153506	0.127323	0.0673816	0.301618	0.174692
l	0.000490144	0.00013494	0.00250797	0.00349333	0.00815153	0.00297233	0.0176353	0.0143949	0.0196346	0.0146966	0.0881377	0.145658	0.265978	0.416114
a	0.00327084	0.00186125	0.00584293	0.0053505	0.0086847	0.00448513	0.0127353	0.0178945	0.0591928	0.115217	0.213173	0.139102	0.198293	0.214897
</S>	0.00183037	0.00175882	0.00557598	0.00113573	0.00336845	0.000519178	0.00789662	0.00886991	0.024165	0.00713748	0.216269	0.226578	0.108108	0.386787
