 	cette	chaussure	est	de	grande	pointure	</S>
m	0.336839	0.557012	0.0542482	0.0198824	0.0278363	0.00213265	0.00204892
w	0.215938	0.342034	0.25555	0.066893	0.0413051	0.00344742	0.0748326
e	0.0461838	0.942535	0.00417068	0.00129106	0.000379966	0.00510508	0.000334037
r	0.372921	0.459858	0.0530229	0.0256072	0.0108133	0.00430451	0.0734734
é	0.328239	0.439817	0.035133	0.027112	0.0101259	0.0173506	0.142222
m	0.6367	0.21385	0.0895358	0.021403	0.0156659	0.00604864	0.0167963
é	0.457369	0.231681	0.215224	0.0368294	0.0366632	0.00662486	0.0156085
k	0.419908	0.117547	0.219788	0.0925459	0.0661057	0.0331904	0.0509147
o	0.0543918	0.254307	0.140789	0.185025	0.0876825	0.203925	0.0738797
o	0.0707603	0.28397	0.152886	0.171655	0.137117	0.14135	0.0422616
m	0.0274126	0.00314573	0.195944	0.29507	0.406714	0.0169132	0.0548001
ú	0.175664	0.0364633	0.129731	0.111325	0.0872067	0.113295	0.346314
ó	0.0456379	0.00522271	0.0986152	0.221426	0.317774	0.215934	0.0953897
d	0.00874663	0.00218263	0.0537368	0.223158	0.334389	0.289053	0.0887345
í	0.00555118	0.000280855	0.0156902	0.0948994	0.081936	0.0687785	0.732864
o	0.0219637	0.0018127	0.077502	0.185363	0.346829	0.101915	0.264615
l	0.00266175	0.00109346	0.00430774	0.0560722	0.118971	0.622667	0.194227
a	0.00737555	0.00135567	0.00616977	0.075416	0.12992	0.520482	0.25928
á	0.00577266	0.00134675	0.0106036	0.0771079	0.163436	0.312592	0.429141
</S>	0.00597265	0.0026588	0.0454411	0.0879966	0.159516	0.0429924	0.655422
