 	sa	gorge	est	sèche	</S>
w	0.942979	0.0428873	0.0108048	0.00299342	0.000336016
a	0.748221	0.119449	0.12429	0.00573622	0.00230402
o	0.645399	0.280799	0.0390053	0.00368667	0.0311103
n	0.163342	0.673788	0.0740081	0.0208446	0.0680174
g	0.0066718	0.980568	0.00242306	0.00168125	0.00865542
o	0.00453782	0.990694	0.00110989	0.000412644	0.00324539
n	0.0115092	0.974029	0.00487554	0.00332946	0.00625669
g	0.128447	0.134285	0.130542	0.0244153	0.582311
a	0.193904	0.784788	0.00778294	0.00155723	0.0119685
ó	0.248233	0.121746	0.52768	0.0620247	0.0403158
d	0.0637203	0.0343419	0.735338	0.140618	0.0259815
í	0.0190385	0.00697785	0.217491	0.0185711	0.737921
o	0.0596205	0.00276876	0.260588	0.137494	0.539529
k	0.00128306	0.00985487	0.0639184	0.792852	0.132092
y	0.000179923	0.000943158	0.0218091	0.935589	0.041479
ε	0.00956496	0.00705383	0.0892754	0.783404	0.110701
m	0.0152075	0.00546945	0.240775	0.362558	0.37599
έ	0.0122971	0.00050744	0.237486	0.365325	0.384385
k	0.0114734	0.00409072	0.0866705	0.175657	0.722109
y	0.0260372	0.00360846	0.218832	0.487999	0.263523
ε	0.0026773	0.00111405	0.0190873	0.936098	0.0410235
m	0.000834116	0.00308914	0.0791603	0.394811	0.522105
ε	0.0282245	0.00141742	0.158689	0.339966	0.471704
</S>	0.0288218	0.00182764	0.0674842	0.0233562	0.87851
