 	un	malade	qui	a	des	plaies	a	besoin	d'	un	chasse-mouche	</S>
o	0.526309	0.33643	0.0580496	0.0208227	0.0133255	0.0123046	0.0152298	0.00182411	0.00792515	0.00558787	0.002086	0.000105441
k	0.0330301	0.93208	0.0165577	0.0036747	0.00211164	0.0029041	0.000743717	0.00465947	0.00164533	0.00116485	0.00082811	0.000600168
ω	0.00851521	0.876851	0.00245149	0.00151818	0.00266425	0.0387601	0.000499735	0.0488813	0.00401363	0.00331976	0.0114616	0.00106395
n	0.00692833	0.954237	0.0267043	0.000752495	0.000543544	0.00389963	0.000330349	0.00211731	0.00184187	0.00176141	0.000730556	0.000153528
í	0.142528	0.77637	0.0119828	0.00423232	0.00530881	0.0147588	0.00171908	0.020901	0.00812821	0.00290174	0.00375354	0.00741597
m	0.291638	0.0267578	0.416763	0.108524	0.0414479	0.0194141	0.0293804	0.00614895	0.0141727	0.0142221	0.000985541	0.0305457
ó	0.687315	0.012088	0.0837907	0.0645379	0.0525927	0.0152047	0.0573268	0.0024735	0.00565522	0.00905036	0.00237922	0.00758567
ó	0.647379	0.0234387	0.0662761	0.060472	0.0442802	0.119202	0.0207415	0.00362635	0.0045823	0.00566133	0.00105318	0.00328709
d	0.0774655	0.0200706	0.0592467	0.168551	0.274697	0.129693	0.0531421	0.183595	0.0175175	0.00439818	0.00358462	0.00803887
í	0.0112829	0.00154294	0.0164235	0.144899	0.25895	0.0596204	0.0200807	0.30957	0.0351619	0.00436338	0.00757124	0.130534
l	0.0585433	0.000514409	0.0340937	0.12837	0.262267	0.167935	0.109291	0.0772997	0.032561	0.0207655	0.00454011	0.10382
a	0.00247621	0.000336517	0.00890697	0.0760441	0.188267	0.467293	0.134352	0.042721	0.021099	0.0160901	0.00168011	0.0407334
p	0.00877534	0.00218347	0.010543	0.0411137	0.111825	0.507715	0.117656	0.0698216	0.0379818	0.0233714	0.00357618	0.0654382
ó	0.00367649	0.00133917	0.00304507	0.0228685	0.0458224	0.817555	0.0189958	0.0300436	0.0140813	0.00905863	0.0228655	0.010649
r	0.000310548	0.000458699	0.00395738	0.00929584	0.0270829	0.804474	0.021073	0.0665929	0.0132253	0.0105664	0.0142303	0.0287327
á	0.0132114	0.0466915	0.0571856	0.0585056	0.0922934	0.466241	0.05895	0.0646427	0.044233	0.0184369	0.0089519	0.070657
ó	0.00705575	0.000896891	0.0085038	0.0423006	0.0880546	0.167594	0.524378	0.0711524	0.0467504	0.0192301	0.00342411	0.0206592
m	0.0105064	0.00235142	0.00918954	0.0126616	0.024839	0.0351527	0.0940435	0.669559	0.105055	0.0216961	0.00956303	0.00538207
i	0.00993439	0.0010472	0.00675383	0.0161596	0.0321056	0.00539433	0.0952479	0.494359	0.188022	0.0319578	0.0642109	0.0548074
k	0.00159954	0.000847635	0.00140743	0.00208011	0.0059389	0.00280112	0.0158127	0.761556	0.151552	0.0163785	0.0136297	0.0263959
á	0.00034456	0.00102323	0.000537971	0.000818986	0.00200443	0.00654355	0.00202998	0.837908	0.0747661	0.00832952	0.0548031	0.0108906
m	0.000357111	0.000243701	0.000551177	0.00302663	0.0116296	0.0519163	0.00899725	0.649962	0.0572359	0.0301756	0.103346	0.0825584
b	0.00229987	0.000600988	0.00153088	0.00214879	0.00589035	0.00310478	0.0267981	0.355747	0.431698	0.093678	0.0190362	0.0574666
á	0.00853781	0.00132719	0.00451381	0.0139604	0.0279655	0.0160876	0.0439229	0.178418	0.331667	0.0791998	0.0442422	0.250158
m	0.00268339	0.000151498	0.00388235	0.00846003	0.0137403	0.0140431	0.102426	0.0483901	0.235652	0.433767	0.063424	0.0733803
é	0.000754871	0.000180525	0.00204375	0.00267666	0.00540479	0.00092471	0.0287289	0.0179766	0.252957	0.203848	0.209894	0.27461
p	0.00138609	0.0014578	0.00312841	0.00198174	0.00430304	0.00302154	0.0203373	0.0337629	0.153724	0.263479	0.461307	0.0521117
f	0.000542566	0.000216429	0.000584099	0.000471188	0.00101359	0.00782505	0.00203545	0.0067747	0.0149144	0.0890199	0.860329	0.0162733
u	0.000903563	0.000307884	0.000890453	0.00144525	0.00301885	0.0127774	0.00264123	0.0442568	0.0765124	0.17903	0.62409	0.054127
m	0.000691909	0.000167594	0.000213496	0.000172081	0.000593118	0.00228177	0.000973494	0.0208834	0.0525153	0.0808619	0.737208	0.103438
b	0.0223584	0.00211781	0.001237	0.00123786	0.00231365	0.00635118	0.0118937	0.00789096	0.121851	0.360739	0.403774	0.0582348
u	0.000711609	8.3339e-05	0.000457689	0.000685914	0.00164352	0.00163053	0.00422225	0.0100484	0.0821287	0.0601169	0.820356	0.0179148
</S>	0.00107645	0.00010176	0.0016381	0.0011917	0.00213255	0.00172588	0.00842644	0.0205343	0.122312	0.301945	0.0656964	0.473219
