 	les	hommes	chantonnent	</S>
a	0.872143	0.126798	0.000998268	6.05197e-05
b	0.208233	0.769665	0.0195954	0.00250708
a	0.0380574	0.944796	0.0144521	0.00269461
a	0.0748523	0.720834	0.0702728	0.134041
b	0.426385	0.392968	0.0299491	0.150698
ó	0.223754	0.253283	0.0316339	0.491329
b	0.498394	0.320502	0.0491183	0.131986
á	0.591019	0.216336	0.0336544	0.158991
a	0.450625	0.482001	0.0129395	0.0544343
k	0.00381574	0.0112169	0.901922	0.0830451
a	0.000474877	0.00233561	0.98157	0.0156197
n	0.00150384	0.0112668	0.759996	0.227233
á	0.0071919	0.00436077	0.65799	0.330458
o	0.0556441	0.0086912	0.0572936	0.878371
k	0.0281641	0.0173606	0.439524	0.514951
í	0.000910202	0.00529974	0.928929	0.0648611
m	0.0027421	0.00569625	0.566111	0.425451
á	0.0180448	0.00113498	0.0552739	0.925546
</S>	0.206689	0.0162911	0.0385601	0.73846
