 	un	homme	est	venu	accuser	ton	père	</S>
i	0.561462	0.389875	0.0180476	0.00161625	0.00586979	0.0225274	0.000228451	0.000372829
b	0.0662357	0.908417	0.00485986	0.00309278	0.015636	0.000738197	0.000190641	0.000830147
a	0.00212748	0.994356	0.000294136	7.58344e-05	0.00303494	5.01645e-05	3.44772e-05	2.73234e-05
a	0.0077567	0.963504	0.00500722	0.00117948	0.0181542	0.00195234	0.00026895	0.00217749
i	0.593867	0.0630734	0.150323	0.0171145	0.0123905	0.00770571	0.00280144	0.152725
p	0.130461	0.0394701	0.181722	0.143205	0.0805623	0.0209649	0.0444482	0.359167
ω	0.00907011	0.095733	0.265405	0.185358	0.289418	0.00546932	0.0413005	0.108246
ώ	0.172497	0.0668176	0.225074	0.170077	0.0842446	0.0605811	0.016693	0.204015
í	0.0317888	0.00219746	0.446603	0.382663	0.0397888	0.0689079	0.00295496	0.0250965
y	0.00154878	0.00156981	0.114796	0.674507	0.171781	0.00779421	0.0108465	0.0171562
ε	0.00384072	0.00030063	0.0954495	0.676837	0.149352	0.019567	0.0115109	0.0431423
ε	0.0119543	0.00169467	0.0974363	0.274506	0.173485	0.036612	0.0149528	0.389359
o	0.00687637	0.00120563	0.159612	0.183224	0.154943	0.417459	0.0202116	0.0564678
f	0.00240318	0.00133381	0.017173	0.0686397	0.870267	0.0209412	0.00748008	0.011762
ú	0.00159654	0.00382748	0.0136413	0.00900888	0.881312	0.00456756	0.0304325	0.0556138
n	0.00430273	0.000115876	0.000872544	0.000282554	0.960761	0.000683944	0.00265983	0.030322
d	0.0181733	0.000480164	0.0091569	0.00225133	0.848796	0.036062	0.00698355	0.0780965
á	0.00709999	0.000930768	0.0391962	0.00492806	0.635902	0.210897	0.0039683	0.0970769
n	0.00450646	0.000304705	0.0156159	0.0121324	0.237626	0.573714	0.0999513	0.0561489
ω	0.00276277	2.50134e-05	0.000939903	0.00234007	0.0213098	0.93897	0.0183121	0.0153399
t	0.00309454	0.000206281	0.0285894	0.0455736	0.0318942	0.352941	0.237238	0.300463
á	0.00839105	0.00140611	0.00571902	0.000578454	0.0379925	0.0391933	0.848744	0.0579754
á	0.000673537	0.000227989	0.0019772	0.00172223	0.011738	0.0190186	0.900937	0.0637048
</S>	0.00208276	0.0031083	0.0666032	0.0485345	0.0311843	0.186723	0.0958526	0.565911
