 	les	petits	enfants	se	baignent	nus	au	marigot	</S>
a	0.384372	0.584512	0.0180218	0.00563976	0.00491838	0.000618827	0.00124445	0.000623032	4.97284e-05
n	0.140397	0.689396	0.0717253	0.0322769	0.0085697	0.013498	0.00530236	0.036352	0.00248296
d	0.218244	0.671017	0.0589077	0.0295886	0.00241016	0.00199871	0.00375229	0.00333109	0.0107497
z	0.176141	0.718734	0.0655335	0.0101278	0.000913288	0.00129915	0.00204595	0.00330071	0.021905
é	0.226192	0.731406	0.0300676	0.0064195	0.000463858	6.31277e-05	0.000530633	0.00106609	0.00379185
s	0.413951	0.531465	0.0332777	0.0104664	0.000138367	0.00010929	0.000941553	0.00306382	0.0065871
i	0.459265	0.348547	0.078865	0.0193484	0.00189318	0.000773983	0.00413843	0.00663697	0.0805313
b	0.176609	0.139118	0.370611	0.224485	0.0217179	0.0217032	0.0240776	0.00136719	0.0203107
ó	0.207529	0.111432	0.285633	0.256485	0.0221224	0.0135769	0.0477313	0.00260737	0.0528848
b	0.159202	0.125737	0.213316	0.310533	0.088021	0.0300857	0.0514533	0.00476373	0.0168883
á	0.356725	0.0931164	0.354246	0.165065	0.0111921	0.00506837	0.0079066	0.000756507	0.00592405
a	0.100294	0.103238	0.551524	0.18059	0.0445996	0.00386904	0.00978611	0.00036317	0.00573587
p	0.00249652	0.0018746	0.0240599	0.224464	0.316151	0.414875	0.00649246	0.00182138	0.00776591
f	0.00214046	0.00218922	0.0195925	0.34723	0.354841	0.255189	0.00418503	0.00235886	0.0122746
u	0.00330502	0.000996892	0.00743291	0.234571	0.36489	0.366681	0.00463123	0.00474865	0.0127437
b	0.00766324	0.0122142	0.0388494	0.286772	0.52704	0.0746956	0.0122222	0.0146883	0.0258543
h	0.00432161	0.00194508	0.01977	0.146732	0.621186	0.116825	0.0401394	0.00519028	0.0438904
á	0.00509602	0.00292437	0.0198914	0.0799225	0.422417	0.0943058	0.0701349	0.0226078	0.2827
i	0.0049178	0.000944304	0.00961632	0.0850485	0.298462	0.245029	0.262967	0.0504717	0.0425444
t	0.00556312	0.00252002	0.00360918	0.0342334	0.0943943	0.556497	0.121755	0.129705	0.0517232
á	0.000608002	0.000514518	0.000783486	0.0294294	0.310695	0.397146	0.0362798	0.185374	0.0391701
b	0.000819636	0.00070299	0.00574526	0.0261899	0.306361	0.444384	0.0518885	0.0374143	0.126494
h	0.00179941	0.000654832	0.00130404	0.0160756	0.0865611	0.673093	0.0930686	0.0222009	0.105242
a	0.0145663	0.00583576	0.00687966	0.0663697	0.15937	0.203779	0.0327338	0.10084	0.409626
s	0.0039439	0.00108778	0.000591271	0.00953665	0.0185133	0.0431226	0.18439	0.454377	0.284438
o	0.00699494	0.000738875	0.000507762	0.0040523	0.00165145	0.0346978	0.107962	0.202942	0.640453
k	0.00325286	0.000997466	0.000650849	0.00291737	0.00118806	0.0025145	0.153421	0.654243	0.180816
y	0.000978623	0.000918292	0.000837091	0.00854256	0.0117555	0.0294976	0.0534599	0.83002	0.0639905
ε	0.00158889	0.00056178	0.000313843	0.00148193	0.00638831	0.0074981	0.0302605	0.892982	0.0589251
s	0.000167897	9.04442e-05	4.97745e-05	0.00148741	0.00229486	0.00531665	0.0236089	0.82074	0.146244
í	0.00117393	0.00072099	0.000998222	0.00311422	0.00931008	0.0147869	0.096105	0.360172	0.513619
</S>	0.0143944	0.000922323	0.000595379	0.00624537	0.0037358	0.0046961	0.148319	0.0615035	0.759588
