 	masse-moi	le	pied	</S>
m	0.423058	0.520855	0.0553959	0.000690866
ó	0.299134	0.170027	0.00840482	0.522434
d	0.932788	0.0332895	0.032264	0.00165866
z	0.91335	0.036069	0.0156039	0.0349771
a	0.988551	0.00405688	0.000858272	0.00653421
r	0.730136	0.0332819	0.00447482	0.232107
á	0.365648	0.229281	0.0119468	0.393125
n	0.176429	0.555553	0.0536907	0.214328
g	0.21463	0.503282	0.0345416	0.247547
á	0.178938	0.611441	0.0342193	0.175403
e	0.119747	0.224121	0.435424	0.220708
k	0.135159	0.0441454	0.666957	0.153739
o	0.0149066	0.00407527	0.965565	0.0154532
o	0.0831051	0.0081434	0.787016	0.121736
</S>	0.0384131	0.0756858	0.0535073	0.832394
