 	les	vieillards	perdent	leur	mémoire	</S>
i	0.357945	0.538451	0.100353	0.00309295	7.49861e-05	8.34113e-05
d	0.0637707	0.91221	0.0222917	0.00036877	0.000967753	0.0003911
u	0.127299	0.866375	0.00290875	9.85222e-05	0.000324812	0.00299396
n	0.0991776	0.849618	0.0452505	0.00346946	0.000259542	0.00222487
ú	0.211753	0.760625	0.0195937	0.0041756	0.000190417	0.00366218
b	0.152594	0.0786363	0.559368	0.0669863	0.0166418	0.125774
í	0.111812	0.0108298	0.077597	0.758141	0.00579534	0.0358252
i	0.0551491	0.0336081	0.269462	0.354629	0.0610784	0.226074
b	0.00496472	0.00796998	0.0401445	0.0791317	0.7043	0.163489
h	0.000793837	0.00203882	0.00334529	0.00276643	0.98895	0.00210574
o	0.000190014	0.0017187	0.0049617	0.00103312	0.985597	0.00649904
n	0.0207034	0.0830112	0.110515	0.027111	0.373608	0.385051
a	0.0638067	0.0921543	0.0423711	0.0554141	0.372596	0.373658
a	0.0649009	0.0142258	0.0647566	0.331271	0.0457632	0.479082
</S>	0.119991	0.020437	0.0568771	0.303978	0.0691375	0.429579
