 	son	récit	nous	brisa	le	coeur	</S>
d	0.358068	0.581609	0.00651128	0.0453099	0.00798269	0.000238827	0.00028099
z	0.215736	0.721588	0.00654694	0.00663022	0.0186628	0.000249437	0.0305862
ú	0.022279	0.975581	0.000429163	0.00027695	0.000387282	0.000690593	0.000356536
e	0.05026	0.928392	0.000432317	0.000904239	0.0017338	0.00632861	0.0119489
l	0.177036	0.267476	0.00741345	0.016124	0.0221888	0.0039361	0.505825
á	0.522774	0.0304527	0.0184639	0.0928237	0.0606266	0.00338858	0.27147
w	0.900373	0.0115722	0.0385473	0.0187266	0.025924	0.00167477	0.00318253
a	0.6414	0.0317418	0.0572037	0.0612984	0.0754703	0.0181736	0.114712
í	0.123191	0.00565718	0.0893694	0.308221	0.291308	0.0178463	0.164408
k	0.00585381	0.00235564	0.00711487	0.611129	0.332174	0.00792797	0.033445
y	0.0041547	0.00589449	0.00771837	0.710337	0.204412	0.0333789	0.0341039
é	0.0110612	0.00775028	0.0203534	0.474564	0.305203	0.0960513	0.0850169
n	0.0114532	0.0109672	0.200546	0.275111	0.169506	0.171321	0.161096
í	0.056511	0.00249776	0.192693	0.445165	0.271003	0.0107389	0.0213918
b	0.015824	0.00172938	0.752725	0.0330989	0.103282	0.0586776	0.0346634
í	0.00630367	0.00132457	0.942804	0.0312429	0.0118188	0.0044004	0.00210604
s	0.0101971	0.000932044	0.895654	0.0566428	0.0187314	0.00716429	0.0106782
í	0.0116848	0.00236232	0.0688498	0.365977	0.248209	0.0412547	0.261662
o	0.00166129	0.000526482	0.0390467	0.106485	0.425598	0.0942533	0.332429
t	0.00031432	0.00242989	0.000256378	0.00410371	0.0234926	0.930556	0.0388469
é	3.00581e-05	0.000530018	9.51771e-05	0.00707405	0.0233293	0.904732	0.0642099
m	0.000184648	9.42713e-05	0.000350952	0.0621762	0.0664802	0.527501	0.343213
a	0.00547594	0.000966952	0.00196067	0.0182723	0.233774	0.171319	0.568231
</S>	0.0136099	0.000353514	0.0190178	0.0169446	0.105823	0.0228056	0.821446
