 	son	oncle	l'	a	battu	parce	qu'	il	est	têtu	</S>
n	0.974844	0.0168948	0.00147681	0.000735219	0.00228767	0.00164962	0.00135788	0.000484435	0.000140148	0.000115122	1.38489e-05
g	0.611042	0.38081	0.00430354	0.00135488	0.00122085	0.000416746	0.000286285	0.00019737	0.000330977	2.46043e-05	1.20744e-05
ó	0.101607	0.892253	0.00197137	0.00107272	0.0010487	0.000520563	0.000445566	0.000356609	0.000317603	0.000330653	7.65662e-05
l	0.166033	0.828952	0.0021314	0.000586967	0.000904197	0.000242125	0.000108808	0.000107983	0.000152095	0.000403389	0.000377837
ó	0.105322	0.729714	0.0289766	0.0167207	0.0104182	0.0266508	0.0204147	0.0199736	0.0162068	0.0161666	0.00943593
m	0.0212934	0.336943	0.301052	0.0841108	0.0642991	0.0596331	0.0304143	0.0326631	0.026592	0.0264002	0.0166
i	0.262179	0.299866	0.239698	0.0640406	0.0247033	0.0316296	0.0336139	0.0160565	0.00775743	0.0039573	0.0164987
á	0.201418	0.0499813	0.393592	0.203477	0.0564322	0.0127849	0.0114076	0.0088301	0.0118524	0.0039689	0.0462554
b	0.01147	0.0415815	0.2095	0.418434	0.168273	0.00468769	0.00676979	0.00767116	0.0180703	0.00510511	0.108437
έ	0.00248424	0.00328157	0.0898562	0.400611	0.430736	0.0198981	0.0133296	0.0120078	0.010295	0.00623112	0.011269
r	0.0753756	0.000936223	0.057872	0.26315	0.467996	0.0499	0.0221884	0.0110933	0.0108691	0.00224928	0.0383701
i	0.061191	0.000917471	0.0783686	0.224732	0.197185	0.131572	0.121464	0.0697904	0.0665518	0.0105599	0.0376686
w	0.0127792	0.00670525	0.197344	0.211845	0.184714	0.216903	0.101951	0.0378186	0.0150262	0.00384286	0.0110708
a	0.0225663	0.00143121	0.0681523	0.0622671	0.157166	0.328055	0.212506	0.101494	0.0205308	0.0133079	0.0125239
t	0.00378139	0.000515678	0.0658168	0.0708078	0.0849747	0.495882	0.190352	0.0630819	0.00972637	0.00643388	0.00862701
s	0.031639	0.00100855	0.0458673	0.0279662	0.0820188	0.291035	0.2922	0.159324	0.0178027	0.0211081	0.0300304
í	0.000625648	0.000348777	0.0139068	0.025906	0.524756	0.146835	0.166215	0.090672	0.0072887	0.011335	0.0121116
n	0.00458975	0.00642555	0.029444	0.0770228	0.276276	0.196566	0.17938	0.102121	0.0101658	0.0114294	0.10658
a	0.00617597	0.00175607	0.0312933	0.0634438	0.0743185	0.356825	0.168413	0.0650485	0.0145815	0.00290718	0.215237
w	0.00147701	0.000192523	0.0343649	0.0734836	0.0576241	0.217301	0.277224	0.250094	0.0658644	0.00721553	0.0151591
a	0.00368629	0.000434132	0.0164947	0.0333837	0.034009	0.120732	0.315897	0.360656	0.0436962	0.0295345	0.0414756
a	0.000612569	0.000107987	0.00902742	0.0101675	0.00732737	0.116585	0.201727	0.427873	0.172005	0.0228504	0.031718
d	0.000163816	0.000151862	0.0221618	0.103653	0.0347485	0.0113001	0.0348394	0.162756	0.461434	0.0503477	0.118443
í	0.000147617	1.3405e-05	0.0147636	0.0510528	0.0451207	0.0404638	0.0449633	0.0740833	0.164535	0.019899	0.544957
a	0.00133659	1.45641e-05	0.00590272	0.015372	0.0123442	0.0387046	0.0625114	0.139718	0.334616	0.0572574	0.332223
t	0.000340751	9.83735e-05	0.003025	0.0125114	0.0279969	0.00280186	0.0096928	0.0302959	0.181168	0.536027	0.196042
ú	0.000119387	0.000267298	0.00949895	0.0177211	0.0479683	0.0109066	0.0190145	0.0571648	0.064022	0.568638	0.204679
e	0.000486054	1.49389e-05	0.00022535	0.000863627	0.00457111	0.00200708	0.012109	0.0171114	0.0568617	0.142308	0.763441
ó	0.00040791	1.47229e-06	0.00111455	0.00455777	0.00418717	0.011196	0.0475806	0.0579509	0.259084	0.112056	0.501864
p	0.000110841	2.76005e-05	0.0101904	0.04628	0.0877664	0.00561461	0.0108823	0.0157558	0.259784	0.199677	0.363911
i	3.52447e-05	7.00462e-05	0.00251279	0.00956695	0.0197973	0.0025249	0.0126548	0.0414749	0.129563	0.310591	0.471209
a	0.000838786	4.94461e-05	0.000859135	0.00235066	0.00518211	0.00565215	0.0338259	0.0793952	0.0826889	0.292339	0.496819
</S>	0.00283987	4.394e-05	0.00792445	0.0151729	0.0129513	0.0360285	0.0660716	0.0746168	0.23899	0.128205	0.417155
