 	ces	petits	enfants	ont	collé	des	feuilles	sur	leurs	visages	</S>
b	0.387752	0.558739	0.0471001	0.00281709	0.000535139	0.0020123	0.00051955	0.000351174	0.00013838	3.13884e-05	4.4706e-06
á	0.0538112	0.54477	0.399971	0.000343347	0.000144968	0.000173421	8.53842e-05	0.000229133	0.000392806	1.73941e-05	6.15986e-05
n	0.03172	0.500494	0.465364	0.000570171	0.000828914	0.000265478	0.000189987	0.000105689	0.000404535	2.38768e-06	5.53916e-05
a	0.238617	0.628826	0.123897	0.000844892	0.00199481	0.000252898	0.00013677	0.000176346	0.000422393	3.82507e-05	0.00479416
b	0.39873	0.424989	0.0890879	0.0346871	0.00468457	0.0135842	0.00775266	0.00965283	0.00805032	0.00211565	0.00666553
á	0.115896	0.347778	0.255922	0.0716706	0.0148435	0.040925	0.0305948	0.0439008	0.0472592	0.00277931	0.0284306
n	0.0923971	0.293191	0.515272	0.0460107	0.0140246	0.00908371	0.00510486	0.00457055	0.00614283	0.00171778	0.0124854
d	0.684461	0.151799	0.0329461	0.0362038	0.0271433	0.00796127	0.00674428	0.0064801	0.00356444	0.0258629	0.016834
z	0.14051	0.0799101	0.230322	0.170588	0.167953	0.0205294	0.0197307	0.0166682	0.00711924	0.0320291	0.114641
é	0.2119	0.0494677	0.0250747	0.0182144	0.633471	0.0160339	0.00350512	0.0100052	0.00222879	0.00296157	0.0271379
s	0.36209	0.0737576	0.0109969	0.0480324	0.259727	0.0510984	0.0156806	0.0268387	0.00527017	0.0282751	0.118233
i	0.199874	0.0637657	0.0552925	0.119719	0.359537	0.0461608	0.00920735	0.026372	0.00777407	0.0090987	0.103198
b	0.0678053	0.0891782	0.0461088	0.66533	0.0325503	0.0561808	0.012418	0.0102445	0.00897167	0.00313541	0.00807671
á	0.163227	0.185106	0.107558	0.234057	0.0274216	0.0889523	0.0476372	0.0482484	0.0551864	0.00286968	0.0397361
á	0.193196	0.273511	0.0802362	0.281682	0.0603859	0.0559599	0.0161453	0.00998861	0.0140762	0.00138572	0.0134323
m	0.00705177	0.00650436	0.00249744	0.534852	0.281399	0.0560783	0.0391754	0.0179875	0.0125882	0.00725575	0.0346104
i	0.00645965	0.00335662	0.000976345	0.172063	0.681924	0.0779711	0.0119335	0.0225184	0.00804722	0.000294672	0.0144554
p	0.0010926	0.000156605	0.000105586	0.0367649	0.923741	0.0177415	0.00238096	0.00372422	0.000455731	0.000239683	0.0135976
ε	0.000610586	0.000352903	0.000296806	0.0553168	0.919578	0.00982414	0.00565469	0.00203605	0.000405823	0.000187305	0.00573652
r	0.00254214	0.00144056	0.000362969	0.0606233	0.841809	0.0367044	0.0266378	0.00956778	0.00139715	0.000458248	0.0184566
í	0.00625238	0.00371417	0.000173706	0.0354808	0.665246	0.14394	0.0378887	0.039575	0.00944362	0.00171427	0.0565718
s	0.003541	0.00468186	0.000932881	0.0419361	0.0739334	0.599249	0.12434	0.0674835	0.0198946	0.00222858	0.0617793
έ	0.00310852	0.00239458	0.00015653	0.0383277	0.3138	0.328213	0.193481	0.0686428	0.0164924	0.00439809	0.0309844
k	0.00296326	0.00293139	0.000911603	0.0167863	0.0266489	0.440939	0.305673	0.136413	0.0361279	0.019966	0.0106394
á	0.0247361	0.0272448	0.00465086	0.0195799	0.132153	0.0934801	0.498118	0.108681	0.0529959	0.0193228	0.0190378
s	0.00180923	0.00183733	0.00232084	0.0297442	0.0544892	0.0652284	0.637883	0.101167	0.0713009	0.0102295	0.0239908
i	0.00165498	0.000393215	4.83704e-05	0.0117843	0.0474658	0.0634504	0.686134	0.0962563	0.0189232	0.00908292	0.064807
m	0.000524248	0.000293499	4.05035e-05	0.0086139	0.00769592	0.0663032	0.212456	0.285985	0.229609	0.106942	0.0815372
é	0.00236243	0.00100196	0.000116911	0.00330428	0.00674759	0.0234344	0.0155066	0.139586	0.0679369	0.0155189	0.724484
l	0.00375401	0.00275109	0.000381064	0.0190704	0.013668	0.0376956	0.0628674	0.0856196	0.12924	0.549972	0.0949814
é	0.000701332	0.000216306	1.2292e-05	0.00268004	0.00438425	0.00453426	0.0143136	0.015607	0.031376	0.874137	0.0520379
n	0.000162347	9.24529e-05	1.09906e-05	0.0011735	0.000533198	0.00405564	0.0133597	0.0181051	0.022217	0.877696	0.0625936
g	0.00189152	0.000971597	0.000128448	0.00210694	0.00484151	0.0064584	0.0108783	0.0293872	0.0447381	0.796967	0.101631
é	0.00106138	0.00157125	0.000513823	0.000585927	0.00122325	0.00880874	0.0128847	0.031851	0.0185495	0.781196	0.141754
</S>	0.000462606	0.000148248	3.35183e-05	0.00155664	0.00553151	0.0387435	0.0306403	0.117121	0.0642665	0.252581	0.488916
