 	les	fourmis	sont	dans	le	miel	</S>
a	0.681893	0.296881	0.00790673	0.00259314	0.00993095	0.000595011	0.000200332
y	0.0785905	0.829247	0.05597	0.0192888	0.00621576	0.00628902	0.00439897
á	0.137786	0.46769	0.123208	0.0763376	0.0287355	0.116799	0.0494445
l	0.0268027	0.0703926	0.0507677	0.0522651	0.0192669	0.0330688	0.747436
a	0.235788	0.496848	0.124145	0.0451885	0.014594	0.0117724	0.0716633
y	0.130074	0.181914	0.421389	0.164189	0.0503957	0.00537993	0.0466577
á	0.149017	0.101387	0.408052	0.143642	0.0803789	0.031002	0.0865208
l	0.269358	0.05212	0.169915	0.197371	0.226296	0.0622253	0.0227142
a	0.102831	0.054976	0.20778	0.254436	0.185314	0.0874381	0.107225
á	0.0950586	0.0186716	0.242561	0.149765	0.296444	0.105587	0.0919118
d	0.00602572	0.00977578	0.141883	0.570495	0.155718	0.0562664	0.0598363
i	0.00124609	0.000809879	0.0865224	0.650336	0.0475042	0.0102248	0.203356
s	0.00209387	0.000405642	0.0715529	0.522278	0.217922	0.0283192	0.157429
á	0.000932393	0.000368929	0.018103	0.473977	0.151347	0.135049	0.220222
n	0.002847	0.000790814	0.00551031	0.0409625	0.288134	0.620612	0.0411434
d	0.00182268	0.000603116	0.00349577	0.0339979	0.180754	0.722205	0.0571213
z	0.000951323	0.000535818	0.00134677	0.00566229	0.0717641	0.893122	0.0266178
ú	0.000203234	0.000132488	0.00121606	0.00987788	0.048955	0.928523	0.0110919
e	0.000620724	0.000298566	0.00169166	0.0197506	0.0546446	0.818166	0.104828
</S>	0.00144045	0.000700421	0.0357411	0.0288044	0.130646	0.0224024	0.780265
