 	cet	homme	est	très	actif	il	travaille	beaucoup	</S>
i	0.915288	0.061077	0.0032123	0.00106677	0.00985716	0.00583815	0.00351401	0.000119395	2.69366e-05
b	0.164955	0.786033	0.0276746	0.0104536	0.00264369	0.000879627	0.00524351	0.00129814	0.000818619
a	0.00379381	0.995152	0.00024493	0.000247635	0.000182855	0.00012846	8.6136e-05	9.71571e-05	6.7252e-05
a	0.0176317	0.965306	0.00186414	0.00134334	0.00132796	0.00228752	0.00161837	0.00151835	0.00710231
d	0.672315	0.201297	0.045306	0.00792751	0.00285262	0.00359428	0.008421	0.00446668	0.0538201
í	0.13151	0.0099371	0.0353803	0.00750906	0.0138463	0.0191035	0.0363273	0.0215792	0.724808
í	0.0907985	0.0622343	0.362704	0.0406841	0.0167398	0.0424833	0.0427627	0.0202761	0.321317
d	0.0316232	0.00640438	0.615281	0.1439	0.0338778	0.0318525	0.074858	0.0160768	0.0461258
í	0.00243564	0.00102319	0.503825	0.245807	0.0512924	0.0243172	0.0411923	0.0288277	0.10128
ω	0.00309979	0.00241872	0.357919	0.327438	0.14549	0.0394034	0.0310973	0.0216762	0.0714581
s	0.000553802	0.00498849	0.124764	0.578504	0.230497	0.0430602	0.0053592	0.00539978	0.00687434
á	0.00266903	0.0021037	0.0687631	0.740077	0.0530186	0.0283064	0.0121006	0.0326743	0.0602873
l	0.00154965	0.000404523	0.0630615	0.277018	0.0425725	0.0251843	0.0119708	0.0332425	0.544996
i	0.00338615	0.00158994	0.0956218	0.335305	0.233163	0.125778	0.0358898	0.0279261	0.141341
ω	0.00318081	0.00139156	0.159427	0.148306	0.390596	0.207687	0.0431308	0.00491712	0.041364
n	0.00105718	0.00510833	0.0857936	0.376145	0.111207	0.320582	0.0703918	0.022053	0.00766158
έ	0.0125226	0.00314212	0.0194455	0.107284	0.397516	0.313149	0.0319476	0.0277012	0.0872918
w	0.000160822	0.000120014	0.0477114	0.164287	0.242698	0.335147	0.109312	0.032473	0.06809
a	0.00317337	0.00562625	0.0414937	0.265098	0.144815	0.290384	0.113148	0.0714588	0.0648022
l	0.000817356	0.000734483	0.0255186	0.0606976	0.0581467	0.319419	0.330574	0.0440807	0.160011
á	0.000811501	0.00111683	0.00970363	0.0583602	0.0849506	0.243731	0.205285	0.149771	0.24627
a	0.0123636	0.0012142	0.0126703	0.0318006	0.0565112	0.18828	0.354368	0.291608	0.0511834
s	0.00177218	0.00452884	0.0280622	0.0447349	0.0238217	0.114243	0.370046	0.356137	0.056654
á	0.00136933	0.00041694	0.0173176	0.111821	0.0152577	0.0373796	0.272806	0.419818	0.123814
l	0.000930722	2.68515e-05	0.0035293	0.0464073	0.00828421	0.0482891	0.136934	0.348971	0.406628
á	0.000183859	0.000159234	0.00400564	0.029876	0.0130952	0.10592	0.294289	0.333371	0.2191
o	0.00197962	0.000356771	0.00637522	0.0112933	0.0248705	0.0956644	0.225981	0.333254	0.300225
y	0.000459667	0.000985795	0.0105031	0.0211381	0.0126752	0.0228753	0.0880228	0.715104	0.128236
í	0.000639011	0.000105228	0.00560655	0.0627892	0.0049119	0.0177706	0.141234	0.58684	0.180104
í	0.000466274	1.55036e-05	0.00164054	0.0099942	0.00131943	0.0102822	0.0779001	0.203019	0.695363
</S>	0.000438124	0.000176147	0.0148668	0.0106204	0.00791939	0.0244812	0.183458	0.269106	0.488934
