 	le	pagne	au	pointillé	me	plait	</S>
i	0.752663	0.173218	0.0581152	0.00714225	0.00521591	0.00240892	0.00123624
p	0.0484614	0.908461	0.0112798	0.0015152	0.0015095	0.0211862	0.00758733
f	0.00118087	0.98605	0.00284165	0.00160181	0.000137476	0.00619827	0.00199039
ú	0.0101603	0.928399	0.0259789	0.0165231	0.00401964	0.0104734	0.00444523
t	0.0320538	0.907428	0.0255036	0.0116899	0.00396235	0.0126048	0.00675802
a	0.0792301	0.685703	0.0674834	0.0470457	0.00501885	0.0174059	0.0981134
l	0.321081	0.181661	0.317911	0.0699178	0.0126078	0.00804709	0.0887737
í	0.619915	0.0535213	0.0939359	0.0516729	0.0470096	0.0127289	0.121216
i	0.476624	0.0453534	0.23451	0.105396	0.058991	0.0228287	0.0562963
d	0.0847003	0.101887	0.151826	0.256594	0.01701	0.0826647	0.305318
í	0.0152348	0.0114714	0.132243	0.113781	0.00415469	0.0935355	0.62958
l	0.0343851	0.0049053	0.144844	0.0833865	0.0174322	0.0404583	0.674588
a	0.01081	0.003448	0.223798	0.39053	0.127122	0.0761625	0.16813
t	0.031499	0.0074078	0.223211	0.368569	0.19059	0.0949557	0.0837679
ώ	0.0030108	0.0442159	0.110118	0.56005	0.0214389	0.23503	0.026135
n	0.00283411	0.0662133	0.265993	0.401257	0.0509727	0.144679	0.0680509
ώ	0.0330533	0.196993	0.14668	0.347955	0.100093	0.101076	0.0741514
l	0.0191617	0.00331374	0.184673	0.186137	0.374153	0.113036	0.119525
í	0.0297243	0.00771427	0.127316	0.20495	0.241176	0.122164	0.266956
i	0.0188592	0.00233809	0.0549178	0.110844	0.407556	0.256298	0.149187
p	0.0108978	0.0124616	0.0230996	0.0429661	0.0636164	0.39822	0.448739
έ	0.000381062	0.102703	0.0212533	0.0241628	0.0107124	0.548658	0.29213
έ	0.0290902	0.03521	0.105358	0.153226	0.224324	0.228339	0.224452
n	0.0279781	0.0089634	0.0384011	0.0739564	0.374019	0.278772	0.197909
g	0.0316036	0.0109902	0.0246325	0.0643741	0.788469	0.0547017	0.0252294
á	0.00228583	0.00171931	0.0106847	0.0274867	0.897096	0.0276956	0.0330315
e	0.0175903	0.0189853	0.0606756	0.102724	0.107279	0.584136	0.10861
s	0.0295074	0.0302247	0.0893621	0.048018	0.0352374	0.50791	0.25974
ε	0.013195	0.0046131	0.0962359	0.0238623	0.118951	0.121658	0.621484
</S>	0.00371095	0.00209864	0.0179663	0.00923424	0.040719	0.105943	0.820328
