 	l'	eau	est	bouillante	</S>
m	0.610416	0.385424	0.0039351	0.000170043	5.51933e-05
á	0.0175569	0.962783	0.0112724	0.000914124	0.00747334
a	0.23497	0.743214	0.00924192	0.00724536	0.00532919
á	0.07232	0.305427	0.466715	0.0275742	0.127964
d	0.0170837	0.0466618	0.817153	0.0806098	0.038492
í	0.00621492	0.0200016	0.397012	0.133653	0.443119
l	0.0102572	0.0177096	0.434274	0.236783	0.300976
a	0.0221708	0.0183835	0.322924	0.362182	0.27434
m	0.0148174	0.0299668	0.0932766	0.761228	0.100711
í	0.000310341	0.000457845	0.00481311	0.92751	0.0669084
á	0.00729359	0.00684322	0.124322	0.502421	0.359121
</S>	0.00397879	0.00432659	0.186077	0.217075	0.588543
