 	mon	ami	est	passé	outre	ma	maison	sans	me	saluer	</S>
o	0.506407	0.467924	0.00445209	0.000766578	0.00315416	0.00973233	0.00252709	0.00378337	0.00117552	9.36959e-06	6.89707e-05
b	0.0121494	0.936996	0.024355	0.00505801	0.00548369	0.00112541	0.00180527	0.000966832	0.00513648	0.00429921	0.00262488
i	0.0239031	0.945186	0.0226205	0.00252055	0.000412185	0.000577421	0.000109967	0.00162469	0.00120784	0.00156363	0.000274435
a	0.00427412	0.926704	0.0411535	0.00975924	0.00173367	0.00227643	0.000211171	0.00115464	0.000898381	0.000336338	0.0114982
y	0.20019	0.0412865	0.617177	0.0555473	0.0081508	0.00576776	0.00113348	0.0180011	0.00493763	0.00131266	0.0464959
a	0.351694	0.0247172	0.153271	0.0553524	0.0934423	0.14069	0.0263488	0.0398929	0.062002	0.0135866	0.0390027
n	0.834162	0.0035806	0.0214448	0.0134803	0.024524	0.0525473	0.0222125	0.00905106	0.0105559	0.00126711	0.00717447
g	0.599906	0.00164578	0.00738088	0.00366087	0.0492549	0.151768	0.167471	0.00458854	0.010024	0.00131316	0.0029865
á	0.132031	0.00676829	0.028349	0.0192713	0.382867	0.135774	0.194052	0.0134685	0.0291884	0.0184397	0.0397902
á	0.0361502	0.00136276	0.615778	0.106571	0.074519	0.0662781	0.0155951	0.0428643	0.0178054	0.00230395	0.0207721
l	0.000200883	0.00192288	0.0289029	0.646311	0.265207	0.00407377	0.0187543	0.0042603	0.00222629	0.0221255	0.00601563
e	0.000117251	0.00044332	0.0181638	0.443553	0.366497	0.00669715	0.00474111	0.00839545	0.0071381	0.096677	0.0475771
i	0.000754575	0.000393959	0.0137805	0.517423	0.41025	0.0132868	0.0125455	0.00532411	0.00102623	0.00650308	0.0187123
n	0.000358021	0.00030934	0.018436	0.178834	0.533666	0.106464	0.0677887	0.060027	0.0064402	0.00955261	0.0181239
d	0.00128351	4.10317e-05	0.000216341	0.00164075	0.229441	0.388282	0.353603	0.0125464	0.00934599	0.00169329	0.0019072
é	0.000401133	1.85963e-05	0.000198596	0.00251131	0.372375	0.155811	0.424514	0.0109523	0.00565447	0.0144077	0.0131554
e	0.00202677	4.24488e-05	0.00335464	0.00616631	0.225751	0.258753	0.189166	0.19124	0.0322491	0.0675341	0.0237165
y	0.000871494	7.29129e-05	0.00664798	0.0106202	0.139694	0.332932	0.1196	0.343832	0.0287515	0.00833889	0.00863733
á	0.000700349	5.31299e-05	0.00194111	0.0102823	0.133913	0.382715	0.0538396	0.342297	0.0160976	0.030153	0.028008
n	0.00182102	0.000194701	0.000668727	0.00432944	0.0639893	0.413304	0.0814611	0.323477	0.0512247	0.0543405	0.0051898
g	0.00129092	1.44573e-05	5.63054e-05	0.000712172	0.117185	0.304506	0.141011	0.0927643	0.0859764	0.247465	0.00901898
á	0.00054896	1.1252e-05	0.000153371	0.000518766	0.0875044	0.342083	0.240037	0.143754	0.0703876	0.0937873	0.0212152
o	0.000473146	4.42378e-05	0.00248784	0.00213505	0.020492	0.127704	0.0633152	0.433973	0.247722	0.0787167	0.022937
y	2.08088e-06	0.000100475	0.000671254	0.0051528	0.0104696	0.00201424	0.00087768	0.017758	0.00789337	0.93723	0.0178311
é	1.31869e-05	1.26661e-05	0.000312576	0.00615359	0.0299808	0.0177488	0.0032656	0.0250675	0.0338475	0.846675	0.0369224
l	1.53295e-05	4.90209e-06	0.000111656	0.00117599	0.00795733	0.00836826	0.00105292	0.0299856	0.019021	0.840201	0.0921055
é	7.04709e-05	5.65816e-06	0.000497324	0.00394285	0.0100143	0.00660399	0.00123391	0.043169	0.0512004	0.761969	0.121293
</S>	0.000185434	1.46456e-05	0.00137851	0.00356762	0.0213383	0.056327	0.0018258	0.123095	0.0656176	0.319924	0.406727
