 	la	viande	de	corbeau	n'	est	pas	comestible	</S>
a	0.45183	0.137174	0.254115	0.00142766	0.0273236	0.0458544	0.0726657	0.0073848	0.00222475
d	0.0925093	0.101131	0.198865	0.383907	0.0922691	0.0474542	0.0341298	0.0304776	0.0192572
i	0.184324	0.393893	0.146039	0.178744	0.0285866	0.00945814	0.00675819	0.0176412	0.0345555
í	0.0669734	0.0841666	0.154225	0.414053	0.0412289	0.0177577	0.0130659	0.00783152	0.200698
o	0.0811147	0.0548702	0.336521	0.361406	0.0780234	0.0171715	0.0154572	0.00402686	0.0514095
d	0.0193048	0.00586428	0.0206207	0.789317	0.0677229	0.0349094	0.00906827	0.0113556	0.0418372
z	0.00374175	0.000438459	0.006458	0.865063	0.0232837	0.00857113	0.00162216	0.00109317	0.089729
á	0.145412	0.0355254	0.0273103	0.458372	0.0834844	0.0561532	0.0137178	0.0732557	0.106769
e	0.00740075	0.00754081	0.0794071	0.128886	0.137744	0.108673	0.141306	0.0558613	0.333181
p	0.00728835	0.00348804	0.0483249	0.0882205	0.241388	0.244125	0.143442	0.0656845	0.158039
a	0.00203949	0.000399262	0.0178484	0.0332264	0.118271	0.399465	0.195682	0.071862	0.161207
a	0.00461999	0.00113579	0.0182431	0.0434015	0.109976	0.320378	0.215093	0.109045	0.178108
p	0.00707124	0.00195907	0.020403	0.013525	0.148496	0.189522	0.392177	0.0989256	0.127921
á	0.00617282	0.000726365	0.0192878	0.00863147	0.0716506	0.249759	0.339015	0.135441	0.169316
n	0.00210162	0.000984083	0.00412442	0.00322726	0.0178291	0.0555376	0.0734683	0.505087	0.33764
g	0.00730386	0.00247806	0.0248814	0.0174412	0.0840012	0.143558	0.207455	0.297869	0.215012
a	0.0190365	0.0413862	0.0533266	0.0538187	0.0411854	0.0450559	0.0872804	0.451965	0.206945
k	0.0122173	0.00372275	0.0351443	0.0123615	0.0602498	0.0644033	0.213411	0.186666	0.411825
a	0.00376832	0.000452181	0.0301375	0.0185163	0.0828377	0.111181	0.43514	0.178038	0.139929
á	0.000578305	0.000187589	0.00304564	0.00375678	0.00965588	0.0227463	0.050213	0.112445	0.797372
</S>	0.0041478	0.000862482	0.0144558	0.0248047	0.0218809	0.0156343	0.0348258	0.111878	0.771511
