 	cet	homme	souffre	d'	une	infection	de	la	vessie	</S>
i	0.543176	0.414811	0.00719999	0.00625893	0.0158436	0.00342872	0.00209869	0.0068502	0.000280785	5.27427e-05
b	0.133199	0.730794	0.0449595	0.0497546	0.0216334	0.0043545	0.00196386	0.00766824	0.00471676	0.000956252
a	0.0255623	0.965225	0.00140764	0.00326817	0.0018089	0.000233054	0.000597692	0.000433696	0.00132624	0.000137742
a	0.0855329	0.816958	0.0051775	0.00431373	0.00328839	0.00081811	0.00566207	0.00107286	0.00565475	0.0715221
d	0.579217	0.0533795	0.110063	0.0346149	0.0188	0.00244983	0.0157209	0.0116682	0.00117018	0.172916
í	0.0149408	0.0023795	0.0587799	0.0202451	0.0269535	0.0891245	0.0123781	0.0104448	0.00190126	0.762852
í	0.0388281	0.032962	0.288463	0.126419	0.0943466	0.049841	0.0460839	0.0423715	0.0041795	0.276505
d	0.0112723	0.00171453	0.108851	0.252392	0.178362	0.275618	0.0645325	0.0570338	0.00392069	0.0463039
í	0.000398581	0.000420833	0.0918253	0.217173	0.132585	0.260779	0.0729879	0.0440762	0.00320629	0.176548
l	0.00244551	0.00197282	0.0452638	0.147485	0.137887	0.0725802	0.190256	0.168469	0.0654263	0.168214
a	0.00186129	0.000744211	0.0501988	0.129885	0.160148	0.255898	0.101496	0.0388496	0.0143576	0.246561
n	0.0078818	0.00402109	0.0354373	0.0830998	0.200642	0.386518	0.116847	0.0297707	0.0876065	0.0481754
g	0.000886148	0.000767784	0.00238913	0.0157552	0.0619733	0.851281	0.0456279	0.00656097	0.00545839	0.00930012
a	0.00025926	0.000363826	0.00464689	0.00866001	0.030961	0.917481	0.0268551	0.00397057	0.00495122	0.00185062
a	0.00536593	0.000670922	0.0242431	0.0577673	0.246045	0.154663	0.251699	0.0851067	0.0471786	0.12726
m	0.0029167	0.000869261	0.00763557	0.0233452	0.0486459	0.0454114	0.192335	0.440782	0.195578	0.0424805
é	0.017963	0.00848795	0.0107236	0.0215515	0.0293545	0.124236	0.0665108	0.270684	0.136943	0.313546
n	0.00328921	0.00260693	0.00696381	0.0187917	0.0350496	0.0395322	0.121459	0.129061	0.591661	0.0515864
d	0.00262706	0.00229143	0.0100932	0.0164402	0.0500095	0.234414	0.0957662	0.1454	0.142265	0.300694
z	0.00156684	0.000509316	0.00543361	0.00595675	0.0175406	0.147641	0.0397106	0.0723237	0.230813	0.478505
í	0.000343843	0.000275481	0.00254785	0.00854163	0.0398303	0.0529246	0.0356145	0.10463	0.528599	0.226692
n	0.00127054	0.000127077	0.00447275	0.0179149	0.0213826	0.00479475	0.0270211	0.0465658	0.381302	0.495149
y	0.0041496	0.00270896	0.00424817	0.0257518	0.0753824	0.0357268	0.114166	0.209603	0.306364	0.221899
ε	0.000550535	0.000217289	0.00116802	0.0080352	0.0152454	0.00176724	0.0558358	0.0835941	0.206883	0.626704
</S>	0.00131299	0.000506477	0.00366442	0.00724286	0.00809528	0.00159794	0.0556499	0.23088	0.0654605	0.62559
