 	je	suis	frappé	d'	un	malheur	</S>
b	0.737131	0.0774288	0.136235	0.0241814	0.020622	0.00389364	0.000508561
v	0.215093	0.351594	0.249277	0.107821	0.0721103	0.00195816	0.00214642
ú	0.0421649	0.259407	0.540898	0.0693575	0.0232117	0.0595999	0.00536135
s	0.0108502	0.128857	0.836972	0.00863409	0.00543184	0.00635361	0.00290091
á	0.227018	0.0990534	0.0258387	0.20571	0.0393409	0.00986199	0.393176
ó	0.236531	0.310885	0.0782754	0.193271	0.138987	0.0107121	0.0313374
m	0.00727197	0.201918	0.218193	0.323366	0.18146	0.0454559	0.0223341
i	0.00442521	0.150709	0.00657361	0.328562	0.315928	0.0446027	0.149199
b	0.000144336	0.0180884	0.0544693	0.418635	0.214334	0.150269	0.14406
h	0.000124738	0.0155259	0.096953	0.341714	0.110753	0.252842	0.182087
í	2.93434e-05	0.00627015	0.275775	0.267166	0.116586	0.171745	0.162428
n	0.000143721	0.00675685	0.0172605	0.215019	0.171445	0.188264	0.401111
d	0.000347629	0.00731305	0.00614542	0.369657	0.215898	0.224078	0.17656
á	0.000496148	0.00605869	0.00519708	0.16267	0.122329	0.234613	0.468636
l	0.000675378	0.00483706	0.00732945	0.14749	0.321285	0.315848	0.202535
a	0.0024828	0.003076	0.00108241	0.086518	0.0734556	0.530053	0.303332
n	0.00274044	0.00375231	0.0022717	0.0638188	0.122923	0.574219	0.230275
g	0.0076389	0.00942092	0.00206845	0.0550824	0.14073	0.269792	0.515267
á	0.0115704	0.0114724	0.00190252	0.0321019	0.0932475	0.234237	0.615469
</S>	4.42222e-05	0.00311816	0.00219201	0.0559248	0.0837314	0.0705585	0.784431
