 	on	ne	peut	parler	sérieusement	il	blague	toujours	</S>
l	0.725026	0.156249	0.036427	0.0182448	0.0333819	0.0262084	0.00355108	0.000615389	0.000296655
e	0.531857	0.31582	0.0325489	0.0624814	0.0380537	0.00682436	0.00403743	0.00660805	0.0017692
d	0.272149	0.474397	0.0387769	0.0397667	0.0857163	0.0240679	0.0184004	0.0143691	0.0323573
í	0.0644464	0.507201	0.069622	0.0510782	0.0462109	0.00443161	0.0121287	0.0187378	0.226144
o	0.0445101	0.148031	0.0563156	0.018855	0.0140097	0.0301702	0.0502258	0.063125	0.574758
b	0.0545769	0.368892	0.425531	0.0726121	0.0124521	0.00528093	0.00961139	0.00360158	0.0474418
h	0.0227209	0.196023	0.601885	0.0974828	0.0502537	0.00632667	0.0102539	0.00316335	0.0118909
e	0.0290725	0.307744	0.486813	0.0739391	0.0700477	0.00340645	0.00717229	0.00307728	0.0187274
r	0.0536502	0.14534	0.445566	0.141641	0.100197	0.0304959	0.0113933	0.00417387	0.0675428
á	0.148462	0.216874	0.193252	0.0913211	0.116343	0.0431157	0.0154211	0.00875338	0.166458
ω	0.161186	0.114154	0.22997	0.147813	0.134924	0.109367	0.0645215	0.011388	0.0266764
m	0.00821514	0.0449227	0.326226	0.479503	0.114582	0.00681051	0.00648283	0.00885129	0.00440608
ω	0.00966163	0.0712185	0.139396	0.311903	0.381516	0.0313915	0.0292184	0.00610661	0.0195879
ώ	0.00231538	0.030823	0.157631	0.282498	0.38146	0.0286334	0.0519977	0.0212426	0.0433987
m	0.00864583	0.0208686	0.134291	0.224428	0.312237	0.159489	0.0865522	0.0122414	0.0412472
ó	0.012377	0.0105755	0.0236032	0.0571248	0.125387	0.368493	0.349776	0.0186776	0.0339864
m	0.0212687	0.0198818	0.0482353	0.108748	0.261391	0.207316	0.238965	0.0643704	0.0298237
b	0.00883713	0.0163362	0.013178	0.0692667	0.180734	0.207076	0.398091	0.0299886	0.0764926
v	0.00150557	0.00538916	0.0330795	0.0745226	0.566303	0.0415187	0.214451	0.0331978	0.0300329
a	0.00088793	0.00740509	0.0351094	0.0583764	0.633617	0.0209858	0.150311	0.0341213	0.0591867
m	0.00559776	0.00740852	0.0561789	0.0776963	0.270158	0.105915	0.0869251	0.0269297	0.363191
b	0.0178612	0.00379764	0.00908221	0.0229787	0.347863	0.246673	0.27797	0.011174	0.0626004
v	0.00335964	0.00426986	0.0106292	0.0396049	0.774892	0.0813344	0.0576189	0.00944315	0.0188475
a	0.00218108	0.00402986	0.00709028	0.0349929	0.792136	0.0572607	0.040296	0.00999758	0.052016
k	0.00147663	0.00292871	0.0114372	0.0580215	0.274357	0.192839	0.121653	0.0308479	0.306439
a	0.0342621	0.0137482	0.0393209	0.0713358	0.339568	0.188961	0.0943317	0.0917248	0.126747
á	0.00296932	0.00226226	0.0130821	0.0169205	0.0505017	0.211496	0.241522	0.119688	0.341559
w	0.00617387	0.00769584	0.0150474	0.00833835	0.00394875	0.0194624	0.2239	0.251488	0.463946
a	0.00268826	0.00841683	0.0410447	0.032056	0.02388	0.0366647	0.281217	0.318349	0.255684
a	0.000675884	0.00108956	0.00449128	0.00635942	0.00789573	0.031914	0.200432	0.260479	0.486663
p	0.0148532	0.00757887	0.0175834	0.010067	0.00463616	0.0163905	0.155452	0.330693	0.442746
é	0.00128102	0.00682858	0.0227549	0.0211322	0.0137815	0.0127187	0.100128	0.39808	0.423296
n	0.0015886	0.00126858	0.00589263	0.00470676	0.00871333	0.020974	0.107943	0.276595	0.572318
d	0.00110686	0.00259586	0.00861977	0.0141856	0.0309815	0.0433328	0.140189	0.294273	0.464716
í	0.00272664	0.00312662	0.00345235	0.00795978	0.0307449	0.0605145	0.128616	0.260118	0.502741
t	0.00128202	0.000931323	0.00376221	0.00881415	0.0367666	0.0859647	0.187055	0.269431	0.405993
s	0.00363244	0.00360182	0.0146794	0.012234	0.0295529	0.0693292	0.169781	0.428139	0.26905
a	0.00236471	0.00105822	0.010014	0.00391146	0.0245755	0.0174888	0.143101	0.551136	0.24635
a	0.00656168	0.00179648	0.00730575	0.00127537	0.00388729	0.0106244	0.074646	0.16511	0.728793
n	0.010549	0.0059361	0.0237949	0.0170284	0.0161941	0.0585312	0.0937319	0.246492	0.527743
i	0.0188047	0.00895206	0.00729572	0.0180702	0.029307	0.0164826	0.0260769	0.250335	0.624676
</S>	0.000380381	0.000290632	0.0008066	0.00140834	0.00227899	0.00949711	0.0379377	0.1598	0.7876
