 	son	grand	frère	l'	a	obligé	de	répudier	sa	femme	</S>
o	0.515505	0.422559	0.0261522	0.0183626	0.00488099	0.00295913	0.00381403	0.000867249	0.00475592	1.41043e-05	0.000129615
n	0.0276554	0.844284	0.112236	0.00537229	0.00169707	0.000574463	0.000588328	0.0030546	0.000138816	0.000660071	0.00373865
y	0.00993207	0.842864	0.0848419	0.0345939	0.00552441	0.0012209	0.00370385	0.00943738	0.0024542	0.00394121	0.00148629
ε	0.0203766	0.92915	0.0324491	0.00879019	0.0022768	0.00056366	0.00141759	0.00208524	0.00131421	0.000446097	0.00113062
b	0.021625	0.805731	0.0718203	0.049606	0.00749881	0.00101747	0.00104506	0.0127642	0.00146272	0.00044033	0.0269886
h	0.402416	0.125475	0.123405	0.0213698	0.00537578	0.00316758	0.0155676	0.0485025	0.00238265	0.00029608	0.252042
í	0.164077	0.156407	0.149379	0.0795638	0.0139471	0.0125952	0.0320409	0.0285805	0.00969044	0.000832621	0.352887
á	0.198666	0.012685	0.0934947	0.477547	0.155254	0.0317305	0.0157232	0.00180088	0.00515898	0.000836034	0.00710294
b	0.0141811	0.00837962	0.0570825	0.109286	0.225087	0.471794	0.0597069	0.0221351	0.00151347	0.00114733	0.0296869
h	0.00597699	0.0113043	0.0516069	0.0758967	0.181657	0.575158	0.0600476	0.029639	0.000802799	0.000532635	0.00737712
í	0.00853693	0.0182624	0.0327412	0.0837861	0.102543	0.666877	0.0643156	0.0141383	0.00116547	0.000254622	0.00737898
i	0.00718054	0.0028862	0.035865	0.0997033	0.195045	0.4844	0.116066	0.0297919	0.00331659	0.00284242	0.0229038
w	0.0032882	0.00146213	0.0041331	0.0318353	0.224573	0.291971	0.29757	0.090707	0.00613488	0.00916657	0.0391599
a	0.0090914	0.00233451	0.0119159	0.0660624	0.141513	0.12984	0.382902	0.149688	0.0470692	0.0124136	0.0471696
m	0.00194377	0.000806169	0.00724625	0.0548136	0.119266	0.210478	0.354991	0.124594	0.0374671	0.0210515	0.0673423
í	0.00464432	0.00297837	0.0170323	0.0277503	0.0710219	0.0627506	0.1039	0.0887514	0.304406	0.209163	0.107602
t	0.0113838	0.0024347	0.00436455	0.0119547	0.0309102	0.0527368	0.21674	0.300672	0.126147	0.202077	0.0405795
ó	0.00105116	0.00064656	0.00644521	0.00342134	0.00445154	0.0151805	0.258947	0.673678	0.00805241	0.0047617	0.0233646
n	0.000643083	0.000823214	0.0100353	0.0137519	0.0168804	0.0194036	0.125335	0.68404	0.0200415	0.0371578	0.0718886
a	0.00538552	0.0194562	0.00923268	0.019458	0.0202664	0.0398234	0.178248	0.571705	0.0148998	0.00567428	0.115851
l	0.00524188	0.00322572	0.00324256	0.0110173	0.0130268	0.0163461	0.117804	0.173786	0.235324	0.017591	0.403394
á	0.00532861	0.00399451	0.00347503	0.00606777	0.00399074	0.0118981	0.152877	0.372537	0.24445	0.00318961	0.192192
m	0.00226198	0.000646635	0.000699025	0.00333076	0.00116984	0.000605667	0.0206973	0.00640263	0.9291	0.0253991	0.00968676
w	0.000862334	0.000394476	0.000402833	0.000405368	0.000602951	0.000261761	0.000831618	0.00680974	0.0609838	0.904467	0.0239782
á	0.00146743	0.000205915	0.000141812	0.000350539	0.00147648	0.00152742	0.00310259	0.0177187	0.0103513	0.962024	0.00163416
s	0.012709	0.00450661	0.000127368	0.0010531	0.00147278	0.00900661	0.00982559	0.00698103	0.887752	0.035758	0.0308077
í	0.00133499	0.00107828	0.00119106	0.00171823	0.00281445	0.00201918	0.00945323	0.0636926	0.0788271	0.384116	0.453755
</S>	0.00319279	0.00299446	0.00287497	0.00563446	0.00474891	0.00566348	0.05181	0.0558675	0.0862501	0.0191648	0.761799
