 	il	bascula	en	arrière	</S>
w	0.846801	0.142626	0.00943738	0.000845207	0.000290644
a	0.869913	0.0833379	0.0412522	0.00433332	0.00116309
a	0.376317	0.205014	0.274614	0.00950726	0.134548
k	0.066508	0.666818	0.136426	0.00307399	0.127174
a	0.0344366	0.839598	0.0558772	0.00152764	0.0685604
l	0.00850084	0.751876	0.169364	0.0173245	0.0529353
í	0.15874	0.366832	0.292564	0.0104291	0.171434
í	0.0398504	0.212605	0.580694	0.0734051	0.093446
m	0.010488	0.0424553	0.600105	0.310053	0.0368979
ó	0.00871417	0.00470287	0.430517	0.108433	0.447632
n	0.00571843	0.0120359	0.322535	0.477162	0.182549
g	0.000670233	0.00173131	0.0368272	0.915947	0.0448239
ω	4.34533e-05	0.000566502	0.00362467	0.988958	0.00680748
n	5.94027e-05	0.000232632	0.0136256	0.944297	0.0417856
g	0.00105373	0.000304657	0.0369051	0.68008	0.281656
ω	0.000239001	0.00011981	0.00235408	0.674847	0.32244
</S>	0.000800272	0.000102691	0.0346678	0.636314	0.328115
