 	le	quartier	que	nous	habitons	s'	appelle	matadi	</S>
e	0.672882	0.305456	0.00795162	0.0115809	0.000271964	0.00130925	0.000517107	1.78919e-05	1.33967e-05
k	0.149083	0.788663	0.00689376	0.00538325	0.0285264	0.00997013	0.00646684	0.00380304	0.0012105
y	0.0956759	0.830124	0.0179792	0.00440037	0.0202604	0.00976545	0.0195691	0.000946946	0.00127881
é	0.0556464	0.869437	0.0514436	0.00647486	0.00502112	0.0034416	0.00726989	0.000321196	0.00094394
n	0.197704	0.680307	0.051526	0.011019	0.0058108	0.00598056	0.011638	0.000767063	0.0352481
á	0.100927	0.752067	0.0339972	0.00846136	0.00949855	0.0113237	0.0104809	0.000477939	0.0727661
á	0.322734	0.243756	0.242445	0.102144	0.00912156	0.0154983	0.00788884	0.00188323	0.054529
y	0.141568	0.363047	0.376846	0.083582	0.018888	0.00951097	0.00368358	0.00026844	0.00260583
é	0.113198	0.32993	0.319094	0.0290891	0.120996	0.0189765	0.00507089	0.0136336	0.0500119
é	0.0637207	0.0899112	0.534684	0.0970333	0.0869886	0.0290743	0.0083252	0.0118242	0.0784382
d	0.0175854	0.0791858	0.214454	0.156569	0.442993	0.055133	0.0231013	0.00159204	0.00938587
z	0.00179877	0.00682157	0.0223783	0.152845	0.690857	0.0686336	0.0159168	0.0121445	0.0286054
e	0.00163284	0.00288489	0.0128579	0.00372759	0.966438	0.00534937	0.000842599	0.00464799	0.00161893
e	0.00321736	0.00758575	0.0164642	0.0596986	0.851154	0.0179854	0.0195576	0.0047455	0.0195916
m	0.00543487	0.00564511	0.10711	0.587538	0.176617	0.0792316	0.0193158	0.00116767	0.01794
á	0.00395037	0.00105074	0.0305679	0.478052	0.079836	0.192517	0.053525	0.00495472	0.155546
b	0.008973	0.00788135	0.0931462	0.342419	0.266968	0.193187	0.0605317	0.00888412	0.0180093
í	0.0269712	0.00895596	0.0485605	0.535658	0.15953	0.119789	0.0755505	0.00995907	0.0150256
s	0.0056348	0.00662184	0.0676866	0.726889	0.0979955	0.0399197	0.0244144	0.00376689	0.0270712
í	0.00330121	0.00342219	0.0265163	0.205926	0.0392071	0.176432	0.0490288	0.00234148	0.493825
é	0.0012766	0.00123913	0.0400519	0.0890544	0.144736	0.564614	0.099198	0.00626148	0.0535685
d	0.00587448	0.00655701	0.0294261	0.0176273	0.0351292	0.508696	0.355934	0.0137143	0.0270416
i	0.00127556	0.00176114	0.00373581	0.011112	0.159582	0.361977	0.180196	0.148716	0.131645
k	0.000400038	0.000179788	0.00214415	0.0110491	0.11536	0.320787	0.429259	0.0468705	0.0739503
ó	0.000448581	0.00134237	0.00236757	0.00348988	0.0111108	0.166201	0.75379	0.0266403	0.0346093
m	8.43242e-05	0.000577374	0.00256605	0.00691072	0.0452501	0.172269	0.615053	0.071003	0.0862865
b	0.00167555	0.000222008	0.00118615	0.00258224	0.00623713	0.141564	0.608225	0.0814363	0.156872
ó	0.00406186	0.00138752	0.00323152	0.00725736	0.00778143	0.0581859	0.287718	0.041638	0.588738
m	0.0021575	0.00111154	0.0126879	0.0229481	0.00406893	0.175284	0.209274	0.244514	0.327954
ó	0.00890127	0.000393751	0.0118185	0.0207032	0.0017434	0.131217	0.324662	0.183262	0.317298
m	0.00518175	0.00155048	0.0183663	0.0189693	0.00724071	0.0639929	0.239352	0.405809	0.239537
a	0.00110252	0.000323375	0.00573294	0.0244382	0.0120458	0.0589087	0.0940526	0.560204	0.243192
t	0.000174578	0.000133604	0.00145145	0.00659182	0.0033345	0.0954738	0.409481	0.391294	0.0920655
a	0.000456053	0.00053957	0.00197302	0.000781089	0.00365218	0.0274407	0.197493	0.716962	0.0507031
d	0.000144513	0.000253371	0.000928229	0.0013377	0.00357541	0.0168747	0.128893	0.515156	0.332837
i	8.4182e-05	0.000241708	0.000344631	0.000900776	0.0135519	0.0129626	0.183241	0.590965	0.197708
</S>	0.000239985	0.00026126	0.000413043	0.00162875	0.0107571	0.026128	0.255107	0.271393	0.434072
