 	ma	maison	est	proche	</S>
n	0.402123	0.567883	0.0260302	0.00153615	0.00242753
d	0.659913	0.339818	0.000244396	6.94767e-06	1.76999e-05
é	0.107471	0.891516	0.000807473	7.88962e-05	0.000127036
e	0.121858	0.84616	0.0273317	0.000488911	0.00416055
y	0.293378	0.218731	0.408141	0.0203573	0.0593929
á	0.273497	0.268344	0.342079	0.00367224	0.112408
n	0.896184	0.0709028	0.028606	0.00154773	0.00275986
g	0.773025	0.223477	0.00285785	8.01605e-05	0.000559502
á	0.429445	0.444041	0.0920474	0.000591083	0.0338759
é	0.048272	0.0436862	0.76333	0.0835628	0.0611493
b	0.0119803	0.00782694	0.545784	0.377124	0.0572844
h	0.00835992	0.0188982	0.492057	0.379376	0.101308
i	0.00243321	0.0123908	0.14219	0.45858	0.384406
p	0.0292153	0.0475552	0.129921	0.473528	0.319781
ε	0.0130221	0.0056046	0.0262287	0.905024	0.0501204
l	0.0186828	0.00865854	0.129797	0.632859	0.210003
έ	0.00447782	0.00210701	0.0959083	0.734548	0.162959
έ	0.0124286	0.0016473	0.263594	0.250774	0.471557
</S>	0.0184241	0.0094626	0.127583	0.146424	0.698106
