 	il	y	a	autant	de	couteaux	que	des	fourchettes	</S>
a	0.187495	0.204847	0.132765	0.0570083	0.22786	0.170431	0.0074148	0.00538289	0.00221449	0.00458085
b	0.0443851	0.0510789	0.100932	0.0674688	0.0933451	0.484307	0.02034	0.0168498	0.0888698	0.0324226
á	0.0190605	0.0111374	0.012202	0.0172891	0.107418	0.806498	0.00828864	0.00765799	0.00339968	0.0070485
á	0.0107531	0.0527497	0.136647	0.162866	0.138573	0.267111	0.0527369	0.0287056	0.0183329	0.131525
á	0.0752074	0.0717496	0.254278	0.157706	0.13204	0.16546	0.0499776	0.0175597	0.00574163	0.0702793
d	0.00423621	0.0278129	0.111492	0.213494	0.0873584	0.188147	0.13832	0.0623338	0.0769871	0.0898188
i	0.00161942	0.0116931	0.07277	0.154607	0.0316811	0.0290949	0.128068	0.0579153	0.108323	0.404228
o	0.00490366	0.0198623	0.0532297	0.194136	0.129938	0.0191051	0.219981	0.201153	0.0685182	0.0891734
m	0.000854713	0.00505419	0.0179246	0.0912236	0.0439458	0.0294104	0.33127	0.18327	0.203153	0.0938933
b	0.000713803	0.00309885	0.00941483	0.0858751	0.0300743	0.00351529	0.0547902	0.13178	0.38308	0.297657
v	0.000621918	0.00697392	0.0107761	0.0451493	0.0664937	0.0127288	0.118936	0.158849	0.180313	0.399159
ú	0.00165758	0.0116896	0.0184678	0.0879379	0.16055	0.0171197	0.0981441	0.160608	0.115483	0.328342
n	0.00245124	0.0150353	0.0112788	0.0716925	0.15875	0.00845904	0.0596003	0.153811	0.0964176	0.422504
u	0.00257232	0.00598193	0.0145768	0.379224	0.223484	0.000475932	0.109556	0.101107	0.127511	0.0355108
ω	0.00211418	0.010442	0.0269936	0.135799	0.125877	0.00159043	0.197937	0.207684	0.173475	0.118088
p	0.0040193	0.0109282	0.0272642	0.0750249	0.0373708	0.0101119	0.127023	0.235077	0.382941	0.0902404
ω	0.00184193	0.0269588	0.0129814	0.0594488	0.0581785	0.0226104	0.157046	0.299782	0.118911	0.242241
ώ	0.000355961	0.00660792	0.00382962	0.0330953	0.0408402	0.00519791	0.221881	0.246367	0.166092	0.275733
l	0.00429205	0.0094102	0.0102259	0.0296874	0.0310971	0.0016628	0.124925	0.281111	0.201979	0.30561
a	0.00143835	0.00309303	0.00681057	0.0260093	0.00380323	0.000747225	0.0527342	0.106207	0.438777	0.36038
a	0.00439315	0.00784184	0.00876475	0.0374498	0.0290168	0.000125006	0.0340791	0.156293	0.328508	0.393529
s	0.0034165	0.0128218	0.0232348	0.0459492	0.0165071	0.00617771	0.0507605	0.0861581	0.43739	0.317585
a	0.000275143	0.00161164	0.0040806	0.0163249	0.00289886	0.000101938	0.0115675	0.0553159	0.747576	0.160247
n	0.000275427	0.000716674	0.00105523	0.00890372	0.00469899	1.77952e-05	0.00856477	0.105221	0.461802	0.408744
y	0.000688372	0.00118719	0.00265018	0.0171758	0.00406061	4.99708e-05	0.0140153	0.0323261	0.604294	0.323553
a	0.000545352	0.000893008	0.00150969	0.0260474	0.00330992	4.63556e-05	0.0111887	0.0234545	0.624999	0.308007
</S>	4.9172e-05	0.000333465	0.000268074	0.00206422	0.00168808	4.07287e-05	0.00893423	0.0302553	0.387905	0.568462
