 	tsimba	avait	tué	un	dzoo	à	la	vouma	</S>
t	0.822164	0.166419	0.00152547	0.00664424	0.000454879	0.00120795	0.00153782	2.60987e-05	1.99591e-05
s	0.923925	0.0721395	0.000501844	0.00100615	0.000933323	0.000410655	0.000358786	8.26128e-05	0.000642136
i	0.963673	0.0289191	0.00224319	0.00158361	0.00219635	0.00075892	0.000319721	6.34315e-05	0.00024287
m	0.891207	0.0577359	0.00703222	0.00445368	0.00215297	0.00370059	0.00131092	0.000233479	0.0321731
b	0.747176	0.175091	0.0511687	0.0105645	0.00235681	0.00773864	0.000872457	0.0021651	0.00286667
á	0.712078	0.195588	0.0523901	0.0175033	0.00265932	0.00906253	0.00102528	0.00038027	0.00931303
á	0.130912	0.645804	0.0551423	0.0617877	0.0053716	0.0179166	0.0064642	0.00354239	0.0730589
b	0.0742174	0.329089	0.306675	0.194218	0.0263257	0.0307072	0.0131491	0.00272234	0.0228973
o	0.0219724	0.161859	0.232924	0.436261	0.0280437	0.0724726	0.0177725	0.00631539	0.0223793
m	0.0299239	0.0554656	0.534431	0.21487	0.0940875	0.0397695	0.00610602	0.00223154	0.0231158
á	0.0035486	0.0209523	0.119804	0.171431	0.0827813	0.325176	0.111167	0.128435	0.036705
d	0.00725738	0.0246649	0.0199143	0.340713	0.40361	0.0922232	0.0839382	0.0139805	0.0136987
z	0.00210691	0.00300554	0.0124007	0.0840772	0.618393	0.127238	0.0420411	0.0828307	0.0279068
o	0.00106888	0.00144504	0.00387081	0.0173222	0.854876	0.0361131	0.0103743	0.0715363	0.00339312
o	0.00282493	0.00415188	0.026198	0.0469644	0.712174	0.110224	0.0136092	0.0520602	0.0317933
s	0.000197654	0.000646276	0.00219905	0.18099	0.045281	0.622229	0.110951	0.00361224	0.033894
á	0.00474767	0.00226366	0.00263824	0.0454264	0.161052	0.330701	0.16215	0.127273	0.163748
w	0.00396111	0.00138676	0.001776	0.0208078	0.202918	0.190311	0.358177	0.197916	0.022747
ó	0.00265465	0.0062088	0.00149099	0.0872285	0.139478	0.167898	0.348288	0.155597	0.0911559
m	0.00020122	0.00061062	0.000399031	0.0267306	0.049982	0.272859	0.288323	0.312778	0.0481167
á	0.00133727	0.000538918	0.000857338	0.0102473	0.0174395	0.142588	0.172374	0.493812	0.160807
</S>	0.00215632	0.001567	0.00127659	0.0106261	0.0176818	0.0868062	0.249832	0.552165	0.0778895
