 	attends-moi	j'	arrive	</S>
k	0.94424	0.0541693	0.000922555	0.000667769
y	0.995246	0.00378191	0.000817358	0.000154492
έ	0.989334	0.00373036	0.00251108	0.00442431
έ	0.650694	0.0146661	0.0263224	0.308318
l	0.403015	0.0434276	0.119769	0.433788
έ	0.0885626	0.342593	0.257428	0.311417
n	0.0409642	0.618336	0.170808	0.169892
g	0.00989597	0.90985	0.0385972	0.0416566
á	0.0398789	0.890183	0.0416823	0.0282554
l	0.0809651	0.289209	0.398773	0.231054
í	0.00529116	0.190085	0.337918	0.466706
i	0.042101	0.100685	0.393697	0.463517
y	0.021341	0.00765132	0.547422	0.423586
a	0.011514	0.00398114	0.164627	0.819878
a	0.00207311	0.00121673	0.0262473	0.970463
</S>	0.00171363	0.0574599	0.136303	0.804523
