 	les	enfants	sont	en	train	de	piéger	les	oiseaux	avec	les	fruits	andae	</S>
b	0.32082	0.663856	0.00378944	0.0027337	0.00279224	0.00122696	0.000106915	0.000636538	0.00214501	0.00141233	0.000341455	8.01111e-05	2.26368e-05	3.71801e-05
á	0.0291814	0.928139	0.0146129	0.0142463	0.00818248	0.000955546	9.88016e-05	0.0008053	0.000932995	0.00142036	0.000563764	0.00078079	2.64267e-05	5.37746e-05
n	0.0765659	0.836955	0.0277048	0.0199506	0.0265397	0.00230098	0.00215033	0.00439502	0.000337619	0.00150868	0.000595923	0.000426604	0.000301851	0.000267506
a	0.0942173	0.802351	0.0778782	0.00939672	0.00205585	0.00198628	0.000168813	0.00360141	0.000659027	0.00166916	0.000505725	0.000790685	0.000527429	0.00419251
b	0.0917622	0.0599666	0.548609	0.166723	0.044916	0.0379755	0.0104465	0.00538813	0.00171111	0.0050477	0.00355395	0.00334135	0.000925705	0.019634
ó	0.0247281	0.00907085	0.311021	0.38898	0.0471676	0.0413078	0.00528069	0.0295492	0.0111794	0.0404212	0.0265545	0.0301436	0.00783234	0.026764
b	0.0305304	0.00180547	0.266964	0.278236	0.110729	0.200448	0.0551669	0.0115165	0.00836657	0.00814205	0.00633553	0.00395815	0.000873967	0.0169271
á	0.253789	0.0738275	0.143007	0.15252	0.0341925	0.21914	0.0145569	0.0288837	0.0089708	0.0274246	0.017465	0.0191291	0.00415905	0.00293459
a	0.177433	0.00871306	0.21068	0.295342	0.141547	0.0967062	0.0121189	0.0232901	0.00432449	0.0125533	0.00610785	0.00462749	0.00130309	0.00525342
b	0.00212	0.00113705	0.0243428	0.00464058	0.000331225	0.0681544	0.87058	0.0110487	0.0031421	0.00226954	0.00204455	0.00149199	0.00100022	0.00769704
h	0.00364719	0.00381221	0.0250479	0.0111136	0.000225805	0.0367337	0.824306	0.0351715	0.00475827	0.0189634	0.0137888	0.00592193	0.00301604	0.0134939
í	0.00122302	0.00111715	0.014731	0.0156389	0.000419185	0.00959493	0.892196	0.027666	0.0114234	0.0124431	0.0054365	0.00134549	0.000954547	0.00581082
á	0.00027108	5.79493e-05	0.00634401	0.00842737	0.000485282	0.00523041	0.425943	0.268509	0.0495256	0.063435	0.0490633	0.0209627	0.0159423	0.0858026
a	0.00850931	0.00288324	0.00457727	0.00615824	0.00131803	0.014132	0.0154575	0.318826	0.371851	0.164568	0.0601935	0.0151435	0.00590523	0.0104772
n	0.00491491	0.00172044	0.00352807	0.00171418	0.000128122	0.00503998	0.0634458	0.0796123	0.247941	0.359275	0.152735	0.0317222	0.0394514	0.00877067
y	0.010082	0.000340891	0.00354151	0.00183748	2.45687e-05	0.00184926	0.00197918	0.0523636	0.646123	0.150668	0.0587978	0.0208657	0.0108538	0.0406735
ω	0.00227598	0.000149485	0.000878164	0.000384841	8.11561e-06	0.000182889	0.000278999	0.0521471	0.825294	0.048145	0.0268667	0.00920161	0.0244645	0.00972283
s	0.000767239	0.00041246	0.00391312	0.00303832	3.93783e-05	0.00154222	0.00277112	0.023631	0.842763	0.0522736	0.0320368	0.00993433	0.00683295	0.0200444
í	0.000644676	2.22717e-05	0.0023769	0.000966236	5.39582e-05	0.00128161	0.0109865	0.0814835	0.159478	0.160376	0.218697	0.108272	0.026881	0.22848
m	0.00603442	2.07323e-05	0.00233896	0.00125694	1.91096e-05	0.00873027	0.00958565	0.113057	0.0280679	0.196413	0.315606	0.167194	0.0168456	0.134831
a	0.00758752	0.000119401	0.00212122	0.00184833	7.35469e-05	0.00854298	0.00106148	0.0191164	0.00926293	0.117371	0.163513	0.257476	0.0364844	0.375422
n	0.00281322	6.28487e-05	0.00184189	0.000973628	8.96441e-05	0.00423964	0.00195275	0.0266016	0.0252143	0.112854	0.186779	0.181576	0.395575	0.0594266
d	0.0054145	7.21051e-05	0.00384448	0.00165812	1.20507e-05	0.000906457	0.00044444	0.0106032	0.0912227	0.0407903	0.0871598	0.203987	0.401041	0.152843
a	0.000307834	5.76349e-05	0.00030846	0.000178762	2.36485e-06	0.00017612	0.000101911	0.00675594	0.119972	0.0185641	0.0544639	0.148838	0.52614	0.124134
é	3.8922e-05	6.07186e-06	0.000103692	9.20561e-05	7.68611e-06	3.58705e-05	6.58401e-05	0.00478777	0.0626912	0.0190266	0.0574177	0.121581	0.401255	0.33289
</S>	0.000979224	1.0375e-05	0.00145018	0.000860629	6.76011e-05	0.0027327	0.00103496	0.0145201	0.0121409	0.0417066	0.147891	0.252058	0.0553254	0.469221
