 	le	mensonge	est	un	mauvais	acte	</S>
o	0.955653	0.0404318	0.00112245	0.000697889	0.000805408	0.00103708	0.000252268
b	0.0475003	0.948508	0.00185249	0.000937989	0.000196738	0.000251736	0.000752885
a	0.0222292	0.972445	0.00124073	0.0015989	0.000577394	0.000835573	0.00107321
n	0.00225943	0.982407	0.00502961	0.00389449	0.000577921	0.00329087	0.00254032
g	0.392725	0.574997	0.0125701	0.00348018	0.00276227	0.00214957	0.0113155
e	0.266483	0.708621	0.0118275	0.00429158	0.00389446	0.00167167	0.00321115
ó	0.139494	0.0439887	0.738054	0.03259	0.0174872	0.00582066	0.0225652
d	0.114967	0.0239264	0.585027	0.172031	0.0142408	0.0333825	0.0564255
i	0.00763198	0.0226194	0.27362	0.158994	0.0202679	0.045128	0.471738
e	0.0104087	0.0135279	0.239415	0.495052	0.0266403	0.0928619	0.122093
s	0.00310638	0.00916706	0.0895964	0.541083	0.0713273	0.185579	0.100141
í	0.00222968	0.00606444	0.043455	0.304228	0.0650029	0.381152	0.197868
m	0.00203937	0.000493682	0.0382304	0.0970379	0.110532	0.436998	0.314668
a	0.00613531	0.00138249	0.0350023	0.0661915	0.646122	0.137736	0.107431
é	0.00150058	0.000153583	0.0365407	0.050868	0.208707	0.471045	0.231185
b	0.00365163	0.00290441	0.0431995	0.135947	0.226176	0.291911	0.29621
é	0.00957257	0.00368844	0.0447142	0.255195	0.334962	0.266859	0.0850092
</S>	0.00116113	0.000724744	0.0136388	0.0699896	0.0808027	0.274036	0.559647
