 	il	a	fait	flétrir	les	légumes	au	soleil	</S>
w	0.864747	0.111273	0.0214727	0.00110498	0.000447277	0.000113866	0.000728121	7.2635e-05	3.98498e-05
a	0.830206	0.136567	0.0163195	0.000667892	0.00146248	0.000149576	0.0113896	0.00319823	3.98678e-05
á	0.126054	0.586349	0.273846	0.00793603	0.00215344	0.00076187	0.00234409	0.000348049	0.000208158
b	0.025176	0.194078	0.43089	0.293643	0.0227507	0.0111422	0.00731388	0.00288892	0.0121171
ω	0.0165607	0.062111	0.0743679	0.783787	0.0325667	0.00170773	0.00304301	0.000660626	0.0251958
b	0.00313704	0.0195395	0.0430961	0.907588	0.0186479	0.00375608	0.000779619	0.000125108	0.00333051
h	0.0103194	0.0394125	0.150769	0.725754	0.0537291	0.0133707	0.00271221	0.000346121	0.00358715
i	0.00959558	0.0694945	0.057182	0.830767	0.0137465	0.00308457	0.00224115	0.000370255	0.0135186
s	0.0227003	0.0539495	0.119852	0.416811	0.318229	0.0169092	0.0053141	0.00052613	0.0457083
i	0.00250549	0.00239233	0.0233444	0.285646	0.490363	0.112575	0.0349286	0.00929526	0.0389503
a	0.00650665	0.0191177	0.0493149	0.0050759	0.761663	0.0861884	0.0401818	0.0074465	0.0245049
t	0.00048982	0.0039133	0.0125391	0.0380113	0.597472	0.304729	0.0312179	0.00557963	0.00604801
ú	0.000393642	0.00487192	0.024722	0.0315832	0.275418	0.592748	0.0326112	0.00455298	0.0330989
n	0.000369485	0.00296849	0.010748	0.0179303	0.161801	0.583315	0.0398173	0.00204198	0.181008
g	0.00222806	0.00622017	0.01132	0.00659914	0.262429	0.564533	0.0674563	0.00623549	0.0729788
u	0.00776017	0.00885791	0.0233236	0.0187766	0.0761311	0.727599	0.0756299	0.00975121	0.0521703
o	0.000744987	0.00186114	0.002218	0.00245761	0.0753124	0.430191	0.418507	0.0185432	0.0501647
m	0.000183047	0.00370947	0.00340971	0.00267942	0.0350505	0.27311	0.299142	0.286943	0.0957729
w	0.000478024	0.00245987	0.00116835	7.69735e-05	0.00744452	0.0197211	0.139227	0.714929	0.114496
é	0.000149783	0.000172185	7.94638e-05	0.000133341	0.00920802	0.00982949	0.0205355	0.926039	0.0338535
s	0.000373604	0.000986448	0.000596503	4.56452e-05	0.0130047	0.0209292	0.0701534	0.794678	0.099232
é	0.000443533	0.00112143	0.000643715	0.000165693	0.00347244	0.0469421	0.050032	0.823694	0.0734854
</S>	0.000691129	0.00201984	0.00158208	0.00054466	0.0192617	0.0557581	0.139299	0.0523363	0.728507
