 	celles-ci	sont	des	feuilles	de	manguier	celles-là	sont	du	safoutier	</S>
y	0.0578034	0.350476	0.215833	0.126523	0.148118	0.0697669	0.00944801	0.01128	0.00323708	0.00142234	0.00609169
é	0.513309	0.231437	0.0397869	0.0986428	0.0238919	0.00784776	0.0733635	0.00446547	0.00432042	0.000764416	0.00217094
k	0.186494	0.127794	0.150514	0.36201	0.034995	0.0405086	0.0825505	0.00698729	0.0023292	0.00130071	0.00451614
á	0.0997979	0.0412232	0.1514	0.278519	0.0698793	0.145545	0.0817913	0.0378064	0.0115888	0.00412084	0.0783286
s	0.101613	0.0424563	0.191606	0.472665	0.0339668	0.0185567	0.0179847	0.0302843	0.00614268	0.00883055	0.0758936
i	0.120923	0.114111	0.224072	0.354704	0.0731666	0.00585851	0.0230904	0.0374084	0.0106716	0.000895042	0.0350988
y	0.0278547	0.0896338	0.370145	0.223917	0.238653	0.0198528	0.00665926	0.00511683	0.00525011	0.000964972	0.0119521
ó	0.0827973	0.13394	0.222408	0.124665	0.291387	0.0274559	0.0462435	0.0162992	0.0115023	0.000424988	0.0428772
m	0.0357768	0.0524959	0.0874343	0.199796	0.385724	0.150454	0.0459963	0.00790926	0.0113741	0.00168262	0.0213561
b	0.0032702	0.0280261	0.0265761	0.0259358	0.177469	0.477629	0.239671	0.014536	0.00385565	0.000189654	0.00284161
á	0.00249732	0.00112544	0.00759204	0.0129326	0.102611	0.825181	0.0360045	0.00836232	0.00134749	0.000266949	0.00207935
n	0.00234303	0.00355749	0.0123495	0.0223476	0.0961822	0.811741	0.0125807	0.00911735	0.00166896	0.00294239	0.0251701
g	0.0261504	0.044253	0.0434732	0.0867857	0.233849	0.419861	0.0723731	0.0175818	0.00399907	0.00029021	0.051384
é	0.0290182	0.0246885	0.0342165	0.0309729	0.149488	0.637955	0.0832348	0.00456365	0.00115366	0.000136136	0.0045729
y	0.00525603	0.0367308	0.114564	0.0527255	0.192087	0.170134	0.308412	0.0648124	0.0369826	0.00275603	0.0155405
í	0.0318605	0.0247917	0.061819	0.0559648	0.219304	0.0845383	0.406128	0.0617179	0.046986	0.00191558	0.00497369
i	0.00793363	0.00986428	0.0381447	0.0476727	0.187597	0.0767707	0.294847	0.107109	0.189315	0.0278742	0.0128727
y	0.000512062	0.000710077	0.00264085	0.00900869	0.00678881	0.0391915	0.41608	0.362321	0.0785493	0.0708056	0.0133928
ó	0.00134329	0.000372991	0.0029711	0.0103969	0.0101925	0.0150123	0.368832	0.251898	0.184179	0.143453	0.011349
s	0.000566015	0.000102417	0.0015624	0.00593546	0.0120914	0.00897668	0.244907	0.243883	0.113383	0.332368	0.0362246
á	0.00267385	0.000360909	0.00326441	0.0238536	0.0285468	0.0140194	0.269029	0.371952	0.133094	0.0979184	0.0552877
á	0.00295868	0.0043731	0.00797512	0.0151777	0.0426061	0.0248719	0.14844	0.207596	0.352906	0.147281	0.0458147
</S>	0.00214836	0.00760809	0.0144909	0.0134486	0.0203422	0.0208594	0.0864599	0.160144	0.39257	0.132668	0.149261
