 	il	coupe	le	bout	du	bâton	</S>
w	0.976259	0.00834695	0.00783949	0.00194416	0.00484862	0.000531179	0.000230638
a	0.944938	0.000706895	0.00547919	0.00939249	0.0210438	0.0182565	0.000182821
l	0.33058	0.335754	0.193488	0.0459552	0.0447174	0.00395972	0.0455449
á	0.288952	0.131678	0.0909741	0.0631965	0.044052	0.00628454	0.374862
a	0.394864	0.138151	0.0912798	0.0493253	0.0786816	0.019152	0.228546
k	0.0128556	0.898147	0.0710189	0.01261	0.00152932	0.000538499	0.00330079
y	0.0117923	0.837864	0.105908	0.0280308	0.00369914	0.00165324	0.0110533
é	0.0320177	0.703069	0.200403	0.0338017	0.010269	0.00794913	0.0124907
n	0.0409382	0.150048	0.567759	0.1081	0.0707742	0.0103776	0.0520027
á	0.183578	0.21314	0.506309	0.0597612	0.0104033	0.000863944	0.0259452
t	0.0553311	0.0351802	0.488465	0.253227	0.123254	0.0178827	0.0266594
s	0.0645253	0.110317	0.53996	0.209685	0.0241616	0.0244036	0.0269476
á	0.00229592	0.12813	0.516344	0.252434	0.0609897	0.0168563	0.0229507
a	0.020353	0.105409	0.315917	0.289389	0.0723081	0.0538225	0.142801
y	0.0201328	0.0251333	0.263882	0.330897	0.241133	0.0165852	0.102237
á	0.0378639	0.0259449	0.240759	0.297113	0.271123	0.0304708	0.0967253
i	0.0501078	0.00572881	0.0947506	0.19448	0.540416	0.088292	0.0262246
b	0.00430201	0.00486987	0.0189264	0.0784276	0.111471	0.721943	0.0600603
v	0.00431917	0.000771438	0.00749745	0.028452	0.0516293	0.891732	0.0155984
ú	0.000223783	0.000795465	0.00288586	0.0234286	0.0303505	0.888453	0.0538628
a	0.000604953	0.00048352	0.00931161	0.0374533	0.156888	0.544547	0.250712
</S>	0.00115469	0.00165732	0.0154043	0.0490716	0.17814	0.100287	0.654286
