 	j'	ai	rêvé	de	toi	hier	</S>
n	0.949262	0.037225	0.000820303	0.00489602	0.00374372	0.00341809	0.000634388
g	0.943294	0.051641	7.29909e-05	0.00225162	0.00226386	0.000204928	0.000271858
á	0.80921	0.169835	0.009722	0.00206178	0.00682298	0.000808247	0.00154002
í	0.0623897	0.318593	0.099452	0.0683725	0.121782	0.0709487	0.258463
l	0.00531565	0.0233361	0.918353	0.0184014	0.00723164	0.012474	0.0148878
ώ	0.000218322	0.00408039	0.962504	0.00605235	0.00559148	0.000970934	0.0205825
r	0.0015951	0.00743784	0.918676	0.0164399	0.0164694	0.00773022	0.0316514
i	0.02418	0.110303	0.590057	0.159339	0.0461981	0.0207672	0.0491548
n	0.0406288	0.313242	0.0498084	0.406273	0.12006	0.0320253	0.0379632
ω	0.0505815	0.149105	0.081628	0.267876	0.366461	0.0283328	0.0560165
l	0.00861737	0.0885133	0.018984	0.30065	0.353503	0.138107	0.0916252
a	0.000883555	0.00256778	0.0366258	0.126071	0.0995825	0.447114	0.287155
p	0.00907771	0.0258834	0.00911041	0.100331	0.0627106	0.694704	0.0981831
ó	9.28836e-05	0.000147906	0.000262883	0.00564116	0.00798834	0.938124	0.0477424
a	0.000131314	0.000731844	0.00665136	0.0370901	0.0278509	0.833435	0.094109
</S>	0.000119416	0.00102974	0.0098469	0.0514816	0.341052	0.167682	0.428789
