 	cette	eau	froide	est	à	moi	et	la	chaude	est	à	toi	</S>
m	0.395051	0.555153	0.00357283	0.00877307	0.0110517	0.00359781	0.00828618	0.0041717	0.00448364	0.0036907	0.00194851	5.70897e-05	0.0001624
á	0.112804	0.72906	0.0059113	0.0161752	0.0133237	0.0318714	0.0435645	0.0116424	0.00325142	0.0117113	0.0104611	0.000424887	0.00979887
a	0.183834	0.790048	0.00620607	0.00276829	0.00333736	0.00195963	0.00405546	0.00156178	0.00059378	0.000775881	0.000847102	0.00303074	0.000981678
m	0.208456	0.640406	0.0659342	0.0240635	0.0104163	0.00719461	0.00577531	0.00470861	0.00499588	0.00455384	0.00179054	0.00266357	0.0190419
á	0.0324921	0.696302	0.195179	0.0422405	0.00597564	0.00284467	0.0102048	0.00230355	0.0030039	0.000865363	0.000222934	0.000454255	0.00791119
p	0.133519	0.179846	0.314225	0.0851602	0.0446509	0.0562752	0.0299886	0.0165058	0.00506994	0.00818499	0.00843758	0.0409142	0.0772234
y	0.036289	0.113999	0.726345	0.0690073	0.0164636	0.00241023	0.00983591	0.00739374	0.00364455	0.00231387	0.000982226	0.00512084	0.0061951
é	0.00604956	0.0109118	0.92961	0.0294811	0.00789137	0.000479257	0.00264023	0.00268339	0.000705492	0.000975406	0.000697462	0.00185917	0.00601554
b	0.00341901	0.00438398	0.731676	0.0242491	0.00960879	0.00187198	0.00539255	0.00307591	0.00471465	0.00507394	0.00178646	0.00333287	0.201415
h	0.0851709	0.0360042	0.703155	0.0600155	0.0356447	0.0258548	0.00788251	0.00409757	0.00353078	0.00331652	0.0015287	0.0127955	0.0210035
i	0.0901619	0.0136595	0.442867	0.132472	0.0485393	0.0214706	0.0122577	0.00702758	0.00818468	0.0114285	0.00895422	0.00890191	0.194075
m	0.0648181	0.0349739	0.154395	0.394759	0.185088	0.0573929	0.0258666	0.010501	0.00835387	0.00823456	0.00366188	0.00136861	0.0505871
á	0.0794282	0.0662313	0.128739	0.180296	0.112889	0.0827233	0.159768	0.0459061	0.0888608	0.0120827	0.00225121	0.00340187	0.0374229
m	0.0222219	0.0163484	0.0467677	0.216839	0.240004	0.118581	0.13301	0.0851784	0.0479365	0.0146921	0.00853639	0.0326821	0.0172009
á	0.00555638	0.00947267	0.0257504	0.13011	0.144455	0.0721547	0.250409	0.15519	0.110703	0.0184598	0.00665778	0.00676637	0.0643138
n	0.00611995	0.00780666	0.0142652	0.148772	0.192245	0.127426	0.212927	0.146605	0.0539853	0.0173669	0.00939114	0.0375522	0.025538
g	0.00314492	0.00114516	0.00254631	0.0230281	0.11369	0.711313	0.0606325	0.0191912	0.00366727	0.00277206	0.00524234	0.0287787	0.0248492
a	0.00249798	0.00031339	0.00203787	0.00957533	0.0389419	0.859447	0.0209513	0.0117186	0.00142725	0.00119817	0.00259272	0.042387	0.00691176
m	0.00242106	0.000814617	0.00955404	0.0554131	0.112803	0.274602	0.242147	0.167133	0.0246948	0.0166685	0.0355179	0.0225732	0.0356574
á	0.0429848	0.00305934	0.0067041	0.0523876	0.064067	0.0404352	0.0918425	0.265803	0.185427	0.0881623	0.0393623	0.013135	0.10663
m	0.00775791	0.00345168	0.00746741	0.0278107	0.0635131	0.0749933	0.152746	0.278843	0.187216	0.0636646	0.0682825	0.0497772	0.0144758
í	0.00243086	0.0033195	0.0031342	0.0176095	0.0267673	0.0307398	0.137201	0.220358	0.134209	0.130976	0.0908119	0.0392539	0.16319
á	0.000988109	0.00111942	0.00121641	0.0240244	0.0460185	0.0544348	0.19632	0.235558	0.18813	0.0890153	0.0572879	0.0906269	0.0152604
m	0.00115618	0.000659938	0.0027805	0.0103261	0.0183408	0.0425517	0.06566	0.0884508	0.110847	0.270304	0.132381	0.0692124	0.187329
έ	0.00428273	0.00676766	0.00811417	0.025897	0.0200432	0.0115827	0.068432	0.168135	0.142931	0.237968	0.161833	0.03544	0.108575
ε	0.000258991	0.000241658	0.00143739	0.0132455	0.0224285	0.0210423	0.0897893	0.151909	0.154505	0.180521	0.122296	0.19271	0.0496146
m	0.000715957	0.000377787	0.00302571	0.00798763	0.00957449	0.00525305	0.0355578	0.104409	0.184815	0.271437	0.134924	0.127296	0.114626
á	0.00108952	0.00338673	0.00398055	0.0165597	0.0165648	0.0125327	0.0706262	0.154053	0.0697957	0.218473	0.218381	0.112295	0.102263
n	0.00147955	0.00050776	0.00210551	0.0105961	0.02169	0.0208537	0.0203413	0.0399396	0.00945566	0.101992	0.166795	0.549006	0.0552372
ω	0.000627879	3.06702e-05	0.000280283	0.00131387	0.0073099	0.115205	0.00811043	0.00679096	0.00111077	0.0179293	0.061423	0.722271	0.0575971
</S>	0.000506929	0.000255979	0.000688611	0.00321903	0.00684485	0.0230827	0.0264174	0.0518933	0.0186065	0.0821986	0.092736	0.0848334	0.608717
