 	il	est	paresseux	ce	n'	est	pas	bien	</S>
w	0.560768	0.199536	0.0351395	0.0510077	0.0660161	0.0316349	0.023721	0.0200505	0.0121261
a	0.313459	0.161529	0.0164279	0.0912715	0.162689	0.0875186	0.0664553	0.0868208	0.0138291
a	0.151342	0.336276	0.0862197	0.074016	0.0671866	0.0580991	0.0315586	0.0102529	0.185049
d	0.0695489	0.328273	0.23129	0.0571837	0.06322	0.0571967	0.0536031	0.0399652	0.0997197
í	0.0537672	0.247048	0.0503411	0.0387654	0.100829	0.0573222	0.0161963	0.00627577	0.429456
l	0.0133192	0.0489837	0.132656	0.124751	0.145662	0.106092	0.0700017	0.0377777	0.320757
a	0.0577653	0.141856	0.13465	0.199108	0.0873814	0.0497227	0.0113567	0.00348205	0.314679
ω	0.115475	0.206124	0.347773	0.14043	0.0616177	0.0203688	0.0108629	0.0195001	0.0778477
b	0.00735576	0.0565019	0.64208	0.0630369	0.0537062	0.0322409	0.0193376	0.0630882	0.0626525
ω	0.00936531	0.0362592	0.695616	0.0213537	0.0185382	0.0218104	0.027367	0.107277	0.0624132
l	0.00219189	0.0276758	0.595531	0.0501069	0.0265072	0.0217455	0.0351764	0.17831	0.0627546
ω	0.0375827	0.0792768	0.381702	0.0975603	0.0623458	0.0979466	0.0760771	0.0485602	0.118948
é	0.0114364	0.0272504	0.010396	0.291229	0.14211	0.15963	0.189671	0.0834507	0.0848261
d	0.0169319	0.0465447	0.00647629	0.0780882	0.109384	0.233126	0.35306	0.0760885	0.0803005
í	0.00130547	0.00533383	0.000236298	0.0263258	0.026579	0.0704283	0.253975	0.0245889	0.591227
ω	0.000827642	0.0021471	0.000309813	0.0533957	0.0496562	0.103318	0.279914	0.0663853	0.444045
b	0.0021672	0.0224537	0.00632109	0.0203731	0.0313291	0.0995821	0.433526	0.236994	0.147254
v	0.00277562	0.0132143	0.0559803	0.0101878	0.0221918	0.0669661	0.25475	0.394684	0.17925
έ	0.00135771	0.00613833	0.0744788	0.0224634	0.0279717	0.0609334	0.152854	0.574103	0.0796995
k	0.000198657	0.000686465	0.000686695	0.0103086	0.012078	0.0490379	0.137427	0.152423	0.637154
a	0.0037629	0.00722002	0.0212087	0.0186954	0.0178827	0.0661012	0.276327	0.197866	0.390937
á	0.00016358	0.000203916	0.00130751	0.0016866	0.00474763	0.00968899	0.033003	0.16553	0.783669
</S>	0.0103963	0.0187815	0.0112506	0.066123	0.0585965	0.0797639	0.087652	0.0731582	0.594278
