 	il	brave	le	danger	</S>
w	0.982757	0.00965612	0.0070242	0.000364228	0.000198133
a	0.979169	0.00145562	0.0186475	0.000588321	0.00013985
a	0.646437	0.153251	0.127102	0.010322	0.0628884
d	0.0863656	0.403173	0.374754	0.0216571	0.11405
i	0.0783139	0.465903	0.0662888	0.00379141	0.385703
b	0.0350573	0.48524	0.331215	0.0188296	0.129658
ώ	0.0767914	0.0616962	0.762392	0.0190993	0.0800209
m	0.152782	0.0543071	0.467354	0.0314816	0.294074
ώ	0.0715358	0.00576092	0.826991	0.00322357	0.0924882
b	0.00758267	0.0184466	0.794304	0.11005	0.0696162
i	0.0087305	0.00161052	0.845899	0.0724023	0.0713575
p	0.0105078	0.00161485	0.698434	0.0858616	0.203582
έ	0.0113905	0.0369649	0.488465	0.37377	0.0894093
ε	0.000884631	0.023986	0.288657	0.537344	0.149129
l	0.0105757	0.00309768	0.291458	0.332683	0.362185
á	0.0109696	0.00654087	0.0776806	0.54468	0.360129
k	0.0340093	0.00735965	0.127388	0.513194	0.318049
í	0.00103274	0.00553665	0.0565999	0.864675	0.0721561
n	0.000909739	0.00304454	0.118732	0.518249	0.359064
g	0.00102116	0.055899	0.0198063	0.468958	0.454315
í	0.013154	0.0165553	0.0338483	0.551719	0.384724
k	0.00145517	0.0031304	0.0229042	0.213188	0.759322
a	0.0122476	0.00422166	0.20873	0.109006	0.665795
á	0.00112165	0.00198998	0.0297298	0.0819755	0.885183
</S>	0.00656186	0.00149884	0.0311736	0.0648177	0.895948
