 	l'	homme	partit	le	fusil	en	bandoulière	</S>
m	0.85705	0.140869	0.000479435	0.000646521	0.000461957	0.000440944	9.08187e-06	4.31157e-05
o	0.492541	0.375989	0.0802122	0.0144688	0.00946364	0.00847565	0.00137027	0.0174792
r	0.474563	0.515417	0.00594663	0.00025702	0.000429996	0.000389869	0.000955639	0.00204087
o	0.716176	0.263097	0.0105338	0.00165768	0.00245392	0.000848331	0.00315157	0.0020814
a	0.839581	0.109516	0.0275858	0.00456127	0.000970739	0.00143366	0.00034901	0.0160031
t	0.139039	0.0407092	0.347983	0.293435	0.0904991	0.0535774	0.00828716	0.026471
έ	0.0037024	0.0184293	0.496013	0.31657	0.12303	0.0216623	0.00785824	0.0127338
m	0.0169459	0.0500226	0.358898	0.248111	0.0935237	0.046495	0.0294392	0.156564
i	0.0165746	0.00494097	0.468711	0.338529	0.0974049	0.0371809	0.003304	0.0333546
l	0.0169722	0.00264763	0.178459	0.293036	0.271341	0.128911	0.0579205	0.0507137
a	0.00375878	0.00129586	0.061717	0.313059	0.324705	0.132892	0.0152271	0.147346
ω	0.0189355	0.00467745	0.209182	0.187042	0.27922	0.101491	0.0856116	0.11384
t	0.00195467	0.00478302	0.0182065	0.124906	0.421702	0.219604	0.17985	0.0289937
á	0.000654971	0.011272	0.0280393	0.111114	0.407012	0.0776682	0.294963	0.0692772
m	0.00102089	0.00434851	0.048546	0.139638	0.237773	0.0688072	0.374507	0.125359
ó	0.00103062	0.00101634	0.00779171	0.0839303	0.238838	0.452351	0.108712	0.10633
e	0.00679921	0.0010774	0.0145304	0.0710906	0.0709225	0.207538	0.363087	0.264955
t	0.00213134	0.00118636	0.00618847	0.0230547	0.0659646	0.127626	0.715639	0.0582094
ú	0.000268129	0.000692008	0.00310738	0.0174812	0.0585406	0.0504678	0.831787	0.0376556
s	0.000337248	0.000252231	0.000836605	0.0045308	0.0122091	0.00725526	0.895772	0.0788063
u	0.00274897	0.000518288	0.00136942	0.0311923	0.0599991	0.0512213	0.716187	0.136763
</S>	0.00316375	0.000600169	0.00376768	0.0570869	0.0351491	0.111604	0.101956	0.686673
