 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
w	0.958434	0.0074631	0.00978923	0.00189285	0.00755119	0.00588778	0.00371014	0.00520882	3.93749e-05	2.3312e-05
a	0.938526	0.00313464	0.0131563	0.000907189	0.0147803	0.00165291	0.00596268	0.0208675	0.000989535	2.3021e-05
a	0.305025	0.317833	0.177971	0.012865	0.081099	0.0243048	0.01546	0.0446298	0.00948589	0.0113258
d	0.0894449	0.424136	0.16928	0.0440511	0.0758714	0.0106901	0.0351549	0.0620154	0.0232523	0.0661039
i	0.0482948	0.769685	0.0808066	0.0174868	0.0257241	0.00589834	0.0106613	0.00148738	0.0111782	0.0287773
í	0.0138752	0.438425	0.232789	0.0410972	0.080915	0.0193322	0.0540668	0.0127738	0.0257198	0.0810062
m	0.00589323	0.329439	0.51231	0.0654272	0.0231005	0.0277345	0.0146999	0.00760435	0.00691694	0.00687402
b	0.00488344	0.0638252	0.130352	0.428336	0.0875768	0.0165657	0.204058	0.00345537	0.0161954	0.0447515
a	0.00210114	0.0481318	0.0625818	0.194	0.0489677	0.0289043	0.567857	0.00233902	0.0139919	0.0311247
r	0.0310068	0.0483699	0.156701	0.0505828	0.0491673	0.00242004	0.580984	0.00837589	0.00416055	0.0682322
á	0.0366012	0.0591272	0.230372	0.173951	0.070293	0.0253987	0.102939	0.0140254	0.0150359	0.272256
a	0.030881	0.0133543	0.401708	0.263183	0.133727	0.0278986	0.0387705	0.0308548	0.00418347	0.0554386
t	0.00150531	0.0184912	0.233461	0.535575	0.117121	0.0394825	0.0283236	0.00803742	0.0147756	0.00322746
s	0.00100231	0.00235862	0.0621231	0.562274	0.206086	0.0386519	0.0586656	0.0177845	0.00883194	0.0422223
ú	0.000555771	0.00531395	0.0709654	0.467372	0.24784	0.0606181	0.0645232	0.0368111	0.00510048	0.0408998
s	0.000540112	0.00136511	0.0580692	0.582562	0.168016	0.0892819	0.053799	0.00788981	0.00153928	0.0369374
u	0.000968288	0.000142223	0.0210416	0.618302	0.094946	0.223873	0.0144822	0.0123553	0.00119856	0.0126907
a	0.000783691	0.000907931	0.0838138	0.0794849	0.490602	0.247354	0.036425	0.038011	0.0063509	0.0162668
b	0.0011719	0.0103412	0.0667569	0.0559563	0.431467	0.246659	0.108748	0.0334619	0.0365777	0.0088598
v	0.000737394	0.00350649	0.0178687	0.00606436	0.293728	0.0113949	0.553825	0.0843377	0.0151791	0.0133581
ú	0.000242942	0.00180456	0.00250629	0.00261841	0.114587	0.00743248	0.839931	0.0183834	0.00114736	0.0113466
r	0.000490874	0.000482014	0.0265624	0.136222	0.388446	0.183321	0.221331	0.0352101	0.000914091	0.00702036
ú	0.000331291	3.00493e-05	0.0066586	0.113186	0.133144	0.631742	0.0772028	0.0215884	0.00232224	0.0137944
n	0.000188071	0.000106289	0.0119016	0.00967407	0.411807	0.429429	0.0353981	0.076769	0.00824392	0.0164828
d	0.000510662	3.99044e-05	0.00391485	0.00498799	0.1052	0.811852	0.0266184	0.0128358	0.00446919	0.0295719
é	2.30297e-05	1.20255e-05	0.00053181	0.00211557	0.0232335	0.925816	0.00746174	0.00509778	0.0201082	0.0155999
e	4.19221e-05	4.21954e-05	0.00885428	0.0201858	0.129191	0.568404	0.0162034	0.044468	0.134682	0.0779268
y	0.000692903	0.000202512	0.0111071	0.00586747	0.190211	0.146993	0.0908816	0.486357	0.0283062	0.0393811
á	0.00179159	0.000929018	0.0187868	0.0227931	0.161166	0.267023	0.0830945	0.346979	0.0417449	0.0556919
o	0.00028311	0.000600523	0.00569579	0.00408921	0.0479057	0.0507666	0.0336607	0.796788	0.0497356	0.0104746
l	7.45297e-05	0.000769667	0.00483219	0.00687793	0.0386464	0.0551669	0.234167	0.101375	0.522107	0.0359839
ó	9.03691e-05	0.00180905	0.00887734	0.00341246	0.0427982	0.0197867	0.027401	0.0349871	0.829327	0.0315106
m	2.51437e-05	0.000354179	0.00187522	0.0190778	0.0208161	0.0122878	0.0125041	0.0322469	0.848658	0.0521551
i	3.36722e-05	0.000192232	0.00173014	0.00659282	0.0287575	0.0332804	0.0641488	0.115436	0.396555	0.353274
</S>	0.000597981	6.75484e-05	0.00416215	0.00167442	0.0369482	0.0516238	0.0598756	0.376146	0.0396854	0.429219
