 	ondongo	m'	a	serré	violemment	la	main	</S>
o	0.939845	0.033758	0.00411564	0.0106666	0.00924096	0.00130251	0.00091161	0.000159912
n	0.999202	0.000498832	8.14801e-05	6.93702e-05	0.000107976	2.03654e-05	2.44986e-06	1.72998e-05
d	0.959958	0.013075	0.00680842	0.00510236	0.0065637	0.00258786	0.0018522	0.00405276
ó	0.997725	0.000833637	0.000189708	0.000146071	0.000977904	5.58971e-05	4.02452e-05	3.13115e-05
n	0.962832	0.00902303	0.00153802	0.000637319	0.0155181	0.00152794	0.000183045	0.00874028
g	0.847789	0.105824	0.0146348	0.00182263	0.00527667	0.00595065	0.000979669	0.0177228
o	0.664703	0.0297013	0.0339345	0.0340341	0.00953453	0.00579486	0.00292001	0.219377
á	0.0247989	0.419119	0.472348	0.0420139	0.0183947	0.0122642	0.00318314	0.0078784
b	0.0146142	0.0436449	0.173676	0.563262	0.0967816	0.0435774	0.0125438	0.0519001
h	1.76172e-05	0.0102841	0.0384304	0.909953	0.00927407	0.0189145	0.00843075	0.00469571
í	0.000366281	0.0248357	0.0189587	0.921847	0.024744	0.00613486	0.00073219	0.00238154
í	0.000542977	0.0115652	0.0322919	0.789858	0.0269946	0.0158716	0.0202084	0.102668
n	0.000728384	0.0656953	0.09493	0.0688887	0.663176	0.0818473	0.0102294	0.0145048
i	0.00121333	0.0284513	0.0299386	0.00338771	0.908904	0.0258762	0.000357732	0.00187157
n	0.00029396	0.0658107	0.0862412	0.0466597	0.448912	0.261841	0.033659	0.0565823
g	0.000554598	0.00710274	0.00527921	0.00158304	0.959087	0.0209677	0.000512137	0.00491365
á	0.00788968	0.0814694	0.0479825	0.00210178	0.768885	0.0757025	0.00313577	0.012833
e	0.00163063	0.00590867	0.0259219	0.013186	0.071498	0.596131	0.17808	0.107644
b	0.00158517	0.00170861	0.00446485	0.0198546	0.00728802	0.324987	0.459807	0.180305
ó	0.000148716	0.00132219	0.00159086	0.0256522	0.000469735	0.0346502	0.914841	0.0213257
ω	0.000878475	0.00167081	0.00671242	0.0597718	0.00387152	0.0722875	0.758905	0.0959027
</S>	7.13431e-05	0.000456118	0.0043852	0.00920804	0.00875116	0.187489	0.305895	0.483744
