 	dieu	est	le	créateur	du	ciel	et	de	la	terre	</S>
n	0.667999	0.277451	0.0238392	0.00291121	0.0152635	0.0033047	0.0044174	0.00250625	0.00168734	0.000351084	0.000269008
z	0.995081	0.00215922	0.00111477	0.000442225	0.000186313	4.07311e-06	4.88834e-05	5.71094e-05	7.40413e-05	0.000793537	3.82977e-05
a	0.89909	0.0310318	0.0157506	0.049564	0.00178282	0.000227132	0.000863293	0.000471945	0.000178382	0.000808993	0.000230955
m	0.668914	0.10425	0.0652876	0.0744515	0.012048	0.00094018	0.00191308	0.00141333	0.00169278	0.0115803	0.0575086
b	0.314903	0.378694	0.12227	0.0633436	0.0525912	0.0014131	0.00866693	0.00968844	0.00615235	0.00146313	0.0408137
é	0.340314	0.512055	0.0682545	0.0126903	0.0125815	0.001513	0.0137963	0.0109134	0.00534808	0.00347219	0.0190622
a	0.0227362	0.39503	0.457823	0.0346602	0.0208249	0.00513684	0.0173846	0.0102042	0.00959119	0.0012997	0.0253094
d	0.00168543	0.211171	0.531809	0.104458	0.0295622	0.0226711	0.0223201	0.021801	0.0123851	0.00156917	0.0405681
í	0.00631	0.147564	0.531669	0.182492	0.0471594	0.00240628	0.00832997	0.00806879	0.00392489	0.000887188	0.061189
o	0.00459556	0.0573291	0.483532	0.109101	0.144137	0.0396078	0.0444285	0.0302579	0.0171125	0.00401874	0.0658795
y	0.000276554	0.0197438	0.114324	0.784867	0.0446685	0.0275965	0.00299494	0.00220857	0.000695588	0.000510328	0.0021141
ε	0.000389824	0.00333379	0.0482175	0.910551	0.0205614	0.00237862	0.000792585	0.00194886	0.00155697	0.00309155	0.00717745
s	0.000176363	0.00265572	0.038661	0.541638	0.151296	0.00236975	0.013608	0.0248386	0.0184974	0.025383	0.180876
i	0.000551153	0.015917	0.12426	0.508474	0.219029	0.00820358	0.0214393	0.0318768	0.0194385	0.0104838	0.0403256
i	0.000291513	0.00970163	0.160875	0.0688672	0.550142	0.0796959	0.0363345	0.0233066	0.0160259	0.00336657	0.0513931
k	0.00112812	0.0103557	0.0431127	0.0712776	0.423245	0.263479	0.0860859	0.0439025	0.0237211	0.0109574	0.022735
o	0.00016758	0.00138081	0.00362504	0.00389428	0.0610838	0.871904	0.0352734	0.00927414	0.0037377	0.00406413	0.00559551
ó	0.000245635	0.0026556	0.012232	0.0116547	0.185668	0.723207	0.0329612	0.0114624	0.007046	0.00370761	0.00915987
l	0.000279682	0.00444463	0.0221912	0.0102548	0.279148	0.106019	0.269282	0.143398	0.0814167	0.0131169	0.0704483
a	0.000435137	0.00441488	0.0150738	0.00850191	0.0596917	0.0527598	0.164517	0.143504	0.0835803	0.0560312	0.41149
t	0.00133791	0.000923667	0.00936461	0.00405169	0.0304952	0.0225114	0.0948281	0.0735835	0.0635237	0.631946	0.0674346
s	0.000791698	0.00238616	0.00713418	0.00157248	0.029727	0.354745	0.154123	0.0985996	0.0805234	0.200887	0.0695103
ε	0.000255973	0.000723788	0.00171163	0.00190655	0.0150859	0.150348	0.108514	0.104855	0.0613435	0.509858	0.0453978
n	3.31437e-05	0.000352219	0.0014431	0.00187355	0.043419	0.0979877	0.16662	0.152539	0.112092	0.316248	0.107392
g	0.000343259	0.00138698	0.00411584	0.00459415	0.0590165	0.0805854	0.21137	0.225089	0.173972	0.161137	0.0783896
ε	0.000891865	0.000280041	0.00121706	0.00508814	0.0596722	0.00594875	0.0738499	0.108986	0.0530006	0.614603	0.0764623
</S>	0.000388271	0.00120941	0.00421601	0.00152181	0.0337784	0.00604311	0.140932	0.177727	0.193901	0.109195	0.331088
