 	nous	venons	de	couper	des	lianes	dans	la	forêt	</S>
b	0.979958	0.0145241	0.00298304	0.000729258	0.000803903	0.000375899	0.000147346	0.00033435	0.000118442	2.51694e-05
í	0.982438	0.00743733	0.0022107	0.000260142	0.0026263	0.00159968	0.00067425	0.002481	0.000199198	7.38725e-05
s	0.97442	0.018241	0.0019291	0.000364382	0.00263376	0.000394096	0.00032017	0.000762386	0.000293683	0.000640864
í	0.890913	0.0296767	0.0140182	0.00200854	0.0386064	0.0105587	0.00282201	0.00220414	0.000331427	0.0088609
l	0.146661	0.366444	0.129482	0.0299702	0.0266147	0.0210539	0.0239395	0.0314285	0.0190708	0.205336
é	0.0182762	0.217739	0.147859	0.0105869	0.0908279	0.272709	0.0885351	0.0337676	0.00350085	0.116199
w	0.00621014	0.879918	0.0814797	0.00670548	0.00387581	0.00944386	0.0061062	0.00283392	0.00063487	0.00279177
ú	0.0107834	0.476308	0.257878	0.139292	0.0132752	0.011249	0.036536	0.0210055	0.00969748	0.0239744
r	0.0551454	0.45058	0.393976	0.0323983	0.0218843	0.00745922	0.0126884	0.0116155	0.00262969	0.0116225
u	0.0253033	0.209057	0.535305	0.0493166	0.0776076	0.0127367	0.0240767	0.0200192	0.0113101	0.0352672
o	0.00290104	0.0180765	0.700278	0.147492	0.0566202	0.0177432	0.0185716	0.0183144	0.00909706	0.0109054
k	0.00164752	0.00752221	0.339849	0.435037	0.0939946	0.0190154	0.0536148	0.0299534	0.0123556	0.00701042
w	4.11925e-05	0.000139417	0.00919972	0.982265	0.00142518	0.000679008	0.00130418	0.000493314	0.00325829	0.00119469
ε	0.00602982	0.00180171	0.0346985	0.907928	0.0221961	0.00322585	0.00362875	0.00228796	0.00571316	0.0124906
r	0.00312581	0.00105489	0.107794	0.529048	0.170435	0.00317889	0.0224167	0.0153632	0.0150241	0.13256
έ	0.00147747	0.00049779	0.0486959	0.759072	0.0690951	0.00938424	0.0176199	0.00816526	0.0130628	0.0729296
n	0.000622277	0.00064327	0.0694392	0.0193371	0.66396	0.0147717	0.16871	0.039393	0.00435565	0.0187678
g	0.00653711	0.0012333	0.0168307	0.0153778	0.212335	0.560931	0.0561284	0.0198332	0.0157158	0.0950781
ω	0.000706568	8.43251e-05	0.00202781	0.0019082	0.0335356	0.951174	0.00429144	0.0013061	0.00142135	0.00354496
s	0.00106916	0.00038571	0.00643421	0.00212175	0.0901244	0.842912	0.0191946	0.00879733	0.0128878	0.0160727
í	0.000571996	0.00144345	0.0149568	0.0529173	0.0953988	0.0810087	0.260876	0.0965185	0.117016	0.279292
s	0.0124202	0.000776627	0.0144967	0.00258158	0.229403	0.102972	0.234843	0.217146	0.121029	0.0643316
á	0.00627024	0.0137977	0.0243075	0.00609445	0.118384	0.180043	0.203883	0.108721	0.170685	0.167814
k	0.00528421	0.000687569	0.00494833	0.00152201	0.110049	0.0562307	0.0457579	0.0803367	0.659058	0.0361257
ω	9.36176e-05	3.35451e-05	0.000430004	0.00997016	0.00374429	0.00434789	0.0165415	0.0261434	0.925543	0.0131528
</S>	3.53268e-05	2.91962e-05	0.000468618	0.0123583	0.00299497	0.0105136	0.00569875	0.0191521	0.930866	0.0178834
