 	le	sculpteur	est	en	train	de	tailler	la	pirogue	</S>
o	0.919454	0.0485538	0.0189257	0.007269	0.00168724	0.00224534	0.000281833	0.00118942	0.000130415	0.000262954
k	0.076705	0.916009	0.00418097	0.000896155	0.000344906	0.0002137	0.00111356	9.03002e-05	0.000102232	0.000344655
a	0.0177138	0.975417	0.00200073	0.00108281	0.000626771	0.00010742	0.00214855	0.000185235	0.000391554	0.000325542
m	0.0314138	0.94337	0.00953909	0.00341143	0.00831241	0.000610631	0.00117081	0.00017038	7.55153e-05	0.00192644
b	0.65692	0.158004	0.121435	0.0295559	0.0167276	0.00307918	0.00105915	0.00402405	0.000177	0.0090179
a	0.512364	0.214666	0.115313	0.0426553	0.037489	0.0107951	0.0190216	0.00592051	0.00342094	0.0383557
b	0.0541371	0.00837159	0.551705	0.273567	0.0469379	0.0461083	0.00365484	0.00425337	8.55231e-05	0.0111797
ó	0.11529	0.00172078	0.0936857	0.39357	0.150073	0.0976489	0.0132355	0.0795129	0.0316339	0.0236294
l	0.228967	0.00217433	0.176726	0.390507	0.0775179	0.102024	0.00367806	0.0125962	0.000369933	0.00543913
á	0.0231379	0.00157061	0.0909352	0.0838784	0.00500866	0.127813	0.136821	0.0244775	0.0117174	0.49464
a	0.108182	0.00770385	0.22741	0.133478	0.0273918	0.324393	0.0724994	0.0560177	0.0207403	0.0221843
b	0.00374384	0.00283004	0.0149982	0.0155508	0.00488454	0.255046	0.663062	0.0208609	0.00304988	0.0159734
h	0.00148171	0.0072696	0.00887657	0.01566	0.0202765	0.126918	0.694042	0.0891151	0.012135	0.0242256
ε	0.000349047	0.000824093	0.000930414	0.0023645	0.00187307	0.00974005	0.964598	0.00416021	0.0039919	0.011169
n	0.00520614	0.000680558	0.0337482	0.0665281	0.00470705	0.140602	0.521492	0.102044	0.0421075	0.0828844
g	0.0356961	0.000399264	0.0395345	0.0567883	0.000874751	0.0952407	0.350487	0.220379	0.0176151	0.182985
έ	0.0629184	0.000167791	0.0325557	0.094342	0.00190493	0.0753767	0.110493	0.285869	0.129553	0.206819
b	0.00760805	0.000238141	0.00350412	0.00530817	0.000748353	0.00494349	0.0238688	0.295322	0.589002	0.0694568
v	0.00194118	0.000738792	0.000484435	0.00104498	0.00115687	0.00127738	0.000867234	0.0178902	0.972687	0.0019122
á	8.15054e-05	1.6414e-05	2.2601e-05	0.00018996	0.000140495	5.11958e-05	0.00277994	0.00259497	0.993851	0.000272218
r	0.00454947	6.12995e-05	0.00105883	0.00383492	0.00109209	0.00108438	0.00361716	0.0490532	0.9168	0.0188486
e	0.00045749	2.71383e-05	0.000641028	0.00174599	2.98763e-05	0.00188296	0.0190337	0.0875518	0.705354	0.183276
</S>	0.00874105	0.000123138	0.0094015	0.0174938	0.000643457	0.0170064	0.0154899	0.0771187	0.0826081	0.771374
