 	le	vent	fait	les	ondulations	sur	l'	eau	du	lac	</S>
o	0.94596	0.0372525	0.00543307	0.00388892	0.0017191	0.00278531	0.00163379	0.000229421	0.000825033	0.000138855	0.000133857
p	0.168614	0.753892	0.0468942	0.00860838	0.0125961	0.00288218	0.00200902	0.000817309	0.001427	0.00123417	0.00102585
ε	0.00813277	0.954718	0.00319057	0.000387649	0.0288069	0.000437604	0.00109018	6.91782e-05	0.000258084	0.00261039	0.000298859
p	0.0968509	0.601574	0.0494839	0.0166665	0.0652098	0.029754	0.0581668	0.00448419	0.0180951	0.0115521	0.0481628
ε	0.587594	0.280054	0.0394247	0.00964358	0.0465682	0.00793337	0.00381797	0.00116042	0.00276569	0.00416599	0.016872
m	0.306766	0.0444068	0.306439	0.101226	0.0257208	0.0398912	0.0155201	0.0191425	0.0288102	0.00319935	0.108878
ó	0.404745	0.0220923	0.0685683	0.116879	0.0123832	0.14416	0.0496171	0.0977062	0.0452156	0.00109285	0.0375399
o	0.488901	0.0127818	0.114943	0.151817	0.143828	0.0302345	0.0206182	0.00788212	0.00687346	0.00165314	0.0204677
k	0.00830461	0.0114827	0.205123	0.186852	0.528079	0.0162569	0.0174065	0.00931019	0.00461304	0.0036529	0.00891884
y	0.00108779	0.0429566	0.126138	0.0697956	0.691911	0.0226824	0.0155289	0.00530711	0.00416184	0.00182949	0.0186013
á	0.00103341	0.0435398	0.113186	0.0759182	0.706855	0.0182501	0.0262942	0.00229169	0.00283399	0.00439576	0.00540254
i	0.00677259	0.00309614	0.116739	0.374882	0.177929	0.0951413	0.0352018	0.0419023	0.0300212	0.0183688	0.0999461
t	0.00105294	0.0026806	0.0171327	0.130559	0.225211	0.237309	0.245208	0.0642603	0.0370181	0.00860336	0.0309644
ω	0.00071394	0.00318601	0.0189279	0.0496803	0.552438	0.0859368	0.201103	0.0194445	0.0253074	0.0246746	0.0185873
ω	0.000568672	0.00411468	0.0315241	0.0345074	0.454691	0.115408	0.247605	0.0174192	0.017186	0.0317253	0.0452504
l	0.00173779	0.000286756	0.0063608	0.0416089	0.0127112	0.41358	0.229434	0.147447	0.105738	0.0126213	0.0284737
á	0.00184287	0.0009957	0.0135082	0.0219707	0.0354611	0.110769	0.193158	0.125184	0.1971	0.0334952	0.266515
k	0.0194328	0.00084184	0.00316289	0.00896171	0.00845086	0.0701786	0.129651	0.0836622	0.178384	0.445304	0.0519702
y	0.000134816	0.000321709	0.000393961	0.000783109	0.0164801	0.00315948	0.0114178	0.00120708	0.00975041	0.946597	0.00975453
é	4.76141e-05	4.06193e-05	5.78744e-05	0.000223572	0.00165888	0.00131096	0.00530426	0.00133737	0.00844433	0.971071	0.010503
r	8.52834e-06	6.87275e-05	0.000139328	0.000340818	0.0008414	0.00420821	0.0096103	0.00525255	0.0243245	0.88404	0.0711652
a	0.000188129	0.00132331	0.00267214	0.00360859	0.00678628	0.0331638	0.0990121	0.0719952	0.180619	0.283841	0.31679
s	0.000682079	0.000191917	0.00240148	0.00227483	0.000671285	0.0232392	0.0214072	0.0419634	0.161631	0.0614818	0.684056
ó	0.00152674	0.000202957	0.00918651	0.0194463	0.00906481	0.046077	0.058952	0.0412845	0.182511	0.341057	0.290691
d	0.00488442	7.64846e-05	0.0015529	0.00264606	0.00184957	0.0120445	0.0100825	0.0105921	0.0425916	0.805949	0.107731
i	0.00291274	3.28249e-05	0.00345195	0.0112065	0.000523251	0.0341534	0.0377702	0.0924201	0.12008	0.289163	0.408286
b	5.99732e-05	7.41819e-06	0.000318068	0.000965712	0.000366281	0.00606216	0.00945086	0.00704331	0.0559039	0.828088	0.0917346
h	0.000133369	0.000155265	0.00122172	0.00241116	0.00470152	0.00951675	0.0162419	0.007489	0.0407566	0.821286	0.096087
a	0.000550333	0.00133072	0.00508565	0.00633952	0.00598156	0.0217064	0.0535004	0.046354	0.0656651	0.245849	0.547638
</S>	0.00162093	0.000434636	0.00637846	0.00612517	0.00365336	0.04328	0.0505124	0.0344702	0.0596999	0.0606776	0.733147
