 	ils	avaient	implanté	un	village	sur	la	grande	route	</S>
b	0.876958	0.0776413	0.00261711	0.0181361	0.000802111	0.0127952	0.00129054	0.00853031	0.000994982	0.000234265
á	0.959549	0.0170409	0.00780501	0.00373004	0.000125322	0.00391168	0.00166518	0.00589869	0.00012911	0.000144843
a	0.861811	0.0883283	0.0380876	0.00279928	0.000104694	0.00445198	0.00228857	0.00126795	0.000207006	0.000653386
á	0.163501	0.65274	0.141656	0.0176799	0.000372489	0.00961009	0.00181343	0.00310266	0.000904568	0.00861962
p	0.00581143	0.451498	0.421687	0.0800358	0.0115811	0.00913967	0.0076946	0.00414597	0.00457346	0.00383349
a	0.00118602	0.156662	0.505514	0.153703	0.106351	0.0240042	0.0159568	0.00443669	0.00547661	0.0267097
s	0.00162737	0.147708	0.593442	0.123939	0.104611	0.0158011	0.00567863	0.000902848	0.00116816	0.00512138
á	0.00628208	0.139203	0.381316	0.34771	0.0777373	0.0254703	0.00714888	0.00312236	0.00340898	0.00860092
p	0.150499	0.200487	0.054401	0.317461	0.179788	0.0431031	0.0115421	0.010525	0.0100934	0.0221007
o	0.00612377	0.00185215	0.00375594	0.0823838	0.842335	0.032248	0.0131189	0.00193309	0.00711265	0.00913694
o	0.00139724	0.00312834	0.00727879	0.0707555	0.840222	0.0502761	0.00778741	0.00321438	0.00581636	0.0101238
m	0.000684763	0.0117881	0.00486316	0.132719	0.0294853	0.580588	0.0922917	0.0961143	0.0178492	0.0336171
o	0.00140853	0.0125669	0.00425432	0.0206568	0.0121526	0.38913	0.173503	0.142236	0.00858997	0.235501
n	0.00125038	0.0173245	0.00200094	0.0106802	0.139092	0.380432	0.230122	0.07568	0.114436	0.0289825
g	0.00375392	0.0642297	0.00960404	0.0395535	0.0134437	0.306667	0.346447	0.141762	0.0233745	0.0511646
ó	0.00185912	0.0108082	0.00265118	0.105017	0.13954	0.174932	0.431122	0.0786367	0.039702	0.0157312
o	0.000519206	0.00214639	0.000736615	0.034704	0.193171	0.155239	0.295673	0.110923	0.109835	0.097053
y	0.000216782	0.000952706	0.000465958	0.00334993	0.00675695	0.336243	0.208825	0.254979	0.104663	0.0835472
a	0.00132879	0.0222551	0.0161201	0.0498749	0.0159752	0.173175	0.222904	0.191375	0.136022	0.17097
k	0.00143227	0.00470497	0.000680224	0.00586265	0.0110121	0.0484075	0.151748	0.159879	0.515844	0.100429
ó	0.000564352	0.000225661	0.000234283	0.0046503	0.0158058	0.0545765	0.167956	0.0271048	0.707135	0.0217475
ó	6.33055e-05	0.000559488	0.000489931	0.00299803	0.0541101	0.0653763	0.101221	0.0301768	0.605416	0.139589
</S>	0.000249055	0.00503843	0.00139162	0.00232513	0.00191504	0.0498458	0.116614	0.171203	0.247676	0.403742
