 	cet	homme	est	sorti	de	cette	maison	</S>
m	0.655179	0.328345	0.00602761	0.00108443	0.00437081	0.00397212	0.000515495	0.000505154
o	0.777699	0.179695	0.0120665	0.00202592	0.00459931	0.0177938	0.00114671	0.00497419
r	0.817051	0.17725	0.00242259	0.00124652	0.00135956	0.000311455	2.79098e-05	0.000331282
o	0.396634	0.190094	0.0257317	0.0227918	0.0445369	0.133815	0.123516	0.062881
w	0.771228	0.113943	0.096134	0.00145379	0.00208616	0.00184961	0.000253297	0.0130524
ó	0.252756	0.0576746	0.412765	0.0545732	0.102678	0.0259086	0.00592079	0.0877248
á	0.0865005	0.0392304	0.542542	0.0299035	0.0387145	0.0151257	0.00672174	0.241262
p	0.00197193	0.00389556	0.431381	0.457259	0.0675705	0.00575319	0.00503077	0.0271371
f	0.00138738	0.0140532	0.24076	0.696875	0.036427	0.00251392	0.0011501	0.00683306
o	0.00278152	0.005442	0.120129	0.839711	0.0281057	0.00157046	0.000446501	0.00181375
o	0.00796955	0.0141378	0.133893	0.658114	0.140873	0.0203223	0.00735211	0.0173384
n	0.00372186	0.00217266	0.135314	0.18252	0.541875	0.106805	0.0162313	0.0113597
i	0.0140707	0.0041318	0.0667201	0.312372	0.228346	0.116165	0.220766	0.0374297
s	0.00520663	0.000599597	0.110954	0.0475766	0.39419	0.342713	0.0588707	0.039889
á	0.00215987	0.000872211	0.0273381	0.158799	0.334453	0.192702	0.0570604	0.226616
n	0.00200936	0.000380313	0.00204684	0.00885928	0.0536586	0.203955	0.717232	0.0118583
d	0.000120713	3.24355e-05	0.000167398	0.00155556	0.0201422	0.111766	0.857377	0.00883927
é	0.000312688	4.81736e-05	0.000145818	0.000575242	0.00366754	0.0176596	0.972549	0.00504187
e	0.000606274	0.000297182	0.00418603	0.0490646	0.1928	0.172089	0.31231	0.268647
y	0.00306119	0.00153076	0.0207927	0.0169949	0.25021	0.23808	0.0319526	0.437379
é	0.0223214	0.00460716	0.031229	0.0193745	0.220379	0.433135	0.0347648	0.234189
</S>	0.00457407	0.0010337	0.0223302	0.0290471	0.160432	0.330275	0.0658868	0.386422
