 	sa	marchandise	est	restée	sans	surveillance	au	marché	</S>
w	0.91647	0.0249535	0.0165731	0.0234614	0.0150094	0.00081189	0.00243022	0.000236337	5.4481e-05
á	0.852016	0.0674207	0.0249583	0.0373612	0.0129618	0.00074961	0.00399693	0.000514869	2.07011e-05
m	0.524321	0.316347	0.0226632	0.00737212	0.0242673	0.0265102	0.0167833	0.0193199	0.0424161
y	0.122035	0.663834	0.10419	0.00184184	0.00531559	0.0894037	0.00167652	0.00046564	0.0112371
e	0.0256011	0.958199	0.00673012	0.00078114	0.00140788	0.00632595	0.000247701	9.29021e-05	0.000614233
r	0.185533	0.756221	0.0357114	0.00181673	0.00455793	0.0110825	0.0012997	0.00135286	0.00242513
é	0.297452	0.66476	0.0159832	0.000780268	0.00159547	0.00616717	0.000603238	0.00256627	0.0100926
m	0.266431	0.0931365	0.498682	0.0588464	0.0241138	0.0138582	0.0184292	0.00395017	0.0225522
ó	0.190985	0.223581	0.438372	0.0254722	0.0520197	0.030894	0.015044	0.00163563	0.0219963
m	0.468057	0.0828062	0.247887	0.106047	0.0355	0.0247798	0.00972993	0.00430639	0.0208869
b	0.131394	0.131422	0.580469	0.0316146	0.012783	0.104587	0.00206613	0.000667312	0.00499746
ó	0.0158477	0.229361	0.495369	0.205256	0.0336616	0.013365	0.00220108	0.00107971	0.00385866
n	0.0423239	0.390837	0.354599	0.17936	0.00896027	0.0105789	0.00288396	0.00210738	0.00834907
g	0.120856	0.603892	0.202123	0.0356091	0.0195607	0.00416015	0.00130191	0.0031492	0.00934863
o	0.310054	0.358726	0.157018	0.121528	0.0455783	0.00271066	0.000562533	0.00131574	0.00250665
í	0.0734385	0.0159772	0.516907	0.148899	0.157649	0.0481561	0.0265954	0.00369967	0.00867848
b	0.0146372	0.00742257	0.141365	0.466814	0.225255	0.0689758	0.0444946	0.0139201	0.0171171
v	0.0035509	0.00112788	0.0690761	0.569139	0.220012	0.019851	0.068986	0.0222002	0.0260572
u	0.00306397	0.000906738	0.029028	0.714233	0.198009	0.00513372	0.0322616	0.00395452	0.0134099
u	0.0240362	0.00487639	0.0497966	0.241714	0.448965	0.0523221	0.0543659	0.0513446	0.0725788
m	0.00313874	0.000582235	0.0253877	0.0369076	0.544332	0.244795	0.106659	0.0168055	0.0213927
í	0.00422212	0.00782382	0.0291297	0.00177975	0.101079	0.641475	0.115218	0.0114587	0.0878147
a	0.00160498	0.00128689	0.0116044	0.0132049	0.257937	0.533476	0.091845	0.0639386	0.0251025
m	0.000886186	0.000376257	0.00549437	0.00832878	0.118059	0.533608	0.233217	0.0630979	0.0369329
έ	0.00114515	0.00287159	0.0088227	0.000644085	0.0171298	0.735574	0.14064	0.0201013	0.0730717
n	0.000237415	0.00111851	0.0107266	0.00637551	0.0501577	0.472689	0.313788	0.081359	0.0635475
έ	0.00107818	0.00120885	0.0042916	0.00129323	0.175379	0.346522	0.147774	0.146193	0.17626
s	0.000509881	0.000157124	0.00237646	0.000623481	0.0792844	0.389848	0.265298	0.141738	0.120165
á	0.00391147	0.00203154	0.0140881	0.00207058	0.214543	0.218574	0.141437	0.237462	0.165882
d	0.0075385	0.00360269	0.00644103	0.00922085	0.0853957	0.0479811	0.129338	0.68306	0.0274216
z	0.00184627	0.010208	0.00241292	0.000632572	0.0194595	0.142858	0.068572	0.64173	0.112281
á	0.0139008	0.0246112	0.0100446	0.00162884	0.0634797	0.225246	0.0601254	0.538942	0.0620219
n	0.00265568	0.001096	0.00314924	0.00171671	0.0335063	0.0517508	0.137557	0.559257	0.209311
d	0.000654873	0.00169847	0.0030565	0.00479723	0.0354864	0.0403254	0.10496	0.401991	0.40703
e	0.000129028	0.00317685	0.00126364	0.000258422	0.0111261	0.0631508	0.030204	0.28214	0.608551
</S>	0.000297071	0.000500418	0.0037457	0.00106612	0.0543232	0.065388	0.136564	0.257976	0.48014
