 	avant	de	cuire	la	viande	il	faut	la	découper	</S>
o	0.721623	0.226491	0.00631822	0.019396	0.0110657	0.0036653	0.00910802	0.00179347	0.000448609	9.11625e-05
b	0.932012	0.0573969	0.00253721	0.000722809	0.000423354	0.000442991	0.000677268	0.000662511	0.000908575	0.00421598
o	0.982794	0.00852498	0.000945325	0.00227583	0.000191764	0.0005406	0.000913495	0.00133198	0.00144506	0.00103727
s	0.992755	0.00307827	0.000559986	0.000434148	0.000160826	0.000105906	0.000391287	0.000854332	0.000497588	0.00116253
ó	0.870689	0.0442299	0.00989723	0.0104848	0.00538581	0.00339851	0.00671962	0.0167652	0.00919198	0.0232377
m	0.148177	0.6676	0.115976	0.0189637	0.00313441	0.0102619	0.00549474	0.00562601	0.00225655	0.0225097
í	0.0532504	0.170925	0.388643	0.143179	0.0663635	0.0482641	0.0202646	0.0259061	0.00442793	0.078777
l	0.00877593	0.293732	0.417909	0.159847	0.048189	0.0175008	0.0127444	0.00850196	0.00526357	0.0275361
á	0.00409338	0.0733249	0.190238	0.151977	0.0977281	0.0448608	0.0211542	0.0369341	0.00628424	0.373405
m	0.00154527	0.0970084	0.242319	0.258784	0.212978	0.0671296	0.0263167	0.0150618	0.00279644	0.07606
b	0.00303625	0.0517969	0.085838	0.351891	0.457776	0.0228733	0.00654325	0.0112791	0.000204367	0.00876145
a	0.00545671	0.121797	0.14172	0.50849	0.185268	0.00809577	0.00551575	0.00829705	0.000545071	0.0148142
l	0.0101114	0.109663	0.16097	0.604724	0.0702767	0.0100833	0.00706543	0.0132501	0.000915939	0.0129397
á	0.00695121	0.0506442	0.269165	0.32462	0.209986	0.033325	0.0235781	0.00909066	0.00344324	0.069196
n	0.000380244	0.0249447	0.0892523	0.199589	0.386489	0.205417	0.0474954	0.0299217	0.00402177	0.0124891
y	7.24902e-05	0.00867947	0.0151754	0.0638267	0.806351	0.055181	0.0203718	0.00413871	0.00105379	0.0251494
a	0.000115618	0.00283585	0.0169659	0.0423251	0.817936	0.0309661	0.048183	0.0185832	0.00735613	0.0147331
m	0.000527227	0.0300973	0.0770712	0.256475	0.153559	0.0953036	0.232718	0.067785	0.0439304	0.0425339
a	0.00139635	0.0144752	0.0290407	0.168858	0.458067	0.101239	0.0581234	0.111691	0.00809867	0.049011
k	0.000140771	0.00642511	0.0288406	0.0370104	0.0427648	0.288205	0.25491	0.239282	0.0425349	0.0598862
á	0.000995327	0.00226402	0.0416892	0.0162167	0.00180562	0.0954694	0.524752	0.0436992	0.255169	0.0179391
a	0.000723756	0.00364932	0.028221	0.0327564	0.00497777	0.0964671	0.261389	0.121447	0.294836	0.155534
l	4.69753e-05	0.00190469	0.00688478	0.00850738	0.00953608	0.170248	0.18549	0.390948	0.131619	0.094815
ó	0.000374257	0.00852226	0.020922	0.0285996	0.0177298	0.0600371	0.127916	0.29399	0.182957	0.258952
o	0.000182076	0.0029442	0.00592982	0.0155655	0.019114	0.0753627	0.0816563	0.232308	0.263684	0.303254
k	0.00425743	0.00367515	0.0046584	0.0108613	0.0006353	0.00262496	0.0225729	0.365075	0.446517	0.139123
y	0.00290086	0.00103755	0.00720897	0.00270182	5.47366e-05	0.000844003	0.0228664	0.0637766	0.819931	0.0786777
é	0.00585344	0.00123488	0.00957724	0.00926244	0.000720683	0.00899668	0.0646247	0.0943172	0.70181	0.103603
n	0.000218004	0.000758973	0.0041024	0.00277569	0.000949857	0.0150948	0.0626822	0.136844	0.539269	0.237304
á	0.000301381	0.00262269	0.0102446	0.00764407	0.00470772	0.0304274	0.117326	0.0958911	0.607677	0.123158
á	0.000731277	0.00266413	0.00811546	0.00920166	0.0145666	0.0405206	0.0614653	0.113879	0.314045	0.434811
w	0.0018593	0.00697299	0.00584472	0.0203797	0.0312381	0.030283	0.0432154	0.229805	0.144545	0.485857
a	0.00075269	0.00200594	0.0121557	0.0232924	0.011925	0.109035	0.129173	0.242981	0.252686	0.215993
</S>	7.63454e-05	0.000396128	0.00219734	0.00258525	0.00228092	0.0167657	0.0220619	0.0729881	0.230922	0.649726
