 	ce	vieillard	est	devenu	courbé	</S>
e	0.272085	0.680877	0.0418229	0.00427842	0.000778664	0.000158211
d	0.0565929	0.908262	0.00929176	0.00888925	0.0167518	0.000212529
u	0.171851	0.805998	0.00332139	0.00289845	0.0145797	0.00135146
n	0.243731	0.692216	0.0185685	0.0022037	0.0354883	0.00779232
ú	0.426169	0.546927	0.00574316	0.00188412	0.00386681	0.0154093
i	0.493591	0.0991558	0.360893	0.0271712	0.0017505	0.0174383
b	0.366024	0.116888	0.199875	0.152232	0.0618974	0.103084
á	0.0458204	0.0834563	0.338633	0.44828	0.00850894	0.0753011
a	0.0460015	0.0622478	0.320806	0.388886	0.0245097	0.157549
y	0.0294131	0.0169935	0.479896	0.440253	0.014187	0.0192583
é	0.116651	0.0833836	0.255905	0.416165	0.0562637	0.0716319
a	0.170221	0.0307105	0.244607	0.230406	0.145518	0.178538
b	0.0106147	0.011627	0.197038	0.529731	0.157344	0.0936445
h	0.00479868	0.00799136	0.138193	0.715372	0.0319002	0.101745
i	0.0149623	0.0145822	0.224202	0.343029	0.0614674	0.341758
á	0.0244698	0.0151099	0.136835	0.228998	0.322075	0.272513
k	0.00858601	0.00600199	0.0882067	0.534996	0.167499	0.19471
u	0.00107949	0.00114635	0.0202126	0.210704	0.66174	0.105118
r	0.0027135	0.000595725	0.00251537	0.007675	0.963485	0.0230153
a	0.00424324	0.00192174	0.00267523	0.00752927	0.968234	0.0153965
</S>	0.0236908	0.00541356	0.104956	0.0816604	0.158914	0.625365
