 	l'	enfant	est	en	train	d'	ouvrir	la	marmite	</S>
m	0.641969	0.33272	0.00844435	0.00435642	0.00791938	0.00204626	0.00110036	0.00115173	0.000161096	0.00013228
w	0.0671216	0.565433	0.216903	0.075293	0.00150207	0.0185672	0.0273493	0.00647334	0.000156573	0.0212011
á	0.00387819	0.993761	0.000604613	0.000361146	4.57114e-05	3.0946e-05	0.000164991	6.4821e-05	0.00105774	3.02922e-05
n	0.332111	0.662314	0.00238986	0.00126634	0.00019809	0.000299458	0.000362109	0.00034473	0.000235083	0.000478597
a	0.118872	0.53175	0.230257	0.0487911	0.00275595	0.0127367	0.00799632	0.00600714	0.00142162	0.0394116
b	0.650095	0.087168	0.125106	0.0703193	0.0381915	0.0095565	0.00312367	0.00958719	0.000870608	0.00598258
o	0.0207494	0.00834844	0.13008	0.243388	0.328703	0.133378	0.0191139	0.0560564	0.0042666	0.0559161
l	0.0393255	0.031004	0.228185	0.323323	0.297495	0.051688	0.0181323	0.00515353	0.0008147	0.0048786
á	0.264785	0.0223896	0.112647	0.0713016	0.0216345	0.154568	0.0443275	0.0656174	0.0246996	0.21803
a	0.168114	0.0149958	0.224427	0.143662	0.0359954	0.237185	0.0811296	0.0476059	0.0106459	0.0362388
d	0.0322731	0.00305133	0.28432	0.0626014	0.00351907	0.357047	0.186708	0.0145505	0.0143412	0.0415889
i	0.00659352	0.000157343	0.231493	0.0330724	0.000637653	0.191003	0.483428	0.0146445	0.00744662	0.031524
b	0.014499	0.000166878	0.0807279	0.021283	0.000666065	0.222065	0.586043	0.0351237	0.00964438	0.029781
h	0.0138582	0.00086296	0.11813	0.0622298	0.00527097	0.209551	0.393495	0.0286258	0.00700165	0.160974
í	0.00365986	0.000693687	0.0191172	0.0949839	0.0278281	0.0721976	0.349882	0.118844	0.0773497	0.235444
l	0.00408707	0.000157172	0.0182673	0.0306136	0.00192541	0.271595	0.289261	0.228058	0.0420879	0.113947
á	0.00210386	8.42795e-05	0.0196213	0.0145434	0.000177204	0.169003	0.205944	0.166168	0.0536177	0.368737
n	0.0146706	0.0010004	0.00664766	0.0084627	0.00161056	0.042069	0.0467251	0.199914	0.606529	0.0723711
d	0.00180374	0.000342317	0.00136408	0.00155437	6.33459e-05	0.00263713	0.00399419	0.0656721	0.88923	0.0333381
z	0.000125824	8.70554e-05	0.000198524	0.000262805	2.42152e-05	0.000542037	0.00108062	0.00970758	0.976471	0.0115001
ú	1.01594e-05	3.77685e-05	0.000122246	5.43467e-05	5.54795e-06	0.000136999	0.00317364	0.0148189	0.970982	0.0106584
n	0.000485307	0.000328456	0.000923453	0.00113178	0.000237012	0.00453473	0.0392281	0.0486578	0.759688	0.144786
g	0.000960701	0.000338317	0.0106385	0.00624732	9.38118e-05	0.0207722	0.16036	0.226873	0.316212	0.257504
u	0.000452279	0.000362049	0.00611412	0.0141185	0.000138761	0.0124672	0.0802477	0.264389	0.472128	0.149582
</S>	0.000952087	8.14389e-06	0.0037275	0.00241852	4.28848e-05	0.0146063	0.0206393	0.0690874	0.0133715	0.875146
