 	j'	irai	acheter	des	hameçons	au	marché	</S>
n	0.878974	0.0790313	0.0140783	0.0214199	0.000433938	0.00508233	0.000764667	0.000215568
g	0.991329	0.00763203	0.000638099	0.000295273	2.89819e-06	4.7023e-05	3.31272e-05	2.28626e-05
á	0.86258	0.113942	0.0176877	0.00287209	0.00077814	0.000778093	0.00120798	0.000153984
l	0.206229	0.507522	0.0705544	0.0711043	0.00576753	0.022489	0.0203493	0.0959843
í	0.572748	0.219008	0.0126688	0.0558704	0.0122252	0.0275791	0.0212848	0.0786159
i	0.106862	0.222584	0.101797	0.084697	0.0256708	0.0852195	0.159558	0.213611
d	0.00587347	0.853339	0.111161	0.0100834	0.0124699	0.00260156	0.00143332	0.00303884
z	0.000304772	0.67166	0.324	0.000556891	0.00311118	4.62076e-05	0.000226261	9.47183e-05
w	0.0459339	0.853887	0.0883537	0.00525496	0.000911018	0.000526509	0.00426139	0.000871359
á	0.0497136	0.3199	0.174843	0.215558	0.00302872	0.0426742	0.0306353	0.163646
o	0.0126723	0.0923215	0.401774	0.280507	0.0328887	0.0940168	0.0389063	0.0469126
s	0.00600534	0.050464	0.378043	0.0953702	0.447047	0.00538849	0.0115157	0.00616664
ó	0.00118801	0.0313656	0.881646	0.0041958	0.0748897	0.00151466	0.00291883	0.00228106
m	0.00147627	0.0614207	0.666587	0.0339877	0.151342	0.0186224	0.0158639	0.0506999
b	0.00567232	0.207642	0.259161	0.249323	0.104871	0.105792	0.0229591	0.0445783
á	0.102988	0.070114	0.0344981	0.068033	0.334035	0.0779467	0.0520214	0.260363
a	0.0265813	0.0111266	0.0135958	0.442823	0.165864	0.294073	0.0111493	0.0347878
l	0.0191623	0.0269872	0.0235004	0.150624	0.22132	0.445613	0.081831	0.0309617
ώ	0.00688296	0.0296284	0.0332567	0.0637692	0.218645	0.349413	0.0866182	0.211787
b	0.000445149	0.00336496	0.00403046	0.0527739	0.204176	0.603476	0.0485822	0.0831518
h	0.000715424	0.00200937	0.00197515	0.0308882	0.424336	0.386991	0.0789974	0.0740872
ω	5.09691e-05	0.00156808	0.00288169	0.0371446	0.261203	0.394637	0.107311	0.195204
ó	6.56657e-05	0.000441116	0.000223937	0.0324139	0.0556361	0.714779	0.0333902	0.16305
d	0.000871421	0.013034	0.0112179	0.0216611	0.02315	0.266744	0.579667	0.0836555
z	0.000946811	0.00369456	0.00655662	0.00180506	0.00488263	0.0261025	0.817533	0.138479
á	0.000632789	0.0233205	0.0153735	0.005624	0.00160711	0.0911795	0.830785	0.0314775
n	0.000232315	0.000391874	0.000620639	0.00372799	0.00384002	0.13096	0.637505	0.222722
d	0.000225931	0.000957583	0.0018145	0.0036916	0.0058056	0.048762	0.733208	0.205535
e	0.00115911	0.00213742	0.00492485	0.00405535	0.00283396	0.026978	0.582918	0.374993
</S>	4.20999e-05	0.000757529	0.000768762	0.0050071	0.0140496	0.104774	0.275791	0.59881
