 	qui	est	ce	qui	a	déshabillé	le	voleur	</S>
o	0.308785	0.3101	0.146671	0.153328	0.0470218	0.00952064	0.00840049	0.00194667	0.0142274
l	0.010026	0.0838748	0.0238433	0.0628774	0.0568161	0.626355	0.0561967	0.0590789	0.0209322
a	0.00599841	0.0486385	0.0357154	0.0793391	0.0413358	0.554254	0.0634938	0.0214341	0.14979
a	0.00333189	0.0877145	0.084128	0.145085	0.0871079	0.461544	0.0631069	0.0242047	0.0437774
l	0.167643	0.093569	0.177675	0.216449	0.175477	0.0434141	0.0601145	0.0100908	0.0555685
i	0.164696	0.0725554	0.126272	0.127784	0.0739495	0.121856	0.0900477	0.0287907	0.194049
m	0.0766105	0.0471549	0.212171	0.241915	0.14109	0.0891096	0.0896522	0.0301998	0.0720966
ú	0.0766121	0.0126904	0.0413578	0.0568476	0.0391336	0.0797033	0.0520189	0.631075	0.0105616
u	0.0471184	0.0206113	0.0774172	0.0804677	0.0815046	0.237002	0.265272	0.160671	0.0299351
i	0.0149166	0.00703168	0.0406533	0.0815755	0.115366	0.327869	0.311187	0.0273858	0.0740145
k	0.00651257	0.0067217	0.0166655	0.0469533	0.110809	0.382039	0.279181	0.0770449	0.0740729
á	0.0086233	0.0115619	0.0280446	0.0987227	0.124866	0.485841	0.119847	0.0422741	0.0802192
n	0.0061755	0.00713746	0.0302265	0.0506578	0.113954	0.192618	0.0474298	0.247023	0.304778
d	0.0170884	0.00954433	0.0434761	0.129336	0.164847	0.35475	0.178431	0.0242435	0.0782836
á	0.010645	0.0111349	0.0652994	0.131129	0.190214	0.178964	0.127533	0.0364971	0.248583
á	0.0108802	0.00830331	0.04878	0.097521	0.212319	0.103573	0.303699	0.00835781	0.206567
d	0.00654409	0.0130067	0.0173414	0.0228116	0.0771639	0.214528	0.259422	0.0549523	0.334231
z	0.00395073	0.00217995	0.004814	0.00346322	0.0217086	0.100295	0.105469	0.0286179	0.729502
e	0.0200592	0.00341413	0.0255114	0.0377364	0.0543876	0.147172	0.368528	0.233458	0.109733
n	0.0141977	0.00575012	0.0841607	0.0803282	0.0674675	0.0721072	0.390982	0.0320786	0.252928
d	0.00611353	0.00360193	0.0169996	0.0313693	0.0684685	0.102598	0.270394	0.112498	0.387957
a	0.00505661	0.00347855	0.0106319	0.0254266	0.0537616	0.0630568	0.142091	0.0355924	0.660904
</S>	0.000906677	0.00178131	0.00909859	0.0152516	0.0416702	0.0478831	0.192419	0.00566101	0.685329
