 	votre	mère	l'	a	injurié	</S>
n	0.922936	0.0498625	0.0124992	0.0141781	0.000421305	0.0001033
g	0.843295	0.155362	0.000808486	0.000529626	2.42359e-06	1.8767e-06
ó	0.405839	0.591364	0.00179611	0.000925349	3.96127e-05	3.62183e-05
o	0.104114	0.621649	0.161736	0.0992982	0.00339395	0.00980858
y	0.0679693	0.0429384	0.312905	0.15073	0.198895	0.226561
a	0.58029	0.152733	0.124541	0.0331033	0.0364318	0.0729007
b	0.896753	0.0112	0.0582275	0.0169902	0.00390287	0.012926
í	0.924396	0.0402818	0.0141964	0.0179259	0.00109191	0.00210823
n	0.846157	0.0306492	0.0318388	0.0784148	0.00732749	0.00561252
í	0.574221	0.0376982	0.131544	0.111892	0.00396515	0.140679
á	0.00511776	0.0106003	0.510371	0.368219	0.0286892	0.0770024
k	0.00180966	0.00193231	0.100065	0.185943	0.321596	0.388654
w	0.00208578	0.00301091	0.0912182	0.217073	0.327914	0.358699
ε	0.00376774	0.000354951	0.0550296	0.149691	0.452112	0.339045
r	0.00361084	0.00382044	0.317477	0.340214	0.0987848	0.236093
i	0.0305469	0.00292667	0.300487	0.412645	0.0239247	0.22947
w	0.00916433	0.0058735	0.325406	0.327899	0.0656894	0.265968
a	0.0229289	0.00313475	0.30173	0.421768	0.122264	0.128174
e	0.0260766	0.0043489	0.233748	0.282505	0.031611	0.42171
t	0.0128189	0.00241493	0.109204	0.100062	0.216931	0.558569
ú	0.000644767	0.00026911	0.0453427	0.0436939	0.582566	0.327484
u	0.000630088	5.62689e-05	0.0530251	0.0983246	0.171644	0.67632
</S>	0.000667464	0.000106441	0.0821778	0.108788	0.0142221	0.794038
