 	si	tu	avoues	je	ne	te	ferai	rien	</S>
w	0.955179	0.0119864	0.00406715	0.00237909	0.00894786	0.0126976	0.00398195	0.000287386	0.000473626
á	0.926718	0.0310299	0.0110151	0.0113347	0.00237129	0.0156455	0.00169133	0.000114462	7.95347e-05
á	0.245498	0.270465	0.040802	0.0554866	0.0593603	0.117562	0.0527362	0.00860174	0.149488
n	0.205111	0.439898	0.0931058	0.0335643	0.0234608	0.0271958	0.0130729	0.00629428	0.158297
ω	0.229946	0.507511	0.0044862	0.148188	0.00539368	0.0426391	0.00233955	0.0243405	0.0351563
o	0.0444809	0.738622	0.062088	0.0354017	0.0121952	0.0165301	0.00444585	0.00496736	0.0812684
b	0.0103563	0.148089	0.749803	0.0230145	0.0319041	0.00371713	0.00975775	0.00252568	0.020833
é	0.0026616	0.00903784	0.946454	0.00556085	0.0233893	0.00286165	0.00417859	0.000227792	0.00562856
n	0.00903181	0.127437	0.758938	0.023722	0.0406722	0.0117246	0.00742694	0.000149465	0.0208979
y	0.128787	0.187062	0.574168	0.0408926	0.0182848	0.0202756	0.00856299	0.000400641	0.0215668
í	0.0220355	0.0639974	0.401497	0.0559112	0.0485546	0.0936919	0.0756536	0.00557085	0.233088
í	0.0395413	0.254435	0.226581	0.275066	0.0902722	0.0460303	0.0283718	0.000592154	0.0391095
d	0.00833091	0.0724647	0.0689243	0.440102	0.280267	0.0331639	0.0441965	0.00849603	0.0440547
í	0.00281251	0.018657	0.0233258	0.286144	0.131766	0.0149236	0.0279461	0.0192999	0.475125
ω	0.00172985	0.0216528	0.0201439	0.187088	0.416782	0.0316942	0.1425	0.0185058	0.159903
k	0.000175	0.00239298	0.0203417	0.081881	0.601981	0.0474151	0.185478	0.0371986	0.0231367
y	0.000325523	0.000668749	0.0780471	0.0106036	0.537508	0.0262446	0.281449	0.00331359	0.0618398
á	0.000876633	0.00202846	0.151836	0.0324702	0.437731	0.0630948	0.240106	0.0149856	0.0568717
n	0.00104618	0.00642554	0.0216912	0.0496468	0.334931	0.113463	0.29395	0.00131233	0.177534
ω	0.00709161	0.0118463	0.0137274	0.219991	0.100256	0.436406	0.0753821	0.0197612	0.115539
e	0.000770263	0.00588504	0.00227372	0.146021	0.151675	0.351024	0.187569	0.0273063	0.127475
y	0.00188837	0.00284316	0.00729261	0.0195667	0.148949	0.154983	0.49352	0.0461657	0.124792
e	0.00071498	0.0101192	0.0075488	0.0313748	0.037404	0.0580021	0.364345	0.298833	0.191658
a	9.41939e-05	0.000753041	0.000911948	0.0116858	0.028334	0.079175	0.229146	0.192007	0.457893
k	0.000108155	0.00193512	0.0020363	0.00773537	0.0296389	0.101899	0.24808	0.112877	0.495689
a	0.000465265	0.000691836	0.0147489	0.00303393	0.0820211	0.0600589	0.616532	0.0123529	0.210095
á	0.000531003	0.000686263	0.0101404	0.00933382	0.069941	0.120364	0.286317	0.0151053	0.487581
</S>	0.00074966	0.00994063	0.00187685	0.0348157	0.0196207	0.091115	0.0563197	0.110007	0.675555
