 	la	manière	dont	il	continue	cette	affaire	exprime	le	mépris	</S>
e	0.278923	0.609114	0.0529924	0.0364641	0.00936097	0.00216273	0.00518258	0.00152407	0.00256238	0.000400933	0.00131252
l	0.0023639	0.00293435	0.00633228	0.00231087	0.932384	0.0157243	0.00830833	0.0127045	0.0157066	0.000986758	0.000243874
o	0.00335279	0.0047734	0.00948311	0.00217899	0.909749	0.0212419	0.0127164	0.0166442	0.00864636	0.00857034	0.00264348
n	0.000379313	0.00215617	0.00741408	0.00246741	0.946939	0.0196318	0.010619	0.00599166	0.00295665	0.000288102	0.00115685
d	0.0302201	0.151994	0.0170242	0.00730374	0.698051	0.0361858	0.0209731	0.0164909	0.0060845	0.00131702	0.014356
í	0.101885	0.139096	0.0265411	0.00922613	0.491492	0.0587472	0.0298718	0.0234121	0.0139884	0.00304138	0.102699
s	0.039391	0.213524	0.197815	0.100131	0.0434791	0.131861	0.0879716	0.0415066	0.0308849	0.0348276	0.0786077
í	0.0959845	0.0901395	0.0755692	0.0383221	0.157707	0.0916165	0.0439484	0.0872447	0.052054	0.0623763	0.205038
l	0.347941	0.269916	0.177738	0.0678247	0.0317781	0.0280658	0.0137182	0.0142062	0.0127528	0.00555807	0.0305007
í	0.337508	0.0998757	0.0473848	0.0683557	0.0357884	0.0233529	0.0149684	0.0364423	0.0260545	0.0212487	0.28902
y	0.0352356	0.194035	0.544224	0.0982986	0.0258079	0.0184974	0.0101708	0.017233	0.0171271	0.00754838	0.0318216
é	0.0986324	0.0869676	0.383555	0.0435131	0.14484	0.0521978	0.00559937	0.0508074	0.0147602	0.0486146	0.0705125
é	0.224968	0.0804031	0.416598	0.061784	0.0571409	0.0427753	0.00611833	0.0241309	0.00757296	0.0332787	0.0452291
l	0.0123043	0.0038144	0.00649584	0.0299976	0.830716	0.0334252	0.0153855	0.0199424	0.0165788	0.00210214	0.029238
ω	0.00722237	0.00162223	0.00259119	0.0159104	0.885867	0.0241492	0.00964838	0.0205379	0.0127208	0.00296591	0.0167645
n	0.00660101	0.00356093	0.0653145	0.0285947	0.640705	0.114697	0.0254176	0.0420285	0.0301034	0.00260632	0.0403702
d	0.0083279	0.00642571	0.0143066	0.039156	0.702224	0.0923114	0.0290058	0.0482203	0.0321016	0.00180336	0.0261174
ώ	0.0266751	0.0170686	0.0381734	0.083177	0.623189	0.0734044	0.0229872	0.0358004	0.0316111	0.00350864	0.0444049
s	0.0330766	0.0115331	0.0477393	0.261485	0.0311688	0.450069	0.0708925	0.0461473	0.0257717	0.0120984	0.010018
ώ	0.118787	0.0207094	0.0598308	0.0769788	0.257881	0.304155	0.0395579	0.0275141	0.0109577	0.0544793	0.0291482
w	0.0423829	0.00849773	0.0140988	0.382713	0.0114034	0.357798	0.0762464	0.0434381	0.00953352	0.0459977	0.00789035
a	0.0181254	0.0108567	0.0116136	0.672174	0.0122662	0.103794	0.0687676	0.0270687	0.0180223	0.0378482	0.0194633
i	0.00304288	0.00146978	0.00680003	0.199071	0.00883125	0.490533	0.156143	0.0687909	0.0264268	0.0146093	0.0242827
b	0.00747972	0.00503916	0.00348613	0.0148191	0.0613266	0.157025	0.378491	0.160623	0.0624133	0.00602998	0.143267
h	0.00107992	0.000690993	0.000341408	0.0111501	0.0102396	0.125617	0.611047	0.0824959	0.0882986	0.0262978	0.042741
ώ	0.000608379	0.000511833	0.000577113	0.00719458	0.0698618	0.144498	0.58473	0.0630476	0.0917224	0.00598285	0.0312652
ω	0.00060342	0.00172656	0.0111654	0.0193117	0.0198845	0.27947	0.354012	0.177564	0.0877639	0.0169373	0.0315609
d	0.00101848	0.00134192	0.00289501	0.00610798	0.00969261	0.131135	0.234971	0.343019	0.197157	0.0125452	0.0601174
í	0.00499462	0.00365938	0.00288808	0.00233578	0.0208706	0.149225	0.17291	0.233972	0.171172	0.0267331	0.211239
i	0.00408792	0.00949269	0.0107809	0.0203525	0.00109307	0.0849514	0.0799193	0.26896	0.306366	0.0892165	0.124779
y	0.000700829	0.000879528	0.000667706	0.0028134	0.0112546	0.0386468	0.0805224	0.193472	0.324054	0.0376819	0.309307
é	0.00175089	0.00474218	0.00689742	0.00366008	0.00563559	0.0675893	0.0125897	0.183938	0.357128	0.125593	0.230475
e	0.00139644	0.000926025	0.00225439	0.00169341	0.00103494	0.0341806	0.021642	0.118405	0.26003	0.113196	0.445241
s	0.000221815	0.000309893	0.00121324	0.000673521	0.00053989	0.0144934	0.0205106	0.16775	0.534884	0.0532961	0.206107
ε	0.000939667	0.000473735	0.000841191	0.000377335	0.00317198	0.0143218	0.0130966	0.0719076	0.16932	0.0900907	0.63546
r	0.000439585	0.000126229	0.000598611	0.00031471	0.000189252	0.0183341	0.00768776	0.11794	0.262977	0.139402	0.451991
