 	il	est	mort	son	âme	est	partie	</S>
w	0.833561	0.134795	0.019334	0.00968004	0.000215783	0.00190544	0.000103685	0.000404632
a	0.713226	0.16675	0.0226336	0.0851414	6.56932e-05	0.0105199	0.0015527	0.000110963
á	0.144491	0.411408	0.216771	0.189819	0.00157083	0.0313563	0.00352913	0.00105473
m	0.05732	0.46399	0.27716	0.0721496	0.081107	0.0229983	0.00889982	0.0163758
i	0.0192979	0.23694	0.535491	0.128008	0.0182422	0.0148255	0.0053792	0.0418174
s	0.0159488	0.0655562	0.239763	0.0633329	0.593846	0.00619209	0.00402719	0.0113339
í	0.000550411	0.0124668	0.0563555	0.00630611	0.916079	0.000505055	0.00519042	0.00254675
á	0.00931023	0.0773634	0.397514	0.190011	0.198471	0.0121773	0.00871479	0.106438
o	0.0463074	0.0614649	0.206959	0.56415	0.0243989	0.0824159	0.00850447	0.00579911
w	0.00198552	0.00643675	0.023444	0.054957	0.876052	0.0139674	0.0205322	0.00262473
á	0.00160432	0.0219492	0.0913385	0.0457023	0.737105	0.00639325	0.03981	0.0560972
a	0.00112537	0.0260597	0.146359	0.0810776	0.310715	0.0209217	0.0980101	0.315731
o	0.00622943	0.0140605	0.0625578	0.167042	0.0508186	0.608504	0.0317762	0.0590111
l	0.000481642	0.002573	0.0074933	0.00872923	0.228257	0.24898	0.467638	0.0358481
í	0.00117558	0.00431902	0.0100015	0.0124071	0.399861	0.0655509	0.445713	0.0609713
m	0.000878457	0.00608112	0.0302909	0.127373	0.146622	0.22504	0.225982	0.237733
i	0.00437495	0.00471581	0.0161179	0.0293515	0.00507906	0.22234	0.470961	0.24706
m	0.0025096	0.00293501	0.0112048	0.0397818	0.00384355	0.343383	0.149641	0.446702
á	0.0131371	0.0224242	0.0523756	0.0379143	0.00270698	0.372172	0.294657	0.204613
w	0.00769525	0.0109328	0.0276894	0.0738987	0.00523185	0.424884	0.350471	0.0991963
a	0.0112485	0.0200591	0.0414015	0.113465	0.00397043	0.283082	0.340179	0.186595
ó	0.00159282	0.00189627	0.00583776	0.0357092	0.00310155	0.225656	0.21945	0.506757
m	0.00253847	0.0132039	0.0520986	0.0424034	0.0642029	0.416864	0.244125	0.164564
i	0.00304041	0.0325616	0.0881854	0.0366497	0.0127656	0.400767	0.322878	0.103152
s	0.000621865	0.00634314	0.0142298	0.00877139	0.0170149	0.337289	0.391102	0.224628
í	0.000166264	0.00208612	0.00788327	0.00361452	0.0349319	0.0479919	0.756396	0.14693
á	0.000441856	0.00213353	0.0085695	0.0137553	0.00960068	0.0480623	0.239195	0.678242
ω	0.0242707	0.018795	0.0649073	0.0630816	0.00964197	0.282171	0.29045	0.246683
d	0.000340502	0.0103699	0.0246075	0.0146732	0.132777	0.30706	0.368553	0.141619
z	0.000406205	0.00340336	0.0134942	0.0062758	0.175753	0.0787653	0.547724	0.174178
w	0.000354825	0.00222171	0.00757451	0.00265001	0.0138028	0.0172936	0.912354	0.0437487
a	0.00204906	0.00268278	0.00939542	0.00668066	0.00681962	0.0966193	0.380781	0.494973
</S>	0.00202602	0.00528604	0.0210259	0.0173327	0.022501	0.0969823	0.132907	0.701939
