 	ton	mari	est	en	train	de	se	gaver	dans	cette	cuisine-là	</S>
o	0.662814	0.0113171	0.0350789	0.0547809	0.0752422	0.0784965	0.049295	0.00218184	0.0142894	0.00835134	0.00400687	0.00414552
l	0.0125099	0.972312	0.00260434	0.00054548	0.000672202	0.000201942	0.000328145	0.00561842	0.000912863	0.00124088	0.000995165	0.0020589
ó	0.00212755	0.869976	0.003316	0.00123637	0.00686255	0.000499714	0.00459893	0.100907	0.00284133	0.00196403	0.00131417	0.0043566
m	0.000418942	0.962637	0.00209534	0.00065233	0.00487366	0.000501046	0.00137554	0.0182299	0.00101774	0.000696508	0.00130355	0.00619867
i	0.190626	0.564302	0.0548143	0.043572	0.0134631	0.0330221	0.0256349	0.0167249	0.0136611	0.00699009	0.00392593	0.0332632
y	0.360238	0.0351716	0.160697	0.160966	0.0229666	0.10305	0.0750069	0.0169782	0.0228667	0.0168858	0.00802525	0.0171485
a	0.880381	0.00241564	0.0142225	0.0184801	0.00450066	0.0194531	0.0162979	0.0068493	0.00939777	0.00935641	0.00245412	0.0161917
n	0.855993	0.000719118	0.017293	0.0437489	0.00469804	0.0383193	0.0229141	0.00230227	0.00422901	0.00455147	0.000662445	0.00456894
ω	0.966055	0.00243023	0.00318358	0.0108178	0.00347872	0.00316062	0.00272515	0.00139012	0.00132464	0.00190097	0.000260391	0.00327276
b	0.00559248	0.0188229	0.243027	0.141875	0.357314	0.0908084	0.0423782	0.0457325	0.0181456	0.00817192	0.00158263	0.0265497
ó	0.250431	0.00340112	0.0592321	0.0799953	0.0600277	0.243953	0.183231	0.0162243	0.0372289	0.00841531	0.0110395	0.0468216
l	0.0757355	0.00109441	0.039014	0.0709131	0.292402	0.275597	0.147947	0.0154422	0.0322059	0.0216783	0.00796261	0.0200075
á	0.148223	0.00267189	0.0824857	0.0505322	0.00656752	0.0977761	0.0687701	0.0332288	0.060631	0.0462097	0.0246086	0.378296
a	0.0384653	0.000871579	0.203614	0.175472	0.00449129	0.217653	0.15413	0.0651277	0.0774661	0.0307892	0.0104719	0.0214478
m	0.00235592	0.0133056	0.0381132	0.00658252	0.000425195	0.0183382	0.172985	0.705981	0.0213796	0.00585973	0.00591892	0.00875522
i	0.000153209	0.00126646	0.0379167	0.0168247	0.00156078	0.0115516	0.076568	0.793857	0.0390395	0.014317	0.00139043	0.00555491
i	3.59934e-05	0.000376702	0.0193382	0.00398084	0.000103136	0.00399684	0.0349113	0.896294	0.0222746	0.006819	0.00322933	0.00864055
g	5.26998e-05	0.000246977	0.00803259	0.00247775	2.84914e-05	0.00870052	0.0555699	0.667578	0.122701	0.038568	0.0492458	0.0467983
h	0.00195519	0.000256722	0.00613387	0.0141844	0.000424436	0.033628	0.138982	0.0879832	0.279859	0.119213	0.0922022	0.225178
á	3.32179e-05	6.46339e-05	0.00654797	0.0274676	0.000791182	0.0169535	0.0660726	0.155124	0.294257	0.136579	0.108709	0.1874
í	9.7973e-05	1.39685e-05	0.00204715	0.00742176	8.79436e-05	0.0223532	0.0228664	0.0123846	0.471509	0.315704	0.0827022	0.0628114
k	0.000392984	0.000139313	0.00454025	0.00273811	3.67765e-05	0.00441388	0.00940002	0.013103	0.147543	0.384771	0.383528	0.0493935
ώ	4.78653e-05	8.67342e-05	0.00081266	0.000669661	0.000289443	0.000817725	0.00366497	0.00682948	0.0342166	0.0475152	0.854533	0.0505162
ώ	0.000109998	4.10611e-05	0.000246235	0.00104196	0.0125864	0.00309336	0.00502875	0.00710369	0.0482902	0.0927709	0.648902	0.180786
s	0.00082369	3.5162e-05	0.00272608	0.00377006	5.4183e-05	0.00847071	0.00836316	0.0101377	0.186903	0.434152	0.207109	0.137455
á	0.000397605	0.000153425	0.00357636	0.00591786	0.000231035	0.00235609	0.00431629	0.030977	0.139293	0.221894	0.297192	0.293696
k	0.00905093	0.000347964	0.00176779	0.00422946	0.00128837	0.0102637	0.00638443	0.00953821	0.047495	0.303933	0.449087	0.156614
ú	0.000175078	8.76502e-05	0.000454655	0.00157791	0.00103501	0.00138535	0.00222884	0.000996866	0.0139457	0.0461167	0.782006	0.14999
k	0.000405136	5.54742e-05	0.00057276	0.00188462	0.000159111	0.000400666	0.00123806	0.0222352	0.0413037	0.0885036	0.699739	0.143503
u	0.0135024	3.54555e-05	0.0027024	0.0226606	0.000397006	0.0033131	0.00353139	0.0034943	0.0713906	0.192303	0.428123	0.258546
d	0.0012503	1.58126e-05	0.00162662	0.00422558	0.000212775	0.00211469	0.00135993	0.00617308	0.052883	0.172366	0.149229	0.608544
í	2.03031e-05	1.62622e-05	0.00202245	0.00414567	6.33716e-05	0.000924038	0.000985133	0.00217089	0.0278302	0.149742	0.140678	0.671402
i	0.000689852	3.06901e-05	0.000921906	0.00459067	0.000360431	0.00242725	0.00109736	0.00171016	0.0131032	0.0579574	0.239886	0.677225
</S>	0.000309205	0.000155783	0.00531423	0.00588557	0.000130091	0.00899273	0.00634056	0.00967365	0.047805	0.134218	0.270988	0.510186
