 	la	maman	nous	a	défendu	de	manger	des	mangues	vertes	</S>
n	0.938608	0.0236178	0.00911016	0.0188852	0.00171683	0.00510364	0.000257073	0.00174855	0.000422923	0.000442148	8.73472e-05
g	0.216824	0.778858	0.0014971	0.00112234	2.60483e-05	0.00140336	4.31776e-05	0.00018921	3.00993e-05	5.81925e-06	9.44501e-07
ó	0.152072	0.84316	0.00109179	0.00227811	0.000201052	0.000716029	0.000163603	0.000173246	0.000126602	1.1021e-05	6.79307e-06
o	0.0245487	0.971515	0.00177365	0.00062812	0.000491974	0.000400002	0.000142148	0.000281536	0.000168142	2.45568e-05	2.64759e-05
á	0.189021	0.0187818	0.17021	0.571373	0.00514497	0.0196497	0.00108744	0.00761327	0.00693381	0.00143298	0.00875174
s	0.00783042	0.0206257	0.0425072	0.236329	0.644314	0.0143475	0.0204991	0.00497421	0.00191598	0.00112359	0.00553318
i	0.00598717	0.00149027	0.0132347	0.0205363	0.94954	0.00200761	0.00580136	0.000349799	0.000201183	5.03836e-05	0.000800792
m	0.0245712	0.00138011	0.0564822	0.0237468	0.835386	0.00851634	0.0225239	0.00494747	0.00794529	4.63753e-05	0.0144541
b	0.0319492	0.0015573	0.292861	0.441425	0.128378	0.051236	0.0129294	0.00861617	0.00853349	9.37997e-05	0.0224206
i	0.113351	0.000512433	0.0980942	0.234299	0.0343535	0.384508	0.010886	0.0625972	0.016714	0.00140296	0.0432808
b	0.0243651	0.000422714	0.263579	0.425745	0.00433211	0.242161	0.00480306	0.0164029	0.00717518	0.00245655	0.00855695
í	0.0121542	2.37304e-05	0.872353	0.0202831	0.0208938	0.0183486	0.0147684	0.00565615	0.0121369	0.0191106	0.00427194
s	0.0490812	0.00026794	0.622235	0.0536266	0.0105455	0.11568	0.0074781	0.0333917	0.0441972	0.0282589	0.0352376
í	0.0282131	0.00035822	0.0811559	0.0971845	0.0515309	0.222515	0.0313693	0.081113	0.0265466	0.00956932	0.370445
o	0.000885215	0.000232153	0.0353673	0.119477	0.0528224	0.605907	0.0925513	0.0677125	0.0065097	0.00871741	0.00981872
d	1.93184e-05	1.97643e-05	0.000398196	0.000763272	0.0629569	0.0131745	0.91983	0.00177163	0.000286443	0.00014972	0.000630112
z	9.00933e-05	2.22717e-05	0.00152236	0.00360754	0.367405	0.0254672	0.585374	0.0111765	0.00362141	5.69927e-05	0.00165645
á	0.00064564	8.30804e-05	0.00309519	0.0151411	0.0241375	0.0367177	0.880229	0.0262049	0.00992289	4.22009e-05	0.00378033
a	0.00551214	7.78853e-06	0.0141011	0.0418815	0.0234176	0.137306	0.274703	0.362171	0.0263669	0.00450299	0.11003
m	0.000134211	3.03109e-05	0.00501458	0.00614721	0.0166993	0.062817	0.325608	0.428717	0.0778786	0.0449712	0.031983
b	0.000173787	5.33414e-05	0.0104432	0.0039553	0.00161901	0.0123058	0.0588986	0.289986	0.510491	0.00318581	0.108888
á	2.94479e-05	3.49805e-06	0.00350871	0.000101699	0.000334839	0.00404985	0.0193033	0.235749	0.700425	0.0107016	0.0257927
n	0.000113214	3.08135e-06	0.00830648	0.000791997	0.000260312	0.0046254	0.0109256	0.137226	0.726906	0.0027596	0.108082
g	0.000620282	8.73085e-05	0.007009	0.00411067	0.00104047	0.0437407	0.0393213	0.32881	0.433564	0.0105268	0.13117
é	0.00115764	0.000145997	0.00507277	0.00118637	0.000299009	0.0362037	0.0612429	0.448223	0.336423	0.0307272	0.0793189
b	0.000709822	3.66448e-05	0.00286162	0.0109123	0.000157101	0.0723026	0.0105986	0.290061	0.0763586	0.191558	0.344443
í	0.000662355	1.61226e-06	0.00520102	0.00626678	0.00022613	0.0114112	0.0065343	0.0526779	0.0148213	0.46416	0.438038
b	0.00341741	3.96544e-05	0.0212064	0.00397143	0.000388931	0.00574016	0.00326032	0.0367453	0.0779897	0.571211	0.27603
i	0.000433006	2.97564e-06	0.00390923	0.00104933	6.84848e-05	0.000970248	0.00118704	0.00789146	0.0571991	0.89174	0.0355488
s	2.14018e-05	1.61837e-06	0.000706677	0.000304588	0.000183193	0.002159	0.00367253	0.0166357	0.0446996	0.889206	0.0424094
i	0.000109247	8.98785e-07	0.000605064	0.00018057	0.000606018	0.00401861	0.0106302	0.0801154	0.223374	0.223091	0.457269
</S>	0.000102425	1.68926e-06	0.000710241	0.000950733	0.00105103	0.00627245	0.00593982	0.0397074	0.02266	0.0321169	0.890487
