 	il	a	lancé	un	bâton	dans	ma	direction	</S>
w	0.894433	0.0960589	0.00119455	0.00124828	0.00300308	0.00190146	0.00206943	5.81541e-05	3.30674e-05
a	0.902077	0.083973	0.000758771	0.00258359	0.000963747	0.00500303	0.0043435	0.000270539	2.69367e-05
á	0.0692084	0.729636	0.175769	0.0169004	0.000458011	0.00288097	0.00133883	0.000681055	0.00312708
m	0.0117815	0.290523	0.490915	0.141152	0.0146758	0.0249477	0.00405149	0.00532002	0.0166341
ε	0.00280238	0.0471595	0.606159	0.258807	0.0239726	0.0185727	0.00188438	0.0122327	0.0284097
i	0.00658862	0.0383399	0.247262	0.465234	0.0829392	0.0377082	0.00641284	0.107742	0.00777374
m	0.00179949	0.0122415	0.0866382	0.368676	0.358646	0.0444738	0.0134514	0.0874722	0.0266013
w	0.00176561	0.0091443	0.0224997	0.419348	0.418576	0.0618266	0.0189281	0.036769	0.0111433
e	0.00316609	0.0053761	0.0117716	0.163713	0.646645	0.0532605	0.00606802	0.0838288	0.0261713
r	0.00219685	0.00336003	0.00814705	0.0967905	0.536212	0.201093	0.00567667	0.0492706	0.0972536
é	0.024354	0.00408826	0.000771415	0.134293	0.259971	0.16431	0.205279	0.134169	0.0727642
t	0.0102322	0.0128176	0.00382341	0.0308494	0.0906034	0.452662	0.233556	0.0856437	0.0798119
w	0.00285336	0.000448427	0.00106074	0.00172114	0.00300481	0.0336097	0.0126198	0.916763	0.0279193
é	0.0010301	0.000743022	0.0015841	0.0106707	0.0765122	0.160736	0.0217549	0.69053	0.036439
é	0.000170499	0.000168623	0.0015049	0.0018691	0.0159944	0.027994	0.00315711	0.710112	0.23903
l	0.00578983	0.00472817	0.00155673	0.0140898	0.0371018	0.462275	0.164653	0.0919867	0.217819
a	0.00141992	0.000473923	0.000620052	0.00438132	0.00740224	0.184287	0.48149	0.0891063	0.230819
n	0.0095738	0.00317826	0.000653286	0.00418288	0.00106677	0.0650886	0.585979	0.134157	0.19612
g	0.000207313	2.60833e-05	7.37245e-06	0.000303916	0.000481155	0.00303892	0.96006	0.0169974	0.018878
á	0.000225322	0.000182166	4.57255e-05	0.000379458	0.000275995	0.00326695	0.907082	0.0502773	0.0382647
</S>	0.00304004	0.0013839	0.00126274	0.00646912	0.00301543	0.0449248	0.29745	0.0654789	0.576975
