 	ceux-ci	sont	des	maniocs	à	vendre	ceux-ci	sont	à	manger	</S>
m	0.625647	0.256737	0.0695743	0.0124751	0.0175803	0.00198356	0.00199434	0.0021667	0.0115919	0.000207757	4.18384e-05
í	0.384484	0.179795	0.115958	0.0306732	0.0711394	0.00231798	0.0448382	0.0665308	0.0429848	0.00199292	0.0592861
i	0.656023	0.255892	0.0487609	0.0212289	0.00343188	0.00188653	0.0026915	0.00288572	0.00189363	0.00314333	0.00216282
n	0.191826	0.307564	0.228242	0.140882	0.0225946	0.0187695	0.0144083	0.0122707	0.00721379	0.00395948	0.05227
g	0.296751	0.395247	0.241938	0.0269436	0.00852493	0.00288462	0.00307517	0.00667306	0.00135471	0.00101948	0.0155885
w	0.148475	0.313456	0.453591	0.0421362	0.0168241	0.00342584	0.00348118	0.00786698	0.00215975	0.00116705	0.00741751
έ	0.193585	0.195928	0.35056	0.0932479	0.0412679	0.00162701	0.0216539	0.0228079	0.00493245	0.00402786	0.0703625
l	0.0198607	0.0426119	0.361389	0.173119	0.132405	0.00692318	0.0147429	0.025031	0.0311179	0.00799084	0.184808
έ	0.150768	0.070674	0.160216	0.296815	0.16605	0.00366585	0.0216023	0.0486869	0.0207757	0.00119477	0.0595511
m	0.0568163	0.0939621	0.210299	0.0501837	0.510559	0.0177415	0.0209928	0.0141263	0.0174679	0.000664547	0.00718743
í	0.22313	0.120308	0.13757	0.0117941	0.176057	0.00837188	0.237008	0.0429459	0.0250676	0.00164494	0.0161033
k	0.0673522	0.0766864	0.127496	0.0515923	0.18845	0.250075	0.159505	0.0252944	0.0122566	0.0137386	0.0275536
i	0.0031195	0.00439714	0.010261	0.203758	0.0653468	0.618603	0.0652378	0.00535087	0.00169811	0.00709552	0.0151328
r	0.00161714	0.00301704	0.0102954	0.08577	0.0457652	0.772486	0.0475108	0.00504593	0.0022717	0.00491182	0.0213091
a	0.013007	0.00802608	0.0266729	0.216273	0.124776	0.376751	0.116593	0.0317113	0.00436353	0.00223876	0.079588
m	0.00679493	0.012059	0.0486665	0.012744	0.299097	0.0927848	0.317437	0.118037	0.0554581	0.00667614	0.0302455
í	0.0220451	0.00420513	0.00816339	0.00165445	0.0495725	0.00476727	0.467038	0.189999	0.132897	0.00659094	0.113067
m	0.0102542	0.0074556	0.0131724	0.00720122	0.025616	0.0697166	0.401109	0.162503	0.102948	0.173916	0.0261086
í	0.00925446	0.00453226	0.00611696	0.000521865	0.00826055	0.00153035	0.296968	0.190949	0.219376	0.133962	0.128529
d	0.0062277	0.00647621	0.0119652	0.0026864	0.00851117	0.0125542	0.125093	0.114922	0.115106	0.577658	0.0187992
z	0.000665786	0.000430328	0.00077468	0.000807691	0.00178895	0.0175557	0.0616211	0.121299	0.0439064	0.661978	0.0891721
á	0.00257857	0.0013685	0.00135953	0.00025939	0.00214755	0.000585228	0.108105	0.107036	0.0512999	0.667632	0.0576285
a	0.00100589	0.00049479	0.00133412	0.00146782	0.00659923	0.00674077	0.0619957	0.0648526	0.0869438	0.596117	0.172448
</S>	0.00150527	0.00246325	0.0066249	0.00294355	0.009881	0.00816317	0.032384	0.15712	0.32844	0.142968	0.307505
