 	voilà	le	terrier	du	blaireau	</S>
w	0.758242	0.106507	0.106032	0.0221329	0.0065548	0.000531441
ó	0.575596	0.213026	0.0652905	0.104533	0.0409283	0.000626821
k	0.355645	0.199176	0.0467547	0.0792802	0.240091	0.079054
ó	0.116345	0.0715383	0.171192	0.0418037	0.537856	0.0612649
ó	0.0439832	0.0256091	0.348721	0.0286838	0.474947	0.0780555
y	0.0393644	0.0467513	0.0823172	0.476077	0.180271	0.17522
a	0.0393123	0.087505	0.040743	0.171089	0.0729539	0.588397
k	0.0360303	0.0321747	0.0426282	0.42352	0.146706	0.318942
ó	0.0250114	0.0225123	0.0825258	0.113229	0.732969	0.0237523
l	0.00196954	0.00232579	0.0449656	0.0122851	0.933097	0.00535691
ó	0.0102211	0.00799186	0.0892465	0.0881682	0.719814	0.0845578
</S>	0.0224061	0.0435212	0.0319818	0.166119	0.0624175	0.673555
